Gene	p_val	p_val_adj
CST7	0	0
PRF1	0	0
HLA-DRB5	0	0
S1PR5	0	0
NKG7	0	0
KIR2DL5B	0	0
GZMH	0	0
GZMB	0	0
PLEK	0	0
GNLY	0	0
CD8A	0	0
SPON2	0	0
FGFBP2	0	0
PTGDS	0	0
CTSW	0	0
PRSS23	0	0
CCL5	0	0
CCL4L1	0	0
RPLP1	0	0
KLRG1	0	0
KLRF1	0	0
KLRD1	0	0
KLRC3	0	0
FGR	0	0
SLC1A7	0	0
FCGR3A	0	0
LITAF	0	0
GPR56	0	0
GZMA	0	0
CMC1	0	0
CX3CR1	0	0
ZEB2	3.74400236962495e-315	2.48227357106134e-312
KIR3DL3	8.63277349411252e-314	5.55008855912389e-311
EOMES	3.39430980235626e-313	2.11804931667031e-310
CCL4L2	1.59046892004326e-312	9.64096817361079e-310
CCL4	9.23946951087107e-311	5.44512736507335e-308
KLRC2	5.57752938980445e-297	3.19818550092138e-294
C1orf21	8.93285976868432e-295	4.9873566540107e-292
ZNF80	7.99873856210205e-294	4.35131377778351e-291
FCRL6	2.74396960602332e-281	1.45540147903477e-278
RPS26	1.54781581031223e-278	8.00938054428883e-276
KLRAP1	2.98411134499062e-274	1.50740253084097e-271
KIR2DL5A	1.4949274435215e-259	7.37590247482608e-257
APMAP	2.79229150008261e-253	1.34639219240347e-250
LPCAT1	8.8761476255273e-252	4.18480773384861e-249
CCL3	6.43033575995901e-251	2.96578268441935e-248
ND4	5.80608900329504e-234	2.6208932828491e-231
LTB	5.95416488224265e-234	2.63174087795125e-231
GZMM	1.15671707217358e-233	5.00834885780298e-231
LILRB1	3.46597979214968e-232	1.47068454540495e-229
PTMS	6.22126172063186e-232	2.58804487578285e-229
TARP	1.79482984973666e-217	7.32290578692556e-215
CD8B	4.86787196207148e-216	1.94861833108129e-213
HCST	4.03174159606117e-193	1.58402647596359e-190
KRT86	7.29372174670537e-191	2.81352001051093e-188
LYAR	1.73090654902929e-189	6.55766309717954e-187
HLA-H	2.67995076785074e-188	9.97505885802128e-186
HLA-C	1.90620710982318e-185	6.97277414517391e-183
CLIC3	2.52519234583101e-183	9.08042047612724e-181
KIR3DL2	2.94900981309319e-183	1.04276986990975e-180
APOBEC3G	1.0277028670497e-182	3.57438426677483e-180
SAMD3	3.26932721153373e-182	1.11874267935322e-179
C12orf75	1.60185786026872e-179	5.39444704181924e-177
TPST2	8.16613957748918e-178	2.70707526993766e-175
GZMK	3.28233889674979e-175	1.07135541589913e-172
CLEC2B	4.44936791798848e-173	1.43026954163702e-170
ITGB2	7.35415817172922e-170	2.32874357867772e-167
PTGDR	2.81452474179488e-164	8.78131719440002e-162
TBX21	6.9937679490934e-161	2.15043160591254e-158
IL7R	4.45505375283976e-156	1.35026314886069e-153
FLNA	1.48250444799151e-155	4.4299738547307e-153
ABI3	6.10371102171261e-154	1.79856018106465e-151
KLRC4	9.43367009427859e-151	2.74170883178376e-148
CTSC	1.05718992713178e-150	3.03099209378756e-148
NCR1	2.09158879670877e-150	5.91668638812978e-148
LOC102724850	3.10416829330138e-147	8.6655308566687e-145
KIR2DL4	5.92883083624329e-147	1.6335853898927e-144
CYBA	2.6780304214419e-146	7.28424274632197e-144
CCL3L1	3.88456866564938e-146	1.04322795962554e-143
SLC9A3R1	2.15185063287598e-140	5.70670787838709e-138
CST3	4.04957455637148e-137	1.06068856528367e-134
HLA-A	6.85168355871289e-137	1.77274778514211e-134
LGR6	3.33332082670396e-135	8.52044995895798e-133
PLAC8	3.40980694158214e-134	8.61219810388175e-132
KIR2DS5	5.37088915786722e-134	1.34057393380366e-131
TTC38	1.15248715428024e-132	2.8431590075825e-130
PYHIN1	3.13313424362319e-129	7.64052598996661e-127
GeneID:101927981	3.92169168767374e-129	9.45484214155523e-127
B2M	1.45208495575011e-128	3.46150948552744e-126
RGS1	9.46379746345886e-127	2.2309325220527e-124
HLA-DRB4	1.47346209519773e-126	3.43527162766098e-124
GSTP1	1.83210860933119e-126	4.22500176690985e-124
MATK	8.19809075797234e-126	1.87022251098001e-123
SYNE1	3.35819842421101e-124	7.57952529447455e-122
AOAH	1.04685173551588e-123	2.33789541270577e-121
LAG3	1.186927803177e-123	2.62311044502117e-121
CD300A	3.74351425629942e-123	8.18787613006684e-121
LOC101929876	6.16826419422189e-123	1.33536625657767e-120
KLRK1	4.1316012938743e-122	8.85414677281184e-120
DUSP2	1.61711437701592e-121	3.43086986227698e-119
UBE2F	9.77346431032136e-121	2.0530081070077e-118
ND4L	1.07046850492478e-120	2.22657449024353e-118
CD244	8.96329377946249e-120	1.84626447402987e-117
CYTB	1.48145605891524e-119	3.02217036018708e-117
HLA-DRB3	3.26476027177518e-118	6.59668132628401e-116
IFNG	2.21279227021491e-117	4.42892460423392e-115
SUN2	1.70937092156402e-116	3.3893470534488e-114
RASSF1	3.61203297952812e-115	7.09563811978413e-113
ARPC5L	4.72939450757329e-115	9.20539760299769e-113
OSBPL5	1.72856038438025e-113	3.33392155591013e-111
LOC100996809	6.35986053291652e-112	1.21559280239961e-109
PECAM1	8.96390384623115e-111	1.69801950001464e-108
PCBP1	7.63199687185672e-107	1.43292429763993e-104
RNR2	8.63387399994877e-107	1.60680939283257e-104
COX2	2.15887596975675e-106	3.98284457168341e-104
ENC1	4.16353771009718e-106	7.61496690150187e-104
RARRES3	5.12821962033187e-106	9.29917157820179e-104
FASLG	4.71161831660613e-105	8.47133001738267e-103
FOXP2	5.46098269975295e-105	9.73615201327384e-103
RAP1B	2.24446894572658e-104	3.96822109604459e-102
ADRB2	1.50843034379103e-103	2.64486431189012e-101
RPL12	2.2203205178445e-103	3.86117377922859e-101
CD99	9.39224078513511e-103	1.62004699591404e-100
USP28	2.49466587115899e-100	4.26829283246041e-98
CSF1	3.91685981378466e-100	6.64800782474043e-98
ATP6	5.5727054764668e-100	9.38337455466028e-98
RPL11	1.35992884335348e-99	2.27183073547933e-97
TTC16	3.75513057664751e-99	6.22412893079325e-97
LOC101060789	1.37046486456883e-95	2.25393663307692e-93
RHOB	4.9602632834344e-94	8.09514967856495e-92
SLAMF7	6.78387858237723e-93	1.09867761834897e-90
PIK3AP1	8.79980169527803e-93	1.41436812702287e-90
NMUR1	2.81411279616625e-92	4.48903887845587e-90
HOPX	3.45850982449823e-92	5.47580182362346e-90
TNIP3	3.45154966918992e-90	5.42430205789135e-88
FGL2	8.4698873383141e-90	1.321302424777e-87
ATP8	9.249718813354e-90	1.43242360835123e-87
CALM1	1.20361075870975e-89	1.85042071425986e-87
CD74	1.38525781211347e-89	2.11436185192802e-87
MALAT1	1.0530029674482e-88	1.59575078267007e-86
CXCR1	1.46917383968991e-87	2.21063774346532e-85
PTPN4	2.6640125119524e-87	3.9802598206748e-85
CXCR2	3.91074914118233e-87	5.80212963491778e-85
STARD3NL	3.92002469958497e-86	5.77550305738852e-84
PVRIG	1.53606287738729e-85	2.24752482804474e-83
LEPROTL1	4.19648998026066e-85	6.09813228912398e-83
CHST12	8.41746409995204e-85	1.2148633900992e-82
BIN2	1.51691319775072e-84	2.17451556780266e-82
CRTAM	1.54746742463624e-84	2.20342744168339e-82
TNFAIP3	3.32747476983547e-84	4.70638031445528e-82
MBP	7.42290707633639e-84	1.04294302338777e-81
GNPTAB	5.53947669810929e-83	7.73194326493992e-81
CFL1	3.59909945892024e-82	4.99075124970274e-80
SEPT7	6.37533238281422e-82	8.78305531388224e-80
ITGAM	8.86619303742959e-82	1.2135816224652e-79
COX1	2.20308337495539e-81	2.99619338993932e-79
LEF1	8.87648645205323e-81	1.19951297176281e-78
TSC22D3	1.24532566861658e-80	1.67220439147907e-78
MMP23B	9.51307124317258e-80	1.26936678927767e-77
EFHD2	2.61918499619525e-79	3.4730393049549e-77
SASH3	5.36579672144182e-79	7.07085361752234e-77
SIGLEC17P	5.12600844039736e-78	6.71317253527596e-76
PROK2	6.90815577226264e-78	8.99162164811805e-76
TNFSF9	7.48126637363229e-78	9.67820410871845e-76
S1PR1	1.08218695091413e-77	1.39149565761177e-75
MYO1E	3.95038686058495e-77	5.04887997796206e-75
IDH2	6.80476006596832e-77	8.64489757841819e-75
XCL2	7.7659710329694e-77	9.80731199020707e-75
FOS	9.8751158657502e-77	1.23970685330033e-74
CALR	1.85659098508343e-76	2.31702554938412e-74
IL2RB	2.06782071400029e-76	2.5655487876158e-74
PDLIM1	3.9787795823945e-76	4.90777835000475e-74
RPL13	2.16209634359908e-75	2.65150497258948e-73
PIK3R1	2.66003134311084e-75	3.24340373422066e-73
PTP4A2	3.01340949291719e-75	3.65328547438464e-73
FAM49A	8.59598764747144e-75	1.03620723823156e-72
BTN3A2	8.77624050711634e-75	1.05195886214113e-72
MYL12A	6.82189241782288e-74	8.13108255823203e-72
LAMP1	7.45406443939886e-74	8.83494028750202e-72
CD63	1.72246783066271e-73	2.03021541640778e-71
GPR114	1.8062687762953e-73	2.11722642861221e-71
CD40LG	6.05768912091314e-73	7.06153474666446e-71
DTHD1	1.77939387302616e-72	2.06293007705591e-70
FXYD5	2.61511716091933e-72	3.01534378728612e-70
