pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Oxidative phosphorylation	6.89218387081556e-29	5.78943445148507e-27	1.39518713415833	-0.772115193241474	-1.97593517943229	118	NDUFB2,NDUFB1,NDUFV2,NDUFA13,NDUFA11,COX6B1,COX6A1,COX5B,UQCR11,COX8A,COX17,UQCRHL,NDUFS7,NDUFA4,COX7A2,COX6C,ATP6V0C,NDUFB8,NDUFA1,UQCR10,ATP6V1F,NDUFB10,ATP6V0B,NDUFB4,NDUFA6,NDUFA2,UQCRQ,COX5A,ATP6V0D1,NDUFS6,NDUFA7,NDUFB11,NDUFB9,UQCRFS1,UQCRH,NDUFS8,COX4I1,COX7C,NDUFA3,NDUFA9,SDHB,ATP6V0E1,NDUFS5,COX7A2L,ATP6V1E1,NDUFA8,COX7B,NDUFB3,SDHC,NDUFA10,NDUFA12,ATP6V1G1,NDUFA5,NDUFB6,NDUFS2,NDUFS3,NDUFV1,NDUFAB1,NDUFB7,PPA1,UQCRC1,ATP6V1D,NDUFC1,COX11,ATP6V1B2,LHPP,NDUFS4,ATP6AP1,UQCRC2,SDHA,SDHD,NDUFB5,CYC1,PPA2
Citrate cycle (TCA cycle)	2.60529116668988e-07	1.09422229000975e-05	0.674962860011025	-0.75359073438269	-1.76715248459619	30	MDH2,IDH3G,MDH1,SDHB,SDHC,IDH3B,SUCLG1,DLST,PDHA1,IDH2,PDHB,SDHA,SDHD,IDH3A,DLD,ACO2,CS,SUCLG2,FH,DLAT,PCK2,OGDH,ACLY,SUCLA2
Glycolysis / Gluconeogenesis	6.87825982753889e-06	0.000192591275171089	0.610526878385931	-0.60342083448544	-1.4934456822464	68	TPI1,ALDOA,GAPDH,LDHA,PGAM1,PKM,ENO1,GPI,AKR1A1,LDHB,PFKL,PGK1,PDHA1,HK1,ADH5,PGM1,PDHB,DLD,ALDH9A1,ENO2,G6PC3,ADPGK,PFKP,PGM2,DLAT,PCK2
Pyruvate metabolism	0.00264537459909798	0.0555528665810576	0.431707695803346	-0.584411409813177	-1.39625066529303	39	MDH2,LDHA,HAGH,PKM,MDH1,LDHB,GRHPR,ACAT2,PDHA1,ACAT1,PDHB,DLD,ALDH9A1,FH,DLAT,PCK2,GLO1,ME2,ACYP2
Purine metabolism	0.0166718744695258	0.280087491088033	0.352487857583619	-0.451011647606495	-1.16967875243053	168	POLR2L,APRT,POLR2K,POLR2E,NME2,POLE4,POLD4,POLR2G,ITPA,POLR1D,DGUOK,POLR2I,PKM,HPRT1,POLR2C,GUK1,ATIC,POLR2F,DCK,ADSS,NUDT2,ZNRD1,ADSL,POLR2H,PRPS1,PNP,AK2,POLR3GL,PGM1,NUDT5,GMPR2,POLR3K,PRPS2,PAPSS1,PDE6D,NME6,NUDT16,AK3,NTPCR,POLE3,POLR3C,IMPDH2,GMPS,AK6,IMPDH1,ADA,RRM1,PGM2,POLR2J,POLD3,NT5C3A,TWISTNB,PNPT1,HDDC3,POLD2,POLR3D
Pentose phosphate pathway	0.0256834974905973	0.335664335664336	0.352487857583619	-0.5674576497172	-1.3306747944855	30	ALDOA,TALDO1,PGLS,RPIA,TKT,GPI,PFKL,PRPS1,PGM1,PRPS2,DERA,PGD,PFKP,PGM2,IDNK
Valine, leucine and isoleucine degradation	0.027972027972028	0.335664335664336	0.271288554688953	-0.526231145171683	-1.27553267376234	48	HSD17B10,ECHS1,ACAA2,HADHB,HADHA,HADH,BCKDHA,ACAT2,ACADM,ACAT1,DLD,ALDH9A1,BCAT2,HMGCL,ACAA1,MCCC2,HMGCS1,HIBCH,PCCB,OXCT1,ACADS,HIBADH,MUT,BCKDHB,ALDH1B1,AUH,AACS,ACADSB,IVD,ACAD8,MCEE,MCCC1,ACSF3,ALDH6A1,IL4I1,ALDH3A2,BCAT1
Amino sugar and nucleotide sugar metabolism	0.033966033966034	0.344988344988345	0.245041785430996	-0.517904436624356	-1.25534954907566	48	GPI,TSTA3,CYB5R3,HK1,PGM1,PMM1,NAGK,CYB5R4,HEXB,CMAS,UGP2,PMM2,NANS,GNPDA2,PGM2,GNPDA1,GFPT1,UAP1,UXS1,GMDS,GNPNAT1,HEXA,MPI,NPL,GALE,UGDH,GALT,CYB5R1,GMPPB,GMPPA,AMDHD2,GALK1,NANP,PGM3
Pyrimidine metabolism	0.036963036963037	0.344988344988345	0.234392647294686	-0.462662418165729	-1.17421014934249	101	POLR2L,POLR2K,POLR2E,NME2,POLE4,POLD4,POLR2G,POLR1D,POLR2I,DCTPP1,POLR2C,POLR2F,DCK,NUDT2,ZNRD1,POLR2H,UPP1,PNP,POLR3GL,POLR3K,DCTD,NME6,CTPS1,DUT,POLE3,POLR3C,UCKL1,RRM1,POLR2J,POLD3,NT5C3A,TWISTNB,PNPT1,POLD2,POLR3D,UPRT,CANT1,POLR2D,TYMP,UCK1,UCK2,DTYMK,PRIM2,POLR1E,NT5C2,PRIM1,POLR3F,CMPK1
Porphyrin and chlorophyll metabolism	0.044955044955045	0.377622377622378	0.211400189384923	-0.51446589282723	-1.23463315544	42	HMOX2,BLVRA,HCCS,UROD,ALAS1,UROS,GUSB,COX10,BLVRB,FECH,FXN,EPRS,MMAB
