pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Arachidonic acid metabolism	0.000136805727586842	0.0116284868448816	0.518848077743792	-0.548982907390254	-1.82362094482741	62	EPHX2,GPX7,GPX1,AKR1C3,GGT1,LTA4H,ALOX5,ALOX15,TBXAS1,PLB1,PLA2G4A,PLA2G4C,PLA2G2C,PTGS1,GGT5,GPX3,ALOX15B,PLA2G12A,PTGS2
Pyrimidine metabolism	0.00201883702243357	0.0858005734534267	0.431707695803346	0.360240583576406	1.50501586137812	101	NT5C,POLR2J,POLR2L,POLR2G,NME2,CMPK2,NME7,POLD4,POLR3D,UCKL1,NME1-NME2,NT5M,POLR1A,ENTPD1,UPB1,NT5C1B-RDH14,NME1,DCTPP1,AK9,UCK2,POLR2I,UCK1,TYMP,POLR2F,ZNRD1,DCTD,POLR2K,CMPK1,NME6,POLE4,POLR2B,CTPS2,CAD,POLR2C
Tryptophan metabolism	0.00503364499516567	0.142619941529694	0.407017918923954	-0.551005086966692	-1.66499666175293	38	IL4I1,ALDH2,KYNU,HAAO,IDO1,OGDH,ASMT,AFMID,CYP1B1,KMO,AOC1,HADHA,ALDH9A1,MAOA,IDO2,ALDH7A1,ACAT2,INMT,ALDH3A2,CAT,HADH
Galactose metabolism	0.0142335180868442	0.302462259345439	0.380730400722792	-0.53084328512911	-1.55007801297529	30	GLB1,PFKL,UGP2,HK2,PFKM,GANC,GLA,HK3,GAA
Cysteine and methionine metabolism	0.0205204275456584	0.348847268276193	0.352487857583619	-0.477840425381342	-1.49366321976415	44	ADI1,IL4I1,CTH,CDO1,AHCY,SMS,BCAT1,DNMT1,LDHB,MTAP,SDS,MTR,SDSL,APIP,CBS,LDHC
Taurine and hypotaurine metabolism	0.0278869668002043	0.395065363002895	0.352487857583619	-0.683418385162223	-1.56255155924691	11	GGT7,GGT1,CDO1,CSAD,GGT5
Caffeine metabolism	0.0406275138749905	0.435768014533776	0.321775918075361	-0.791356540744316	-1.45557634183307	5	CYP2A6,XDH
Tyrosine metabolism	0.0436005625879044	0.435768014533776	0.257206466468838	-0.482823288507737	-1.44297220614939	36	IL4I1,TPO,GSTZ1,LRTOMT,DBH,ALDH3B1,FAHD1,AOC3,HGD,ALDH3A1,MAOA,GOT2,FAH,COMT
Purine metabolism	0.046140142715341	0.435768014533776	0.321775918075361	0.268208952206283	1.20440540603755	168	NT5C,GUK1,POLR2J,PKLR,POLR2L,POLR2G,PDE4A,NME2,NME7,POLD4,POLR3D,ADCY3,NME1-NME2,NT5M,POLR1A,ENTPD1,PDE7A,ADA,ENPP4,ADCY9,NT5C1B-RDH14,NME1,PDE6D,ADSS,PDE4D,DGUOK,ITPA,AK9,PGM1
Steroid hormone biosynthesis	0.0548302872062663	0.466057441253264	0.219250346703755	-0.422213607796031	-1.38719015894967	58	CYP7B1,AKR1C3,HSD11B1,LRTOMT,HSD17B12,CYP1B1,HSD17B8,CYP19A1,HSD11B2,COMT,CYP21A2,CYP2E1,HSD17B3,SRD5A3,AKR1C2,UGT2B17
Mucin type O-glycan biosynthesis	0.0645105673667953	0.496697154471545	0.287805130535564	0.433788758420653	1.39804482544045	30	GALNT2,GCNT1,GALNT6,GALNT1,GALNT3,GALNT11
Glycosphingolipid biosynthesis - globo and isoglobo series	0.0701219512195122	0.496697154471545	0.208955027549354	-0.582643868308402	-1.42847174950281	15	GBGT1,ST8SIA1,NAGA,GLA,HEXB,FUT1
Ascorbate and aldarate metabolism	0.1	0.644069508991715	0.165656695205483	-0.479444373483118	-1.36559573645808	27	ALDH2,ALDH9A1,ALDH7A1,RGN,ALDH3A2
Pyruvate metabolism	0.106082036775106	0.644069508991715	0.160801401070022	-0.431849715943362	-1.31060024930567	39	ACSS2,ME3,PC,ACYP2,ALDH2,LDHB,GLO1,LDHC,LDHD,ALDH9A1,ME1,ALDH7A1,ACAT2,ACACB,DLD,ALDH3A2,LDHAL6A,DLAT
Oxidative phosphorylation	0.11582803969704	0.656358891616562	0.287805130535564	0.275458863003153	1.19708159040453	118	ATP6V0A2,NDUFS8,UQCR11,NDUFA13,NDUFB10,UQCRHL,COX6A1,NDUFB8,NDUFS7,NDUFA3,NDUFS6,NDUFB2,TCIRG1,COX5A,COX7A2,COX6B1,NDUFA9,NDUFV1,ATP6V1H,NDUFA12,COX8A,ATP6V1F,NDUFA6,UQCR10,ATP6V1C2,COX6C,NDUFA1,UQCRQ,NDUFB7,COX6A2
Retinol metabolism	0.126302083333333	0.670979817708333	0.139599673451922	-0.376172039088928	-1.24787121032988	65	DHRS3,DHRS9,RDH10,CYP2S1,CYP2A6,DHRS4L2,DHRS4L1,ALDH1A2,ALDH1A1,PNPLA4,CYP26A1,RDH11
Glycerolipid metabolism	0.135458167330677	0.677290836653386	0.135740943810425	-0.392099514709173	-1.26754642153529	53	DGKA,GK,MBOAT1,ALDH2,AGPAT4,DGAT2,AGPAT3,GLA,DGKG,AKR1A1,MOGAT1,LPL,LCLAT1,ALDH9A1,DGKE,GLYCTK,ALDH7A1,CEL
Biosynthesis of unsaturated fatty acids	0.167682926829268	0.739479363366604	0.190023305279108	0.427833318746974	1.25556940953076	19	ELOVL6,ACOT7,ACOT4,SCD5,ACOT2,ACOT1
Glycosaminoglycan biosynthesis - keratan sulfate	0.168067226890756	0.739479363366604	0.181383128498408	0.475003374610507	1.28418394684132	14	B3GNT7,FUT8,CHST6,B3GNT2,B4GALT2
Pentose and glucuronate interconversions	0.175388967468175	0.739479363366604	0.121543282035469	-0.414860932516125	-1.22767024717885	34	UGP2,CRYL1,AKR1A1,KL,SORD
