Gene	Rank
RBKS	0.502863912804729
PLCG2	0.397102230337336
ECI2	0.372074304599108
ITPK1	0.255573594144707
ISYNA1	0.231898398974207
ATP6V0A2	0.197418833667857
PLCH2	0.186163627377607
FBP1	0.181872206709965
MPST	0.172735325394077
ABHD17A	0.172067402721176
TCIRG1	0.155391489337427
TPI1	0.127041284558362
PGK1	0.126018556060094
ME2	0.116122304880099
PGM2L1	0.114926061244314
AACS	0.112597775212742
UGP2	0.111527926226197
INPP5B	0.0979376263134517
ALDH3A2	0.0971287275881653
FUK	0.0963337853587111
PFKFB3	0.088747887261473
ELOVL6	0.0814566307684998
DCXR	0.081404932324399
PLCB3	0.0713547645627687
CYB5RL	0.0678569885147314
INPP5E	0.0661266603435094
PIP4K2A	0.0657332834065886
PIK3C2A	0.0641383558901426
HSD17B12	0.0617478555346589
GALE	0.0615876482969492
UGDH	0.0609365790615279
PGM1	0.0595257772750806
DLST	0.0585278274023516
ACOX3	0.0569682743196965
HACD4	0.0553546882456881
L2HGDH	0.054410412809894
AMT	0.0527718871779411
ACSBG1	0.0527708752702642
GAA	0.0519896321851775
GFPT1	0.0498806284141909
PFKFB4	0.0488900315114788
RPIA	0.0468546818619556
FASN	0.046249002738185
CA13	0.0452765071532569
H6PD	0.0444569773962192
ACOX1	0.04433889724109
IDH1	0.0438901755960522
PGM3	0.0431090245265419
GALK1	0.0427643270515986
ATP6V1C2	0.0415901713682316
CPT1B	0.0398937875436883
HACD1	0.0395171419664871
MTMR2	0.0381112420265804
ACSM3	0.0369341523808775
B4GALT1	0.0361989268250248
ITPKB	0.0354749283501938
MTM1	0.0349680995306075
ACADS	0.0338549658108084
INPPL1	0.0335596810518935
ACSL3	0.0327131067018178
GYG1	0.0320658872860421
MTMR8	0.0320199974319879
PLCD3	0.0302427486620205
IDH3A	0.0295880015031878
UAP1	0.0290715395669896
PLCG1	0.0274111323355634
BDH2	0.0262561337450818
UAP1L1	0.0241033249067824
PIK3CD	0.0240335859608329
FPGT	0.0232974458580229
ITPKC	0.023230287577866
PIK3CG	0.0217690369918529
ENO2	0.0211453414623868
ACSS1	0.0210839280964441
GNE	0.0208719167082692
AGL	0.0194877637551506
AFMID	0.0184856591476704
GBE1	0.0173064598534639
CA2	0.0151473358911219
GFPT2	0.0134154807559256
CMAS	0.0122614419719776
ACADM	0.0114413442155645
SUOX	0.00839220304627772
IMPAD1	0.00732344358150423
PIK3C2B	0.00654770160162165
CYB5R1	0.00604607386207146
HMGCL	0.00573799335970181
OXSM	0.00324302676681585
PIP5K1C	0.00268852626928645
ACSL5	0.00118357262130967
UQCRHL	0.00100350141968429
IDNK	0.000777088645587401
CYP4A11	0
CYP4A22	0
AMY2A	0
AMY1A	0
AMY1B	0
AMY1C	0
CHIA	0
HAO2	0
HMGCS2	0
PKLR	0
CHIT1	0
ATP6V1B1	0
G6PC2	0
ACADL	0
UGT1A8	0
UGT1A10	0
UGT1A9	0
UGT1A7	0
UGT1A6	0
UGT1A5	0
UGT1A4	0
UGT1A3	0
UGT1A1	0
AGXT	0
PLCH1	0
SI	0
COX7B2	0
UGT2B17	0
UGT2B15	0
UGT2B10	0
UGT2A3	0
UGT2B7	0
UGT2B11	0
UGT2B28	0
UGT2B4	0
UGT2A1	0
UGT2A2	0
PDHA2	0
ADH4	0
ADH6	0
ADH1A	0
ADH1B	0
ADH7	0
TKTL2	0
ACOT12	0
ALDH7A1	0
ELOVL2	0
PGK2	0
HMGCLL1	0
PRPS1L1	0
AKR1B10	0
MGAM2	0
GYG2	0
RGN	0
PGAM4	0
CA3	0
ATP6V0D2	0
FBP2	0
ALDOB	0
LDHC	0
ALDH3B2	0
ALDH3B1	0
NDUFC2-KCTD14	0
TREH	0
GAD2	0
ACSM6	0
HOGA1	0
RPEL1	0
ENO4	0
ACSM4	0
PIK3C2G	0
PLCZ1	0
GYS2	0
LALBA	0
ACSS3	0
ATP4B	0
PYGL	0
COX8C	0
LDHAL6B	0
CA12	0
ALDH1A3	0
ACSM5	0
ACSM2A	0
ACSM2B	0
COX6A2	0
CA7	0
CA5A	0
ALDH3A1	0
G6PC	0
CA4	0
HAO1	0
PLCB4	0
COX4I2	0
PCK1	0
ATP4A	0
COX7A1	0
GUSB	-0.00189577070641645
SACM1L	-0.00288470012100371
NPL	-0.00576945583991714
HYI	-0.00584898522196097
ALDH5A1	-0.00715239730277233
ABAT	-0.00719680569510901
SORD	-0.00733384001791962
ACACA	-0.00836465350269456
GYS1	-0.0101143809605862
INPP5D	-0.0103501235605463
GPI	-0.0106850470015609
HMGCS1	-0.0106918819629902
IMPA2	-0.0112180266930609
CPT2	-0.011349890949213
HACD2	-0.0125066617398455
PIK3CA	-0.0130802568981537
THEM5	-0.0142435559683862
GAPDHS	-0.0142440922441537
CA9	-0.0142442368982189
INPP5J	-0.0142444033872548
CA14	-0.0142445377711947
ENPP1	-0.014245207576974
GCK	-0.0142453593424968
ELOVL7	-0.0142457048538662
ACSBG2	-0.0142457764041585
ATP6V1G3	-0.0142458832797457
CPS1	-0.0142461075035763
PGAM2	-0.0142467099731048
ATP6V0A4	-0.0142469779089406
KL	-0.0142472705407707
XYLB	-0.0148331904343768
ATP5PO	-0.0150154622784569
NDUFB8	-0.0150509404536437
PRPS1	-0.0153318315030855
TKFC	-0.0153525359195805
INPP5F	-0.0153770018035071
GLUD1	-0.0154106549890711
ATP6V1E2	-0.0168420663159696
TST	-0.0180589377844884
PCCA	-0.0183821690440626
