pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Oxidative phosphorylation	5.36486905809064e-20	1.01932512103722e-18	1.16017957183021	0.773018391688603	1.72753083669697	120	ATP5MC3,COX5A,COX6C,COX6A1,COX8A,NDUFB2,ATP5MF,ATP5PF,UQCRQ,NDUFA4,COX7A2,ATP5MG,ATP5F1E,NDUFAB1,UQCRH,NDUFB11,COX7B,ATP5MC2,NDUFB6,PPA1,COX5B,NDUFB9,COX4I1,ATP5F1D,ATP5F1C,NDUFS8,NDUFB10,UQCR10,NDUFA12,COX6B1,ATP5F1B,NDUFV2,NDUFA6,NDUFB3,ATP5MC1,UQCRFS1,NDUFA2,NDUFB4,NDUFS6,ATP5PD,NDUFA1,ATP5F1A,NDUFS5,ATP6V0B,UQCRC1,ATP5PB,ATP6V1F,NDUFB7,NDUFS7,COX7C,CYC1,UQCR11,NDUFA13,NDUFV1,COX17,NDUFS3,SDHA,NDUFA11,SDHD,SDHC,NDUFB1,SDHB,NDUFA8,NDUFC1,NDUFA9,UQCRB,COX7A2L,NDUFC2,NDUFA10,NDUFB5,ATP6V0E1,UQCRC2,NDUFA5,ATP5ME,ATP6V0C,ATP6V1G1,NDUFA3,NDUFA7
Pentose phosphate pathway	0.036963036963037	0.351148851148851	0.234392647294686	0.603027285492611	1.25080552907614	30	TALDO1,ALDOA,GPI,DERA,TKT,G6PD,PGD,RPIA,PFKP,PGLS,PFKL,PRPS2,PRPS1
Citrate cycle (TCA cycle)	0.0639360639360639	0.404928404928405	0.175204047558551	0.584723718209599	1.21284007757802	30	IDH2,SUCLG1,MDH2,MDH1,SDHA,SDHD,SDHC,SDHB,DLD,FH,CS,PDHA1,IDH3B,IDH3G,SUCLA2,ACO2,IDH3A,PDHB,ACLY,OGDH,DLST,PCK2,DLAT,SUCLG2
Glycolysis / Gluconeogenesis	0.182817182817183	0.868381618381618	0.0965629554309422	0.499458863507816	1.08767987459673	68	GAPDH,TPI1,ENO1,PGAM1,LDHA,LDHB,PKM,ALDOA,PGK1,GPI,AKR1A1,DLD,PFKP,PFKL,GALM,PDHA1,ADH5,HK1,PDHB,PGM2,ALDH9A1,G6PC3,PCK2,DLAT,ADPGK,ENO2,ALDH1B1
Pyruvate metabolism	0.273726273726274	1	0.0743625384422526	0.50572175960981	1.07008850533301	39	LDHA,LDHB,PKM,MDH2,ACAT2,MDH1,DLD,FH,GLO1,PDHA1,ACAT1,GRHPR,ACYP1,ME2,PDHB
Glyoxylate and dicarboxylate metabolism	0.374625374625375	1	0.0589694466690997	0.50054719548067	1.03362400093001	28	MDH2,ACAT2,SHMT2,MDH1,DLD,SHMT1,PGP,CS,ACAT1,GRHPR,ACO2,GCSH,PCCB,MCEE,CAT
Fructose and mannose metabolism	0.643356643356643	1	0.0339723613634993	0.455968509000243	0.952858052114854	33	TPI1,ALDOA,AKR1B1,PFKP,PFKL,HK1,GMPPB,KHK,TSTA3,GMPPA,ENOSF1,PMM2,PMM1,GMDS
Sulfur metabolism	0.727272727272727	1	0.0290688186426821	0.479285109779446	0.876882995135475	9	SQOR,MPST,ETHE1,IMPAD1,PAPSS1,BPNT1,TST
Fatty acid elongation	0.737262737262737	1	0.027237219988033	0.441857033153951	0.916504498927706	30	ACOT7,ACAA2,HADH,TECR,HACD3,HADHA,PPT1,ECHS1,ELOVL1,ELOVL5,HADHB,ACOT2,HACD4,ABHD17A
Propanoate metabolism	0.762237762237762	1	0.0254820564855004	0.434224293825442	0.905172308438217	32	LDHA,LDHB,SUCLG1,ACAT2,DLD,ECHDC1,HADHA,ACADM,ACAT1,SUCLA2,ECHS1,BCKDHA,PCCB,MCEE
Galactose metabolism	0.8001998001998	1	0.0227981839377501	0.428664687977878	0.891355364467648	31	AKR1B1,PFKP,PFKL,GALM,GALK1,HK1,PGM2,GALE,G6PC3,GLB1,GLA,UGP2,PGM1
Butanoate metabolism	0.86013986013986	1	0.0183973177537706	0.416555373551429	0.860181888354527	28	ACAT2,HADH,BDH1,OXCT1,HADHA,ACAT1,ECHS1,ACADS
Fatty acid degradation	0.878121878121878	1	0.0169971052149879	0.40736243262167	0.868193370127007	44	ACAT2,ACAA2,HADH,HADHA,ACAA1,ADH5,ACADM,ACAT1,ECHS1,HADHB,ACADS,ACADVL,ALDH9A1,ECI1,ACSL5,GCDH,ALDH1B1,ACSL4,ACSL3,ECI2,CPT1A,ALDH3A2,CPT2,ACOX1,EHHADH,ACSL1
Pentose and glucuronate interconversions	0.914085914085914	1	0.0139869590598254	0.402079836645061	0.842844155815682	34	AKR1B1,AKR1A1,GUSB,DCXR,XYLB,UGP2,RPE
Fatty acid biosynthesis	0.949849548645938	1	0.0108943796561199	0.368495739591651	0.708839328165889	13	MCAT,ACSL5,FASN,ACSL4,ACSL3,ACACA,OXSM,ACSL1
Amino sugar and nucleotide sugar metabolism	0.969030969030969	1	0.00815591848796014	0.373105278927405	0.798185225829645	48	GPI,CMAS,NANS,GALK1,HK1,CYB5R3,GMPPB,TSTA3,GMPPA,PGM2,UAP1,PMM2,HEXB,PMM1,GALE,GNPNAT1,NAGK,CYB5R4,GMDS,HEXA,UGP2,PGM1,NANP,GNPDA2,UXS1,AMDHD2,UAP1L1,CYB5R1,GNPDA1,MPI,UGDH
Ascorbate and aldarate metabolism	0.98001998001998	1	0.00651414071836222	0.360244275742274	0.741177743305112	27	ALDH9A1,ALDH1B1,ALDH3A2,UGDH
Starch and sucrose metabolism	0.999000999000999	1	0.0014426950408889	0.288456348013509	0.605629993415113	35	GPI,GYG1,HK1,PGM2,G6PC3,UGP2,PGM1,PYGB,GYS1,AGL,GAA,GBE1
Inositol phosphate metabolism	1	1	0	0.279614094474756	0.610134017247982	73	TPI1,ITPK1,SYNJ2,INPP5D,IMPA2,INPP4A,PI4K2B,MTMR14,MTMR2,PIK3CD,CDIPT,IMPAD1,PIP4K2A,PLCG1,PTEN,PI4KB,INPP1,MINPP1,INPP5K,PLCG2,SACM1L,IMPA1,IPPK,PIK3C3,PI4K2A,PI4KA,PIP5K1A,ISYNA1,MTMR6,MTMR4,IPMK,INPPL1,PIP4K2C,INPP5F,MTMR1,PLCB3,PIK3CG,PIK3C2A,SYNJ1,PLCB2,PIP4K2B,INPP5B,PIP5K1C,MTM1,ITPKA,INPP4B,INPP5E,ITPKB
Nitrogen metabolism	NA	NA	NA	-0.272211720226843	NA	17	CA6,GLUD2,CPS1,CA14,CA9,CA13,CA4,CA5A,CA7,CA12,CA3,CA8,CA2,CA1,GLUL,CA5B,GLUD1
