Gene	Rank
GAPDH	0.505984622402398
PLCG2	0.503740635156809
TPI1	0.422599709168271
MPST	0.408431550887662
ISYNA1	0.37112293943593
ABHD17A	0.346381678856872
ATP6V0A2	0.31704979964953
PGK1	0.310299272872926
IDH2	0.288527187832502
GYG1	0.280934972580526
GPI	0.275428805299504
TCIRG1	0.263012180660585
RBKS	0.253856805819166
ECI2	0.244880267708226
ALDOA	0.241249092191334
ITPK1	0.235918747557163
UQCRFS1	0.229786613244055
PGM1	0.229667942835897
TSTA3	0.226882916796388
COX5A	0.212828914040795
GLO1	0.209246279931209
GALE	0.205701855005408
PFKFB3	0.204081869501726
B4GALT1	0.201389047282572
UGDH	0.200167494324057
ATP5F1D	0.198398994325992
DLST	0.190709506554087
PIK3CD	0.185225929272374
ATP6V0D1	0.181818997775178
HACD4	0.181752481811187
ALDH3A2	0.176531065488335
PIP4K2A	0.175587725689545
CYB5R3	0.174861907132359
ATP5F1B	0.1743757719091
PGAM1	0.173983403228782
GLUD1	0.173874505357918
IDH1	0.170988680808867
ME2	0.169232939986209
NDUFV1	0.169053385131142
ELOVL5	0.167524962748123
HK1	0.167402920351815
NDUFA6	0.165761061236835
NDUFB10	0.165716155900993
NDUFB6	0.165449912892882
SDHD	0.160244753461473
INPP5B	0.158671405137416
UAP1L1	0.1570322408621
ATP6V1F	0.15623283005919
CYC1	0.154221591618248
FBP1	0.153703492602906
LDHA	0.153082260383454
SACM1L	0.152826965379184
INPP5D	0.151210659179454
MDH2	0.15001281052268
NDUFS3	0.149265488875229
NDUFS8	0.147407613977062
PDHA1	0.14732782878352
ECHS1	0.147123146841448
COX6A1	0.146566906026887
ACADM	0.145995003509239
ACSL5	0.143404606548524
PIK3CG	0.14277126961065
ATP6V0E1	0.141725798522672
UQCRH	0.139974483117062
INPPL1	0.137882626451429
AACS	0.137197430449818
ATP5MC3	0.136939604007708
INPP4A	0.134349441556203
NPL	0.133482026375916
GMDS	0.132284232410653
PIP5K1C	0.131978316960489
ECHDC1	0.131864747786199
HMGCS1	0.131810383637957
ELOVL1	0.131772438105457
GLA	0.131054851911819
ATP5F1C	0.124116546250613
IDNK	0.123766553185158
PGD	0.122775713346219
NDUFS7	0.122765749474828
H6PD	0.122380705387598
G6PD	0.122307667857019
ALDOC	0.120592184645726
ALDH9A1	0.119552714481292
ATP6V0B	0.118948731866345
ACLY	0.118371931186713
SHMT1	0.113225247992048
ELOVL6	0.112770724279926
SDHA	0.112426373509953
