pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Pyruvate metabolism	0.215403128760529	0.945634004616732	0.0978773277424561	-0.452120086053091	-1.19051856027442	39	GLO1,LDHA,ME1,ME2,PDHA1,ACACB,ALDH1B1,GRHPR,MDH2,LDHB,HAGH,ALDH7A1,DLAT,MDH1,LDHD,DLD,ACSS2
Fatty acid degradation	0.321728691476591	0.945634004616732	0.0755015292281669	-0.407918160288709	-1.09238843695401	44	ACSL6,ACAA2,ECI2,CPT1A,GCDH,ACADM,ALDH1B1,ACSL3,HADHA,CPT1C
Fatty acid biosynthesis	0.331053351573187	0.945634004616732	0.0808589150280032	-0.523824849986733	-1.10792985437124	13	ACSL6,ACACB,MCAT,ACSL3,OXSM,ACSBG2,ACSL5,FASN
Glyoxylate and dicarboxylate metabolism	0.341677096370463	0.945634004616732	0.0745500777420554	-0.443083852645478	-1.09201245356031	28	HYI,GCSH,SHMT1,GLUL,PCCA,AMT,GRHPR,MDH2,PCCB,AFMID,CAT,MDH1,DLD,ACO1
Glycolysis / Gluconeogenesis	0.352607709750567	0.945634004616732	0.0679922591544058	-0.378784443493971	-1.07577737565133	68	PGK1,LDHA,ENO2,TPI1,FBP1,PDHA1,ENO1,PGM2,HK1,ALDH1B1,HK2,LDHB,PFKP,ALDH7A1,DLAT,AKR1A1,PGAM2,DLD,ACSS2,ENO3
Pentose and glucuronate interconversions	0.428571428571429	0.945634004616732	0.0621124188949471	-0.399704018222229	-1.02476543285721	34	DCXR,RPE,AKR1B1,UGDH,ISPD,GUSB,SORD
Fatty acid elongation	0.449438202247191	0.945634004616732	0.0609039347452418	-0.40397625455439	-1.0124523408714	30	ELOVL6,HACD4,ELOVL4,ACAA2,HSD17B12,ABHD17A
Ascorbate and aldarate metabolism	0.455345911949686	0.945634004616732	0.060640400949416	-0.411815528281878	-1.00440852589167	27	UGDH,ALDH1B1,ALDH7A1
Amino sugar and nucleotide sugar metabolism	0.488179669030733	0.945634004616732	0.0544555953940371	-0.367062862810598	-0.996924817390697	48	GFPT2,CYB5R3,UAP1,GMPPB,GFPT1,PGM2,GNE,NANS,UGDH,HK1,NPL,PGM3,HK2,CYB5R1
Propanoate metabolism	0.622991347342398	0.945634004616732	0.0453152441270267	-0.357393157043619	-0.905378753022833	32	LDHA,ACACB,PCCA,ACADM,HADHA,SUCLG2,LDHB,PCCB,DLD,ACSS2,DBT,ECHDC1,SUCLA2
Starch and sucrose metabolism	0.64190012180268	0.945634004616732	0.0432768714901103	-0.345718585998492	-0.888164545553425	35	GYG1,GYS1,PYGM,PGM2,HK1,HK2
Galactose metabolism	0.687179487179487	0.945634004616732	0.116234148779716	0.275703305416619	0.869650724454412	31	UGP2,PFKL,GLB1,B4GALT1
Fructose and mannose metabolism	0.716216216216216	0.945634004616732	0.03863723737086	-0.331343871840621	-0.845806605140602	33	PFKFB3,TPI1,FBP1,GMPPB,AKR1B1,HK1,HK2,KHK,SORD,PFKP
Citrate cycle (TCA cycle)	0.725343320848939	0.945634004616732	0.0387962208304479	-0.331219160752822	-0.830107242356503	30	IDH2,DLST,PDHA1,IDH3G,SUCLG2,MDH2,SDHB,DLAT,MDH1,IDH3B,DLD,ACO1,SUCLA2
Pentose phosphate pathway	0.750312109862672	0.945634004616732	0.0372254009247509	-0.325041890220835	-0.814625659120369	30	RBKS,FBP1,PRPS2,RPE,PGM2,TALDO1,PFKP
Inositol phosphate metabolism	0.763187429854096	0.945634004616732	0.0313490001730997	-0.298728051908475	-0.854233553265817	73	PLCB1,PIP4K2A,PLCG2,INPP4A,TPI1,PLCB3,SACM1L,PIK3CD,ITPK1,PLCD3,PI4K2B,PIK3CG,INPP5D,PIP4K2B,IMPA2,ISYNA1,MTMR2
Nitrogen metabolism	0.803788903924222	0.945634004616732	0.037770500132479	-0.345674211556695	-0.764908070552334	17	CA2,GLUL
Oxidative phosphorylation	0.863541666666667	0.951188986232791	0.0207818350435559	-0.264859164676139	-0.790841637003257	120	PPA1,ATP5F1B,COX4I1,COX7A2,NDUFB2,NDUFS5,NDUFB11,NDUFB7,ATP5PB,UQCRQ,PPA2,COX7A2L,COX6C,NDUFV1,ATP6V1G1,COX7B,NDUFA9,ATP6V1F,ATP5MC1,NDUFA12,SDHB,NDUFAB1,NDUFA11,ATP6V1C1,ATP6V0A2,NDUFA8,NDUFA5,NDUFS8,UQCR11,NDUFB10,ATP6V1C2,NDUFS1,ATP6V0E1,ATP5F1C,NDUFB9,ATP5F1D,ATP6V1G3
Sulfur metabolism	0.942363112391931	0.951188986232791	0.0332359307785383	-0.313570504053999	-0.599917254767133	9	TST,MPST,BPNT1,SQOR
Butanoate metabolism	0.951188986232791	0.951188986232791	0.0256927476530375	-0.257637658145537	-0.634966789065432	28	BDH1,HADHA,HADH,ACSM1,OXCT2,HMGCS1,ACADS,ABAT,HMGCS2,ECHS1,AACS
