pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Oxidative phosphorylation	8.20781136363518e-13	1.47740604545433e-11	0.921426003494898	0.728294605367265	1.60532632176723	120	COX8A,UQCRQ,COX5A,COX6A1,ATP5F1B,ATP5MG,ATP5MC2,ATP5F1E,NDUFA4,ATP5F1C,ATP5MF,COX7A2,ATP5MC3,COX17,NDUFB1,NDUFA12,NDUFA2,UQCRC1,NDUFB10,NDUFB11,ATP6V0C,COX4I1,COX5B,UQCR10,NDUFB6,COX6B1,COX6C,NDUFS3,UQCRFS1,NDUFB9,ATP5PF,NDUFA1,NDUFA6,NDUFA13,NDUFS6,NDUFS5,COX7A2L,NDUFB3,NDUFB7,NDUFB4,ATP5F1D,COX7B,SDHD,UQCRH,ATP5ME,ATP5PD,ATP5PB,NDUFB2,ATP6V0D1,NDUFV2,ATP6V0B,COX7C,CYC1,UQCR11,SDHB,NDUFS8,NDUFB5,ATP6V1F,UQCRB,NDUFA11,ATP6V1B2,NDUFS2,NDUFS7,TCIRG1,NDUFA3,ATP6V1H,ATP6V0E1,NDUFC1,ATP5F1A,NDUFAB1,NDUFA5,NDUFA7,LHPP,ATP5MC1,ATP6V1G1,SDHC
Glycolysis / Gluconeogenesis	0.134865134865135	0.845154845154845	0.115734447701689	0.520363856871235	1.11747055972994	68	GAPDH,LDHA,PGAM1,TPI1,ENO1,PGM2,PKM,GPI,PGK1,ENO2,PFKL,ALDOA,PDHB,LDHB,HK1,GALM,PGM1,DLD,PFKP,ADPGK,ALDH3A2,AKR1A1,PDHA1,ADH5
Citrate cycle (TCA cycle)	0.148851148851149	0.845154845154845	0.109250039480711	0.559828989127188	1.15231071873059	30	IDH2,IDH3G,MDH1,SDHD,SUCLA2,MDH2,SDHB,SUCLG1,PDHB,OGDH,SUCLG2,SDHC,DLD,IDH3B,FH,ACO2,SDHA,PDHA1,DLST
Pentose phosphate pathway	0.187812187812188	0.845154845154845	0.0949751525905595	0.547073120507853	1.12605497917038	30	TALDO1,PGM2,GPI,PRPS1,PRPS2,PFKL,TKT,ALDOA,PGD,PGLS,PGM1,GLYCTK,RPIA,PFKP,IDNK
Glyoxylate and dicarboxylate metabolism	0.335664335664336	1	0.0642140881844605	0.51864075318603	1.06546326557354	28	PGP,SHMT2,SHMT1,MDH1,GRHPR,MUT,MDH2,DLD,GLYCTK,CAT,HYI,ACO2,ACAT2,GCSH
Pentose and glucuronate interconversions	0.381618381618382	1	0.0580983576873206	0.502115098618864	1.04215626440064	34	DCXR,UGP2,GUSB,AKR1B1
Fatty acid biosynthesis	0.413392500325148	1	0.203508959461977	-0.326454033771107	-1.0707668162733	13	ACSL6,ACACB,ACSBG1,ACSBG2,OLAH,FASN,ACSL1,ACSL4,ACSL5,ACSL3,ACACA,OXSM,MCAT
Pyruvate metabolism	0.4995004995005	1	0.0456790414930062	0.479484933058068	1.00304087463691	39	LDHA,PKM,GLO1,MDH1,GRHPR,ACYP1,MDH2,PDHB,HAGH,LDHB,DLD,FH,ALDH3A2,ACACA,ACAT2,PDHA1
Fructose and mannose metabolism	0.628371628371628	1	0.035090109926935	0.462204109692068	0.956490131342737	33	TPI1,PMM1,PFKL,ALDOA,TSTA3,ENOSF1,AKR1B1,HK1,GMDS,TIGAR,PFKP,GMPPB
Galactose metabolism	0.63036963036963	1	0.0349401058848478	0.462959995282143	0.955106652739004	31	PGM2,UGP2,PFKL,AKR1B1,B4GALT1,HK1,GALM,GLB1,PGM1,PFKP,GLA,GAA,HKDC1,GALT,GALK1
Fatty acid elongation	0.739260739260739	1	0.0270967423183296	0.439821963476974	0.905297104456496	30	HADH,ACOT7,ECHS1,ELOVL5,PPT1,HADHA,HACD4,TECR,ACAA2,ELOVL1,HACD3,ACOT2
Propanoate metabolism	0.819180819180819	1	0.0214353576364558	0.421873491118933	0.872098572331335	32	LDHA,ACADM,ECHS1,MUT,SUCLA2,HADHA,SUCLG1,SUCLG2,LDHB,DLD,ACACA,ACAT2,ACAT1,ECHDC1,PCCB,BCKDHA,MLYCD,MCEE,HIBCH,DBT,ALDH6A1,PCCA,BCKDHB,ACSS1
Sulfur metabolism	0.882722513089005	1	0.0197519290144334	0.412765633620431	0.749541502039322	9	MPST,PAPSS1,ETHE1,SQOR,IMPAD1,BPNT1
Butanoate metabolism	0.939060939060939	1	0.011622042518008	0.370240843753438	0.760599733073324	28	HADH,ECHS1,OXCT1,HADHA,ACAT2,ACADS,AACS,HMGCS1,ACAT1,BDH2,L2HGDH,ACSM3
Starch and sucrose metabolism	0.948051948051948	1	0.0106794512946723	0.3672966634113	0.76356467972811	35	PGM2,GPI,UGP2,PGM2L1,HK1,PGM1
Fatty acid degradation	0.978021978021978	1	0.00683906706351732	0.354842734998988	0.747103693258958	44	HADH,ACADM,ECHS1,ECI2,HADHA,ECI1,ACADVL,CPT1A,ACAA2,ALDH3A2,ACAT2,ADH5,ACADS,ACSL3,ACOX3,ACAT1,CPT2,ACOX1,ACSL5,ACSL4,ACSL1,ACAA1,GCDH,HADHB
