Gene	Rank
PLCG2	0.320951027214879
PIP4K2C	0.12959205723931
IDH2	0.12534020602878
HMGCL	0.112397681946098
OXCT2	0.109764675792333
ACOX1	0.105086732098266
PCCB	0.10423444018836
ABHD17A	0.0977012862089726
HEXB	0.0937275191896824
GLUL	0.0928765632503287
ATP6V1E1	0.0867847149601135
CA5B	0.0857308857858497
GYG1	0.0856912912871013
HMGCS1	0.0783928554482859
SACM1L	0.0745644934314413
GLDC	0.0733782012900289
IDH3G	0.0732419209729537
ABHD17B	0.072059275027886
PIP4K2A	0.07192161462371
ALDH5A1	0.070996615659952
GMPPA	0.0662447078889352
NDUFC2	0.065399324263416
NDUFA3	0.0642318203261824
B4GALT1	0.0640260991468799
SDHA	0.0638031812831217
ACOT2	0.063174165214289
OCRL	0.0627974175444814
PIK3C2A	0.0618014105894395
ACADSB	0.059589348577838
ABHD17C	0.0583170006631992
IDH1	0.058139104477579
NDUFB10	0.0565503648086194
ACSL5	0.0544109362854557
ACOT4	0.0523190984997967
PIKFYVE	0.0518399471286448
PIK3CB	0.0514362291766277
PFKP	0.0508942733981266
PLCH2	0.050733533326246
ATP6V1C2	0.0496835020887361
ME2	0.049451365352045
CPT2	0.0490594216888959
ME3	0.0433518493763655
ACOX3	0.0430303201184014
PDHA1	0.0422397493265744
GANC	0.0404919060391718
HSD17B12	0.0382136667381031
PIK3CG	0.0378859457472909
MTMR8	0.0375976101757245
ACAT2	0.0371548615618457
SYNJ1	0.0365557112892898
NDUFA8	0.0351756329773665
MTMR14	0.0326778750733466
GALE	0.0311637825570344
ELOVL5	0.0309497794424636
GNPNAT1	0.0301228559044775
DLD	0.0299684353427531
INPP5B	0.0294150756041318
RENBP	0.0289919085473338
ELOVL4	0.0284227941455106
AFMID	0.0284227756160189
G6PD	0.028393857320489
HACD4	0.0275571398158702
AGL	0.0257070543395799
IMPA1	0.0249599962870466
INPP1	0.0248146411862738
BDH1	0.0242683966911148
ATP6V1H	0.0241851999969973
UQCR10	0.0237433332755458
UQCRC1	0.0235289733565209
PGM2L1	0.0232771481039428
PGP	0.0226266702775487
ACSS1	0.0223314564791483
L2HGDH	0.0209168177410576
SDHD	0.0199387256344078
ENO3	0.0182083700099564
PLCG1	0.0177089817711884
CRYL1	0.0173919817524583
GLYCTK	0.0170149634531553
ACSL3	0.0151785881427488
HACD2	0.0150033433990016
ISYNA1	0.0149989058598261
GCSH	0.0145593766102299
IDH3B	0.0141758249382584
INPP5K	0.0123366751284865
GALM	0.0116988587370868
ITPKC	0.0112343301520156
TECR	0.0108278698677416
AKR1B1	0.0107996344545057
PI4K2A	0.0102411863377798
