pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Oxidative phosphorylation	7.49083996093233e-13	1.49816799218647e-11	0.921426003494898	-0.650507250970432	-1.93179874880014	120	UQCR10,ATP5MC2,NDUFB10,NDUFB5,ATP5MG,ATP5F1D,UQCRFS1,COX6B1,NDUFA2,NDUFS2,UQCRH,NDUFA7,NDUFS4,ATP5F1A,NDUFB11,NDUFA1,SDHA,ATP6V1B2,COX5A,ATP6V1A,UQCRB,NDUFS3,ATP6V0D1,NDUFB9,NDUFB1,ATP5PD,ATP5MF,ATP6V1D,ATP5MC3,NDUFB4,SDHC,NDUFA12,ATP5ME,COX5B,ATP6V1H,ATP5F1C,COX15,COX7A2L,NDUFS8,UQCRC2,NDUFB3,COX4I1,NDUFC1,NDUFS7,CYC1,COX8A,COX7A2,NDUFA6,NDUFA8,COX7C,NDUFA11,COX10,ATP6V1E1,NDUFA13,NDUFA4,COX6C,NDUFA3,UQCRC1,TCIRG1,ATP5F1E,ATP6V0B,NDUFA5,NDUFC2,NDUFS6,NDUFB6,ATP6V1C1,ATP5PF,NDUFA9,ATP5PO,UQCRQ,NDUFB8,NDUFA10,COX6A1,UQCR11,ATP6V0C,COX7B,SDHD,NDUFAB1,COX11,ATP6V0A2,SDHB,ATP6V1G1,NDUFS1,NDUFS5,ATP6V1F	Oxidative-phosphorylation
Ascorbate and aldarate metabolism	0.0603813559322034	0.603813559322034	0.186432558434075	-0.520071469716509	-1.32923284756213	27	ALDH9A1,ALDH3A2	Ascorbate-and-aldarate-metabolism
Citrate cycle (TCA cycle)	0.169989506820567	0.92534174553102	0.103958471559957	-0.46326398645721	-1.20932112500859	30	IDH1,IDH2,SDHA,IDH3G,SDHC,PCK2,MDH2,PDHB,IDH3B,SUCLG1,OGDH,ACLY,DLD,SDHD,SDHB,OGDHL,ACO2,CS,DLST,DLAT,MDH1	Citrate-cycle-TCA-cycle-
Nitrogen metabolism	0.309278350515464	0.92534174553102	0.261663521711573	0.351606805293006	1.10522450851224	17	CA2,CA5B,CA4,GLUL,CA3,CA12,CA7,CA5A,CA9,CPS1,GLUD1,CA8,CA6,GLUD2,CA1,CA14,CA13	Nitrogen-metabolism
Propanoate metabolism	0.445147679324895	0.92534174553102	0.053457214108991	-0.395080948319124	-1.0376333590686	32	BCKDHA,HIBCH,ACSS1,PCCA,ECHDC1,ABAT,SUCLG1,HADHA,DBT,MLYCD,DLD,EHHADH,LDHB,MCEE,PCCB,ECHS1	Propanoate-metabolism
Amino sugar and nucleotide sugar metabolism	0.447085073963022	0.92534174553102	0.203508959461977	0.271147178296674	1.06827827481985	48	CYB5R1,GNPDA1,GFPT2,HK2,UAP1,GFPT1,NAGK,GMPPB,UGP2,PGM1,PGM3,CYB5R3,GALE	Amino-sugar-and-nucleotide-sugar-metabolism
Fatty acid degradation	0.471324296141814	0.92534174553102	0.0502948063662358	-0.372047963883564	-1.01835538919846	44	ACAA1,CPT2,ACOX1,ALDH9A1,ADH5,ACSL4,ACSL5,ALDH3A2,ECI2,HADHA,CPT1B,HADHB,ACADS,EHHADH,HADH,ECHS1,ACOX3,ACADVL,ACAT2	Fatty-acid-degradation
Pentose phosphate pathway	0.530954879328437	0.92534174553102	0.0451344222209097	-0.380691105761252	-0.993769880151224	30	GLYCTK,G6PD,DERA,RPE,ALDOA,PGLS,TALDO1,IDNK,PGM2,TKTL1,GPI,PFKL,TKT,PRPS2,H6PD,PGD	Pentose-phosphate-pathway
Sulfur metabolism	0.638724911452184	0.92534174553102	0.042077210988939	-0.439527978448228	-0.904787892934926	9	TST,MPST,BPNT1,ETHE1,SQOR,SUOX,PAPSS2,PAPSS1	Sulfur-metabolism
Glycolysis / Gluconeogenesis	0.69959266802444	0.92534174553102	0.0308468245215279	-0.317786750625659	-0.912361084508051	68	MINPP1,BPGM,ALDH9A1,PCK2,ADH5,ACSS1,PDHB,ALDOA,GAPDH,ALDH3A2,GALM,PGM2,DLD,LDHB,G6PC3,PGAM1,GPI,PFKL,ENO3,HKDC1	Glycolysis-Gluconeogenesis
Fructose and mannose metabolism	0.705882352941177	0.92534174553102	0.237793834423688	0.244287100297915	0.911690131833925	33	PFKFB2,PFKFB3,HK2,KHK,GMPPB	Fructose-and-mannose-metabolism
Glyoxylate and dicarboxylate metabolism	0.741798941798942	0.92534174553102	0.0298484971250709	-0.330878809090145	-0.850873825384816	28	GLYCTK,MDH2,GRHPR,PCCA,GLDC,AFMID,SHMT2,DLD,MCEE,PCCB,ACO2,CS,ACAT2,CAT,PGP,MDH1,GCSH	Glyoxylate-and-dicarboxylate-metabolism
Butanoate metabolism	0.758730158730159	0.92534174553102	0.0287155399266326	-0.325116111297086	-0.836054717660148	28	HMGCL,ABAT,HADHA,ALDH5A1,BDH2,OXCT1,ACADS,EHHADH,HADH,L2HGDH,ECHS1	Butanoate-metabolism
Galactose metabolism	0.8	0.92534174553102	0.224966093540314	0.236893203883495	0.845905941396069	31	HK2,UGP2,PGM1,GLA,GALE,GAA,GCK,G6PC2,SI,AKR1B10,MGAM2,LALBA,G6PC,GLB1,PFKM,PFKP,B4GALT2,GALT,LCT,HK3,HK1,MGAM,HKDC1,PFKL,G6PC3,GALK1,GANC,PGM2,GALM,B4GALT1,AKR1B1	Galactose-metabolism
Inositol phosphate metabolism	0.828920570264766	0.92534174553102	0.0218679438176212	-0.290054449542759	-0.836845843403219	73	INPP5K,MTMR1,PLCG2,PIP4K2C,MTMR14,MINPP1,IPPK,INPP5D,PIKFYVE,PI4K2A,PIK3CG,INPPL1,PIP5K1A,PIK3CD,IMPA1,SYNJ1,CDIPT,MTMR2,PIK3C2A	Inositol-phosphate-metabolism
Fatty acid biosynthesis	0.834862385321101	0.92534174553102	0.0279402790995263	-0.336496105680033	-0.752905571563769	13	ACSL4,ACSL5	Fatty-acid-biosynthesis
