pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Oxidative phosphorylation	4.251415668083e-06	8.0776897693577e-05	0.610526878385931	-0.585834599400761	-1.48587149883415	120	NDUFB7,COX5A,ATP5F1B,ATP6V1F,COX6A1,ATP5F1C,NDUFA9,ATP6V0D1,LHPP,COX8A,NDUFB3,NDUFB10,UQCRQ,ATP6V1D,NDUFV1,NDUFS8,COX7B,ATP5MC3,NDUFA6,NDUFS6,NDUFB2,ATP5PB,ATP6V1E1,COX7A2L,CYC1,COX7A2,ATP5MG,NDUFS7,ATP5F1D,UQCRC1,COX17,NDUFAB1,NDUFB6,ATP5MF,ATP5ME,NDUFS3,NDUFA12,SDHD,ATP5F1E,ATP6AP1,NDUFA13,NDUFA1,ATP6V0B,SDHB,UQCRH,PPA1,SDHC,COX5B,NDUFB8,NDUFA8,ATP5PF,UQCR11,NDUFB11,TCIRG1,ATP5F1A,COX6B1,NDUFA11,NDUFA4,UQCRFS1,ATP6V1A,NDUFB5,COX11,NDUFA10,NDUFA2,ATP6V1B2,NDUFA7,ATP5MC1,NDUFS1	Oxidative-phosphorylation
Citrate cycle (TCA cycle)	0.0145493701880769	0.13821901678673	0.380730400722792	-0.599657157452385	-1.38860435530811	30	DLST,MDH2,SUCLG1,SUCLA2,SDHD,IDH3B,SDHB,IDH3G,SDHC,IDH2,PDHB,MDH1,PDHA1,ACO2,IDH1,ACLY,FH	Citrate-cycle-TCA-cycle-
Ascorbate and aldarate metabolism	0.18993839835729	0.63946266069623	0.0959206777921745	-0.51499979537679	-1.17312900418317	27	UGDH	Ascorbate-and-aldarate-metabolism
Sulfur metabolism	0.194790486976217	0.63946266069623	0.10027910675413	-0.62030656562532	-1.18423895363381	9	PAPSS1,MPST,SQOR,ETHE1,BPNT1	Sulfur-metabolism
Galactose metabolism	0.196537678207739	0.63946266069623	0.0934449219410994	-0.498629794696601	-1.15851218351173	31	PGM2,GAA,PGM1,HK1,AKR1B1,GLB1,GALE,GALM,UGP2,PFKP,GALK1	Galactose-metabolism
Glyoxylate and dicarboxylate metabolism	0.20630081300813	0.63946266069623	0.0905428948469474	-0.506636260006487	-1.16355380808934	28	CAT,MDH2,GRHPR,SHMT2,PCCA,ACAT1,GCSH,SHMT1,MDH1,ACO2,PCCB,GLYCTK,PGP	Glyoxylate-and-dicarboxylate-metabolism
Starch and sucrose metabolism	0.235591506572295	0.63946266069623	0.0828962134571565	-0.480176436656709	-1.13149348074355	35	GYG1,PGM2,GAA,PGM1,HK1,GPI,GYS1	Starch-and-sucrose-metabolism
Fatty acid degradation	0.362449799196787	0.768606013276064	0.0607719451853533	-0.440122342088871	-1.06344617880911	44	ACAA2,ACSL5,ACADM,ACADS,ECHS1,ACAT1,ACADVL,ADH5,ACOX1,HADHB,HADHA,ALDH1B1,ECI2,ACSL4	Fatty-acid-degradation
Pentose phosphate pathway	0.418533604887984	0.768606013276064	0.0546808488785442	-0.456181330256896	-1.05636258007188	30	TALDO1,PGM2,PGM1,GPI,G6PD,RBKS,PGLS,TKT,ALDOA	Pentose-phosphate-pathway
Fatty acid elongation	0.441955193482688	0.768606013276064	0.0521630305460055	-0.45103246561443	-1.04443954075089	30	ACAA2,HACD4,ABHD17A,ELOVL1,ELOVL6,ECHS1,PPT1,HADHB,HADHA,HACD2,ACOT7,ACOT4,ACOT2	Fatty-acid-elongation
