pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Amino sugar and nucleotide sugar metabolism	0.000874294206470734	0.0174858841294147	0.477270815362862	-0.601769032858126	-1.58769201671951	48	CYB5R3,UGDH,CMAS,GALK1,NAGK,HEXB,GMPPA,GPI,GNPDA1,FPGT,UAP1,PGM2,GMPPB,AMDHD2,PGM1,GALE,NPL,GFPT1,TSTA3,HEXA,HK1,UGP2,GNPDA2,UAP1L1,GFPT2,PMM1,CYB5R1,CYB5R4	Amino-sugar-and-nucleotide-sugar-metabolism
Galactose metabolism	0.00508248686547688	0.0508248686547688	0.407017918923954	-0.619946414965733	-1.54733643419711	31	GALM,GLB1,GALK1,G6PC3,PFKP,PGM2,PGM1,GALE,GLA,GAA,PFKL,HK1,UGP2	Galactose-metabolism
Starch and sucrose metabolism	0.0233157553607165	0.155438369071443	0.352487857583619	-0.568170879841002	-1.43693952539183	35	GYG1,G6PC3,GPI,GYS1,PGM2,PGM1,GAA,AGL,HK1,UGP2,PYGB	Starch-and-sucrose-metabolism
Glycolysis / Gluconeogenesis	0.13903192584964	0.606060606060606	0.115734447701689	-0.437209364911529	-1.19435910208027	68	GAPDH,GALM,PGAM1,TPI1,ENO1,ALDOA,G6PC3,PFKP,GPI,PDHA1,PGM2,PGK1,PGM1,ALDOC,ENO2,LDHA,PFKL,ENO3,PKM,HK1	Glycolysis-Gluconeogenesis
Fructose and mannose metabolism	0.151515151515152	0.606060606060606	0.11331290842208	-0.49203049233067	-1.23514797058366	33	TPI1,ALDOA,PFKP,GMPPA,KHK,FPGT,PFKFB3,GMPPB,ALDOC,TSTA3,PFKL,HK1,TKFC,PMM1	Fructose-and-mannose-metabolism
Sulfur metabolism	0.204938271604938	0.683127572016461	0.102449405629826	-0.619222844375049	-1.2105051398906	9	SQOR,PAPSS1,MPST,IMPAD1,TST,SUOX	Sulfur-metabolism
Fatty acid elongation	0.240641711229947	0.687547746371276	0.0847985102819124	-0.470920726716874	-1.17334820750269	30	ELOVL1,ELOVL5,ECHS1,HACD4,HACD2,ABHD17A,ACAA2,ELOVL6	Fatty-acid-elongation
Citrate cycle (TCA cycle)	0.298395721925134	0.745989304812834	0.0734381410838857	-0.454516889754391	-1.13247633331213	30	DLST,IDH2,OGDH,ACLY,PDHA1,MDH1,MDH2,IDH1,SDHD,SUCLG1,IDH3G,PCK2,SDHC,SUCLA2,SDHB,PDHB,DLD,DLAT,SUCLG2	Citrate-cycle-TCA-cycle-
Fatty acid degradation	0.360341151385927	0.80075811419095	0.0639271933359996	-0.41096015298722	-1.07102375481673	44	ACSL5,ACADVL,ECHS1,ACSL4,ACAA2,ACADM,ACSL6,CPT1A,ACAT2,HADHB,ACSL1,ADH5,ACOX3,CPT1B,ACAT1,ACOX1,ALDH9A1	Fatty-acid-degradation
Glyoxylate and dicarboxylate metabolism	0.434125269978402	0.868250539956803	0.0557104226766671	-0.422387525771232	-1.03534407072096	28	CAT,MDH1,MDH2,GRHPR,MUT,HYI,SHMT1,PGP,AFMID,ACAT2,MCEE,GCSH,ACAT1	Glyoxylate-and-dicarboxylate-metabolism
