pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Oxidative phosphorylation	6.55424038781371e-08	1.31084807756274e-06	0.704975715167238	0.616389179917944	1.47396825914215	120	COX8A,COX17,CYC1,UQCRQ,COX6A1,NDUFA7,NDUFA2,UQCRC1,NDUFB6,ATP6V1D,NDUFA9,COX5A,ATP5MC3,NDUFB3,SDHB,NDUFS3,ATP5F1C,NDUFB10,ATP5MF,COX7A2,ATP5PF,UQCRFS1,NDUFA12,NDUFA10,ATP6V0D1,NDUFS6,UQCR10,NDUFB8,NDUFB11,ATP5F1B,NDUFA6,COX7B,COX6C,NDUFC2,COX15,NDUFS2,NDUFS7,ATP6V1C1,NDUFS4,NDUFB1,ATP5F1A,SDHD,NDUFA4,ATP5MG,ATP6V1B2,ATP5PB,NDUFB9,NDUFV1,NDUFS8,NDUFB7,UQCRH,NDUFS1,NDUFAB1,NDUFB4,COX11,COX6B1,ATP5F1D,ATP5PO,NDUFA1,NDUFC1,SDHA,ATP5PD	Oxidative-phosphorylation
Glyoxylate and dicarboxylate metabolism	0.00516815433041816	0.0516815433041816	0.407017918923954	0.623197663544298	1.3775760761915	28	ACAT2,MDH1,PGP,DLD,CS,GLYCTK,ACO2,SHMT2,SHMT1,MCEE,GCSH,GRHPR,ACAT1,MDH2,AFMID,PCCB,MUT	Glyoxylate-and-dicarboxylate-metabolism
Citrate cycle (TCA cycle)	0.0090422511800096	0.0602816745333973	0.380730400722792	0.601564228365511	1.33407987978576	30	SUCLG1,MDH1,IDH2,SUCLA2,OGDHL,SDHB,IDH3B,IDH3G,DLD,CS,FH,ACLY,ACO2,SDHD,PCK2,SDHA,DLST,MDH2,SDHC,PDHA1,OGDH,PDHB	Citrate-cycle-TCA-cycle-
Pentose and glucuronate interconversions	0.16983016983017	0.754718412441295	0.100990587455923	0.510451112833275	1.14391371334596	34	DCXR,GUSB,AKR1B1,AKR1A1,XYLB,RPE	Pentose-and-glucuronate-interconversions
Butanoate metabolism	0.201798201798202	0.754718412441295	0.0908241419007155	0.512608615730047	1.13311940462556	28	ACAT2,HADH,OXCT1,HADHA,HMGCL,ECHS1,ACADS,ACAT1,HMGCS1,L2HGDH,BDH1,AACS	Butanoate-metabolism
Nitrogen metabolism	0.226415523732389	0.754718412441295	0.249246554383295	-0.272211720226843	-1.10807124240926	17	CA6,CA2,CA3,CA4,GLUL,GLUD2,CA9,CA5A,CA7,CA12,CA13,CA5B,CPS1,CA8,CA1,GLUD1,CA14	Nitrogen-metabolism
Propanoate metabolism	0.268731268731269	0.767803624946482	0.0753093764172773	0.491476709475363	1.09548763380508	32	SUCLG1,ACAT2,SUCLA2,DLD,HADHA,ECHDC1,MCEE,LDHA,ECHS1,ACADM,ACAT1,PCCB,MUT	Propanoate-metabolism
Fatty acid degradation	0.36963036963037	0.852480852480852	0.0596037042575973	0.460208087581447	1.04705127392227	44	ACAT2,ACAA2,HADH,HADHA,ACOX1,ADH5,ECHS1,ACADM,ACADS,ACAT1,ALDH9A1,ECI1,HADHB,ACSL4,ACSL3,ACADVL,ACOX3,GCDH,CPT1B,CPT2,ACSL5,ALDH3A2,CPT1A,ACAA1	Fatty-acid-degradation
Pentose phosphate pathway	0.383616383616384	0.852480852480852	0.0578529757032509	0.47171125378908	1.04610690442544	30	TALDO1,PGM2,G6PD,PRPS2,GLYCTK,PFKL,PGD,RPE,DERA,ALDOA,PRPS1,TKT,PGLS,IDNK,GPI,RPIA	Pentose-phosphate-pathway
Fatty acid elongation	0.492507492507492	0.940888422525359	0.0463227785794633	0.453354227035566	1.00539680417382	30	ELOVL1,ELOVL2,ACAA2,HADH,ACOT7,HADHA,HACD4,ACOT2,ECHS1,HACD2,ELOVL5,HADHB,ABHD17B,TECR,HSD17B12,PPT1,HACD3	Fatty-acid-elongation
Fatty acid biosynthesis	0.537783687505569	0.940888422525359	0.143902565267782	-0.292682926829268	-0.994793370352572	13	ACSL6,OXSM,ACSBG1,ACSBG2,OLAH,FASN,ACSL1,ACACB,ACACA,ACSL5,ACSL3,ACSL4,MCAT	Fatty-acid-biosynthesis
Sulfur metabolism	0.564533053515215	0.940888422525359	0.042331839351853	0.500390314874584	0.96186357627793	9	TST,MPST,ETHE1,SQOR,IMPAD1,PAPSS1	Sulfur-metabolism
Fructose and mannose metabolism	0.612387612387612	0.942134788288635	0.0363018462359236	0.429136431871738	0.958402906009745	33	GMPPB,TSTA3,TIGAR,AKR1B1,TPI1,PFKL,HK3,PMM1,ALDOA,GMPPA,TKFC,HK1,GMDS	Fructose-and-mannose-metabolism
Pyruvate metabolism	0.742257742257742	1	0.0268860833830403	0.402642752679593	0.910941972394158	39	ACAT2,MDH1,ACYP1,DLD,FH,PCK2,PKM,LDHA,GRHPR,HAGH,ACAT1,ALDH9A1,MDH2,PDHA1,PDHB,ME2,ALDH3A2,PC,DLAT,GLO1	Pyruvate-metabolism
Galactose metabolism	0.813186813186813	1	0.0218679438176212	0.389444895262054	0.866138579672623	31	PGM2,AKR1B1,PFKL,HK3,GANC,HK1,GALM,LCT,G6PC3,GALE,PFKP,GLA,UGP2,GLB1,B4GALT1,GALK1,B4GALT2,GAA	Galactose-metabolism
Glycolysis / Gluconeogenesis	0.856143856143856	1	0.0187018035626708	0.380110392242744	0.883436793638872	68	ENO3,GAPDH,PGM2,DLD,TPI1,PFKL,ADH5,PGAM1,PCK2,AKR1A1,PKM,LDHA,BPGM,HK3,ALDOA,ALDH9A1,HK1,GALM,ENO1,PDHA1,PDHB,G6PC3,GPI	Glycolysis-Gluconeogenesis
Ascorbate and aldarate metabolism	0.869130869130869	1	0.0177038118052295	0.367931114766578	0.810718452564489	27	ALDH9A1,UGDH,ALDH3A2,MIOX,ALDH7A1,ALDH2,ALDH1B1	Ascorbate-and-aldarate-metabolism
Amino sugar and nucleotide sugar metabolism	0.964035964035964	1	0.00881182919930239	0.331256635493459	0.757110808693374	48	GMPPB,CYB5R4,PGM2,TSTA3,CYB5R3,HK3,NAGK,PMM1,NANS,GNPNAT1,GMPPA,CMAS,CYB5RL,HK1,CYB5R2,NANP,GMDS,HEXA,GALE,GPI,AMDHD2,UGDH,HEXB,NPL,UGP2,UAP1,GALK1,UXS1,UAP1L1	Amino-sugar-and-nucleotide-sugar-metabolism
Starch and sucrose metabolism	0.976023976023976	1	0.00715048391330487	0.311706905257242	0.699817061321162	35	PGM2,HK3,GANC,PGM2L1,HK1,G6PC3,GPI,GYS1,UGP2,GAA,PGM1,ENPP3,HKDC1,PYGM,GYG1	Starch-and-sucrose-metabolism
