pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Oxidative phosphorylation	6.13477825677507e-08	1.22695565135501e-06	0.704975715167238	0.617039093716937	1.57109672222878	120	NDUFV2,NDUFC1,ATP6V0A1,ATP6V1D,COX10,NDUFA13,ATP6V1A,UQCR10,COX5B,NDUFB5,NDUFB1,NDUFB4,COX8A,NDUFA10,ATP6V1B2,UQCRFS1,ATP6V0D1,NDUFA7,NDUFS7,NDUFC2,ATP6V1E1,NDUFA4,ATP6V0C,NDUFA1,ATP5MC2,NDUFA6,COX5A,NDUFS6,ATP5F1E,COX15,NDUFA2,SDHC,COX6B1,ATP6V0E1,UQCRC2,ATP5MF,COX17,ATP5PF,NDUFS3,NDUFS2,NDUFA11,ATP5F1A,NDUFS4,NDUFS8,ATP6V0B,ATP5PD,CYC1,SDHA,COX7C,COX6A1,UQCRC1,ATP5F1D,NDUFB3,ATP5ME,ATP5MC3,ATP5F1C,NDUFV3,NDUFAB1,NDUFB6,UQCRB,NDUFA8,ATP6V1F,UQCR11,UQCRH,ATP6V1C1,NDUFV1,ATP6V1H,TCIRG1,COX7A2,COX11,NDUFB8,NDUFB10,ATP5MG,ATP5PO,SDHB,NDUFA5,NDUFA9,UQCRQ,NDUFA3,COX7B,NDUFB11	Oxidative-phosphorylation
Ascorbate and aldarate metabolism	0.0017099707842091	0.017099707842091	0.45505986738723	0.654781996671619	1.52209577231617	27	ALDH3A2,ALDH9A1	Ascorbate-and-aldarate-metabolism
Nitrogen metabolism	0.100489050030466	0.669927000203107	0.287805130535564	-0.387846217997132	-1.24199423562582	17	CA5B,GLUL,CA2	Nitrogen-metabolism
Fructose and mannose metabolism	0.296370967741935	0.854700854700855	0.0707899094502623	0.469119269324334	1.10555221848633	33	TKFC,PMM1,TIGAR,PFKL,TSTA3,ALDOC,ALDOA,FUK,FPGT,GMDS	Fructose-and-mannose-metabolism
Galactose metabolism	0.390909090909091	0.854700854700855	0.0574877409561325	0.452799986096422	1.06250033010869	31	UGP2,PFKL,GALM,GLB1,B4GALT1,G6PC3,PFKP,GAA,HK1,PGM2	Galactose-metabolism
Inositol phosphate metabolism	0.464535464535465	0.854700854700855	0.0489954089862481	0.409962395924992	1.0142155256881	73	INPP1,INPP5F,MINPP1,PI4K2A,PIP5K1C,PIP5K1B,CDIPT,MTMR1,PIK3C3,MTMR14,PIK3C2A,INPP5K,PI4KB,MTMR6,PIP4K2C,PLCB2,PIKFYVE,IMPA1,PTEN,SYNJ1,PIP5K1A	Inositol-phosphate-metabolism
Sulfur metabolism	0.490438695163105	0.854700854700855	0.0519512476197082	0.517990545559523	1.01330904380127	9	PAPSS1,SUOX,PAPSS2,ETHE1,MPST,SQOR,TST,IMPAD1	Sulfur-metabolism
Pentose phosphate pathway	0.506585612968592	0.854700854700855	0.0456790414930062	0.428397166801582	1.00098861145522	30	DERA,PFKL,IDNK,ALDOC,ALDOA,GLYCTK,GPI,PGLS,RPIA,TKT,PFKP,G6PD,PGM2,PRPS1,TALDO1	Pentose-phosphate-pathway
Butanoate metabolism	0.519308943089431	0.854700854700855	0.0446854397644147	0.429692705696358	1.00100915006669	28	OXCT1,BDH2,ABAT,HMGCL,ECHS1,ACAT2,HADHA,ALDH5A1,HMGCS1,L2HGDH	Butanoate-metabolism
Fatty acid degradation	0.556338028169014	0.854700854700855	0.0410713282497468	0.40880217977585	0.981674821310799	44	ALDH3A2,ACSL4,ALDH9A1,ACOX1,HADHB,ECI1,ACOX3,ACADVL,ECHS1,CPT1B,ACAA1,ACAT2,ACSL1,CPT2	Fatty-acid-degradation
