pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Galactose metabolism	0.0348837209302326	0.646871686108165	0.248911114434702	-0.557485822607463	-1.38780316541445	31	GALM,GLB1,PFKP,G6PC3,GALK1,GAA,PGM1,UGP2,GALE,PFKL,PGM2	Galactose-metabolism
Amino sugar and nucleotide sugar metabolism	0.0870466321243523	0.646871686108165	0.151148761385484	-0.488969203200846	-1.28448442327029	48	CYB5R3,CMAS,AMDHD2,NAGK,GNPDA1,GALK1,HEXB,GPI,GMPPA,UGDH,PGM1,UGP2,GALE,FPGT,GMPPB,HEXA,PGM2,NPL,TSTA3,UAP1,PMM1,CYB5R1,CYB5R4,GNPDA2,GFPT2,GNE,GFPT1,UXS1,HK1	Amino-sugar-and-nucleotide-sugar-metabolism
Starch and sucrose metabolism	0.155625657202944	0.646871686108165	0.109684061970549	-0.489673417280682	-1.23470700832469	35	GYG1,G6PC3,GPI,GYS1,GAA,PGM1,UGP2,PYGB,AGL,PGM2	Starch-and-sucrose-metabolism
Citrate cycle (TCA cycle)	0.180952380952381	0.646871686108165	0.100633389423036	-0.489689110538525	-1.21390823230656	30	DLST,OGDH,IDH2,IDH1,PDHA1,MDH1,ACLY,MDH2,SDHC,PCK2,SUCLG2,IDH3G,SUCLG1,PDHB,DLD,PC,SDHD,SDHB,SDHA,DLAT	Citrate-cycle-TCA-cycle-
Fatty acid elongation	0.204232804232804	0.646871686108165	0.0934449219410994	-0.479340001209104	-1.188253446971	30	ELOVL5,ELOVL1,HACD4,ECHS1,HACD2,ACAA2,HADHB,ELOVL6,ABHD17A,ACOT4	Fatty-acid-elongation
Ascorbate and aldarate metabolism	0.222177682274449	0.646871686108165	0.249246554383295	0.347939929742242	1.16282955477622	27	ALDH7A1,ALDH3A2	Ascorbate-and-aldarate-metabolism
Oxidative phosphorylation	0.322613065326633	0.646871686108165	0.066436413766281	-0.387078947842835	-1.07587081901547	120	TCIRG1,COX6A1,COX17,UQCR11,NDUFA6,ATP6AP1,ATP6V1E1,NDUFB10,ATP5F1E,COX8A,ATP6V0B,ATP6V0E1,NDUFA9,NDUFA1,ATP6V0C,ATP5F1B,NDUFA13,ATP6V0D1,ATP6V1D,ATP5PF,ATP5ME,ATP5F1C,NDUFA3,ATP6V1B2,ATP6V1F,ATP6V1A,NDUFA5,SDHC,NDUFB2,NDUFB7,COX5A,NDUFV2,COX5B,NDUFA7,NDUFB3,UQCRQ,COX7B,NDUFV3,UQCRC2,NDUFC2,NDUFB1,NDUFS7,ATP6V1E2,UQCR10	Oxidative-phosphorylation
Fatty acid degradation	0.366211962224554	0.646871686108165	0.0623861492893626	-0.412199860790137	-1.06902631482806	44	ACSL5,ACADVL,ECHS1,ACSL4,ACAA2,HADHB,ACSL6,CPT2,ACADM,ACAT1,CPT1A,ACADSB,ADH5,ACSL1,ACAT2,ACOX3,ECI1,GCDH,ALDH9A1,CPT1B	Fatty-acid-degradation
Pyruvate metabolism	0.366470961530572	0.646871686108165	0.203508959461977	0.273328584939822	1.00952274128884	39	LDHB,ACSS2,ME3,ALDH7A1,ACACA	Pyruvate-metabolism
Butanoate metabolism	0.384615384615385	0.646871686108165	0.287857117255149	0.311926288379388	1.06817022023098	28	ALDH5A1,ACSM3,BDH1,HADHA	Butanoate-metabolism
