pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Butanoate metabolism	0.0111587327478688	0.223174654957376	0.380730400722792	-0.558094297635321	-1.58637839063817	28	HADHA,ACSM3,AACS,BDH1,HMGCS1,ALDH5A1,HADH,OXCT1,ACADS,BDH2	Butanoate-metabolism
Propanoate metabolism	0.062962962962963	0.62962962962963	0.245041785430996	-0.469591778202138	-1.36611177114259	32	ACSS2,LDHB,ALDH6A1,HADHA,SUCLA2,ACADM	Propanoate-metabolism
Pyruvate metabolism	0.222222222222222	0.766096169519152	0.122679189568808	-0.383336768024655	-1.17430667962279	39	ACSS2,LDHB,ME1,ACYP2,GLO1,DLAT,ALDH3A2,ALDH1B1,ALDH7A1	Pyruvate-metabolism
Pentose phosphate pathway	0.234750462107209	0.766096169519152	0.119887845115423	-0.410007628336163	-1.17746987360404	30	PRPS2,RPIA,ALDOC,FBP1,TKTL1,PFKM,TKT,PGD,GLYCTK,PGM2,IDNK,RBKS,DERA,PGLS,PRPS1	Pentose-phosphate-pathway
Fatty acid elongation	0.247288503253796	0.766096169519152	0.127505315300183	0.374733682871148	1.13753441077265	30	ABHD17B,ABHD17A,HACD4,PPT2,HACD3,ABHD17C,ACAA2,ELOVL5,TECR	Fatty-acid-elongation
Inositol phosphate metabolism	0.269141531322506	0.766096169519152	0.126253987849115	0.309331053176128	1.10153997065334	73	PIP4K2A,PLCG2,PIK3CG,IMPA1,PIP4K2C,ITPK1,INPP5E,IPPK,INPP4A,INPP5K,PI4K2A	Inositol-phosphate-metabolism
Glycolysis / Gluconeogenesis	0.303350970017637	0.766096169519152	0.10027910675413	-0.314551590234669	-1.07798464145953	68	ACSS2,LDHB,ADPGK,ALDOC,FBP1,ENO3,HK2,PFKM,DLAT,TPI1,ALDH3A2,ALDH1B1,ALDH7A1	Glycolysis-Gluconeogenesis
Ascorbate and aldarate metabolism	0.330960854092527	0.766096169519152	0.0956031492204301	-0.388517645786139	-1.09606312892	27	ALDH3A2,ALDH1B1,ALDH7A1	Ascorbate-and-aldarate-metabolism
Oxidative phosphorylation	0.344743276283619	0.766096169519152	0.112843355675562	0.270036692162038	1.03719351270702	120	ATP6V1E1,NDUFA3,NDUFB10,NDUFA9,ATP5F1E,ATP6V1H,NDUFC2,ATP6V1C2,ATP6V0C,UQCR10,SDHA,NDUFA1,COX6B2,NDUFA8,NDUFB8,COX6A1,NDUFA2,CYC1,NDUFS7,SDHB,ATP6V1G3,COX7A2,NDUFS6,NDUFB7,NDUFS3,ATP6V0E1,COX5A,ATP6V1B2,ATP5F1C,ATP6V0D1,ATP5F1B,NDUFB3,NDUFA7,ATP6V1D,NDUFB9,NDUFA12,NDUFA13,UQCRC1,ATP5MF,COX17,COX6B1,COX5B,UQCR11,NDUFS1,NDUFA6,COX6A2,UQCRC2,NDUFS4	Oxidative-phosphorylation
Galactose metabolism	0.40625	0.802597402597403	0.0857844408075645	-0.355227844017247	-1.03010784138046	31	GAA,GALT,UGP2,HK2,PFKM,GLB1,GALE,GALK1,PGM2	Galactose-metabolism
Fructose and mannose metabolism	0.477313974591652	0.802597402597403	0.0764767053228531	-0.329309689150733	-0.974325278803386	33	PFKFB3,GMPPB,ALDOC,FBP1,HK2,PFKM,TPI1,ENOSF1,PFKFB2,FPGT,PMM1,PFKFB4	Fructose-and-mannose-metabolism
Glyoxylate and dicarboxylate metabolism	0.527827648114901	0.802597402597403	0.0707899094502623	-0.334511834032797	-0.950847100876713	28	HYI,CS,ACO1,SHMT2,AFMID,MUT	Glyoxylate-and-dicarboxylate-metabolism
Amino sugar and nucleotide sugar metabolism	0.554945054945055	0.802597402597403	0.0692836467392548	-0.297009072642447	-0.94945897462391	48	GNPDA1,CYB5R1,GMPPB,UXS1,GALT,UGP2,HK2,NANS,GFPT2,GALE,GALK1,PGM2,FPGT,RENBP,PMM1,CYB5R2,GCK,CHIT1	Amino-sugar-and-nucleotide-sugar-metabolism
Sulfur metabolism	0.561818181818182	0.802597402597403	0.0683110858318647	-0.439085002575962	-0.921112384787069	9	ETHE1,PAPSS1,SUOX	Sulfur-metabolism
Pentose and glucuronate interconversions	0.664259927797834	0.830518018018018	0.0598603117764473	-0.293445262458966	-0.874741875952895	34	DCXR,UGP2,KL,CRYL1,GUSB	Pentose-and-glucuronate-interconversions
Fatty acid degradation	0.664414414414414	0.830518018018018	0.070619624712259	0.275251254422685	0.893524905116777	44	ACSL5,CPT2,CPT1A,ACAA2,ACOX3,ALDH9A1,ACSL4,ACADVL,ECI2,ACOX1,ACAT1,ACSL3,ADH5	Fatty-acid-degradation
Nitrogen metabolism	0.782417582417582	0.92049127343245	0.0614364107201271	0.297295596931769	0.779949904003723	17	CA5B,GLUD1,GLUL,GLUD2	Nitrogen-metabolism
Starch and sucrose metabolism	0.849364791288566	0.935888705126958	0.048701086452153	-0.261904684821379	-0.781398034904026	35	AMY2B,GAA,UGP2,HK2	Starch-and-sucrose-metabolism
Citrate cycle (TCA cycle)	0.88909426987061	0.935888705126958	0.0474483193656297	-0.258681733884439	-0.742888491457168	30	CS,SUCLA2,DLST,ACO1,IDH3A,DLAT,SUCLG2	Citrate-cycle-TCA-cycle-
Fatty acid biosynthesis	0.952293577981651	0.952293577981651	0.0439759278026345	-0.26682150221838	-0.619782338114866	13	OXSM,FASN,ACSL1	Fatty-acid-biosynthesis
