pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Oxidative phosphorylation	0.00384883799148632	0.0769767598297264	0.431707695803346	-0.391346849724632	-1.48762216112572	120	UQCR10,NDUFC1,UQCRB,ATP5MC2,NDUFB9,NDUFS4,SDHA,COX10,COX7C,NDUFB5,NDUFA2,NDUFS3,ATP6V0A2,ATP5F1A,UQCRH,UQCRFS1,NDUFB1,NDUFV2,ATP5PO,NDUFS2,ATP5PD,ATP6V1H,COX5B,COX6B1,COX4I1,NDUFB8,NDUFA7,ATP6V1G2,NDUFB4,ATP5MC3,ATP5F1D,NDUFA3,ATP6V0A1,NDUFB11,NDUFA1,UQCRHL,NDUFA13,NDUFB6,ATP6V0E2,CYC1,COX11,COX15,ATP5MF,NDUFS7,ATP6V0E1,NDUFC2,NDUFAB1,ATP6V1G3,NDUFA10,NDUFA12,ATP6V1C1,ATP5MC1,NDUFA4,COX5A,COX6C,ATP6V1D,UQCRC2,ATP5ME,ATP5F1E,NDUFA4L2,NDUFA11,SDHB,NDUFS6,ATP5MG,NDUFB10,ATP5PF,PPA2,SDHC,ATP6V0C,NDUFA8,ATP6V1A,COX8A	Oxidative-phosphorylation
Amino sugar and nucleotide sugar metabolism	0.0136852178921942	0.136852178921942	0.380730400722792	0.465185876970704	1.51009621747764	48	CYB5R1,GNPDA1,GMPPB,HEXB,UAP1,CYB5R3,GFPT1,GFPT2,GALT,NAGK,HK1,GALE,GNE,GMPPA,AMDHD2,PGM1,PGM3,GALK1	Amino-sugar-and-nucleotide-sugar-metabolism
Ascorbate and aldarate metabolism	0.0327226398901869	0.218150932601246	0.321775918075361	-0.510317562168508	-1.47099582817922	27	ALDH3A2,ALDH9A1,ALDH2,ALDH7A1	Ascorbate-and-aldarate-metabolism
Galactose metabolism	0.192	0.785571142284569	0.140406238523342	0.394204966919422	1.17621366124502	31	GALM,GALT,GLB1,GAA,GLA,HK1,GALE,PGM1,GALK1,PFKP,HK2,PGM2,GCK,PFKM	Galactose-metabolism
Glyoxylate and dicarboxylate metabolism	0.196392785571142	0.785571142284569	0.13880510939114	0.401722029080375	1.18653040121098	28	HYI,CAT,ACAT1,GCSH,MUT,SHMT1	Glyoxylate-and-dicarboxylate-metabolism
Inositol phosphate metabolism	0.289915966386555	0.922155688622755	0.114266502484433	-0.297659175081249	-1.07587589056456	73	ITPKB,PIKFYVE,MTMR1,PIP5K1C,PIP5K1B,PIP4K2C,PIK3CA,ISYNA1,PLCG2,IMPA1,MINPP1,INPP5K,MTMR4,INPP1,MTMR3,INPP5F,PIK3C2A,PIP5K1A,PTEN,PIK3CG,PI4K2A,SYNJ1,MTMR14,PI4KA	Inositol-phosphate-metabolism
Pentose and glucuronate interconversions	0.3420523138833	0.922155688622755	0.100990587455923	-0.353834779801989	-1.08294619993416	34	DCXR,KL,CRYL1,UGP2	Pentose-and-glucuronate-interconversions
Fatty acid elongation	0.400398406374502	0.922155688622755	0.0911073131586733	0.346819840478271	1.03030620273703	30	ELOVL6,ACAA2,ELOVL4,HSD17B12,PPT1,ELOVL1,HACD2,HADHB,ACOT4,THEM4,HACD3,HACD4,HADH	Fatty-acid-elongation
Glycolysis / Gluconeogenesis	0.453667953667954	0.922155688622755	0.0824344091527096	0.29019401737552	0.994472191849324	68	LDHA,GALM,PGK1,TPI1,ENO1,ENO2,HK1,ENO3,PDHA1,PGM1,GAPDH,PFKP,ADPGK,ALDOC,FBP1,HK2,PGM2,GCK,PGAM1,DLAT,PFKM	Glycolysis-Gluconeogenesis
Fructose and mannose metabolism	0.461077844311377	0.922155688622755	0.0833634065110386	0.328185985971486	0.987924223079708	33	GMPPB,PFKFB3,KHK,TPI1,SORD,HK1,PFKFB4,GMPPA,PFKP,ALDOC,FBP1,HK2	Fructose-and-mannose-metabolism
Butanoate metabolism	0.52286282306163	0.950659678293873	0.0764767053228531	-0.331760474247092	-0.962646310499037	28	ALDH5A1,OXCT1,L2HGDH,BDH2,HMGCL,ABAT,BDH1	Butanoate-metabolism
Starch and sucrose metabolism	0.576	0.96	0.0718276293603809	0.306415903739976	0.934629639806223	35	GYG1,GAA,GBE1,ENPP1,GYS1,HK1,PGM1	Starch-and-sucrose-metabolism
Pyruvate metabolism	0.62763915547025	0.965598700723461	0.0655321029282414	0.289913645866232	0.911228673820068	39	GLO1,ME1,LDHA,ACAT1,PDHA1,ACACB,ACYP1,FH,ACOT12	Pyruvate-metabolism
