pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Oxidative phosphorylation	0.000359629158115326	0.00719258316230652	0.49849310876659	-0.505463501984695	-1.52182602644693	120	NDUFV2,UQCRFS1,NDUFS7,ATP6V0A1,CYC1,ATP6V1H,ATP6V0A2,NDUFS8,ATP6V1D,NDUFC2,NDUFB5,COX10,NDUFA2,NDUFB8,COX15,NDUFS6,ATP5PD,NDUFV1,ATP6V1B2,NDUFB6,NDUFS3,ATP6V0C,NDUFA10,NDUFS2,NDUFC1,NDUFB9,NDUFA12,NDUFB4,ATP6V0D1,SDHB,ATP5F1A,COX5B,UQCRC1,COX5A,ATP6V1G2,UQCRC2,UQCR10,ATP5MC3,NDUFA13,ATP5MC1,NDUFA8,ATP6V1A,NDUFS4,ATP5MF,ATP6V1C1,UQCRH,NDUFB11,SDHA,ATP5F1D,NDUFA5,COX7A2,UQCRB,ATP6V0E1,NDUFA7,ATP5MC2,COX8A,COX11,ATP6V0B,NDUFA6,NDUFB3,NDUFAB1,UQCRHL,NDUFB10,ATP6V1C2,NDUFB1,COX6B1,ATP5F1C,COX6C,NDUFA4,COX6A1,NDUFA11,NDUFA3,ATP5PF,NDUFA1	Oxidative-phosphorylation
Pentose phosphate pathway	0.00921561647923471	0.0921561647923471	0.380730400722792	-0.580864233819524	-1.50324807997346	30	RPIA,IDNK,TKTL1,GLYCTK,G6PD,GPI,PFKL,ALDOA,PGD,DERA,H6PD,TKT	Pentose-phosphate-pathway
Ascorbate and aldarate metabolism	0.0279329608938547	0.186219739292365	0.287857117255149	-0.549733013333668	-1.39129108586382	27	ALDH3A2,ALDH9A1	Ascorbate-and-aldarate-metabolism
Inositol phosphate metabolism	0.22651356993737	0.778885197489849	0.086794975677172	-0.389106349690054	-1.13427580554526	73	INPP5F,INPP1,PIP5K1C,MTMR6,IPPK,PI4K2A,PIKFYVE,PIP5K1B,ITPKB,PIK3C2A,PIP4K2C,PLCG2,MTMR1,MINPP1,PI4KA,SYNJ1,PTEN,PIP5K1A,MTMR14,PIK3C3	Inositol-phosphate-metabolism
Fructose and mannose metabolism	0.232222222222222	0.778885197489849	0.0888945288620449	-0.4426440762584	-1.16083116120041	33	TIGAR,FUK,TSTA3,FPGT,PMM1,PFKL,ALDOA,TKFC,GMDS,HK1,HKDC1,ENOSF1,MPI	Fructose-and-mannose-metabolism
Pentose and glucuronate interconversions	0.233665559246955	0.778885197489849	0.0883594442500905	-0.440389450880332	-1.15978488567591	34	KL,DCXR,UGP2,CRYL1,AKR1A1,XYLB	Pentose-and-glucuronate-interconversions
Fatty acid biosynthesis	0.339080459770115	0.9688013136289	0.183023938384487	0.404238657589322	1.09810830120443	13	ACSL6,OXSM,ACACB,ACSBG2,ACSBG1	Fatty-acid-biosynthesis
Butanoate metabolism	0.424749163879599	0.998899889988999	0.0582216241124161	-0.406776686308105	-1.03661809894511	28	ALDH5A1,L2HGDH,OXCT1,BDH2,HMGCS1,ABAT,ACAT2,HMGCL,ECHS1	Butanoate-metabolism
Starch and sucrose metabolism	0.456736035049288	0.998899889988999	0.0540088272801684	-0.387094016065773	-1.0255657772272	35	PGM2L1,AMY2B,PYGB,GPI,HK1,HKDC1,AGL,ENPP3,UGP2	Starch-and-sucrose-metabolism
Sulfur metabolism	0.5389369592089	0.998899889988999	0.0519512476197082	-0.48117643295617	-0.972340321545715	9	SUOX,PAPSS2,PAPSS1,MPST,ETHE1,TST	Sulfur-metabolism
Fatty acid elongation	0.745837957824639	0.998899889988999	0.0319257308349884	-0.320937592753825	-0.830570711723988	30	HACD1,ACOT2,ABHD17B,PPT2,ABHD17A,ELOVL5	Fatty-acid-elongation
Nitrogen metabolism	0.824214202561118	0.998899889988999	0.0293519190331994	-0.329335667847362	-0.769641211824199	17	CA6,CA8,CA13,GLUD1,CA3,CA14,GLUD2,CA4,CA9,CPS1,CA1,GLUL,CA2	Nitrogen-metabolism
Citrate cycle (TCA cycle)	0.830188679245283	0.998899889988999	0.0265350909115755	-0.298723380799866	-0.773081423309153	30	PCK2,OGDH,ACO2,SDHB,PC,IDH3B,SDHA,ACLY,CS,DLD,IDH1,PDHB,IDH3A,OGDHL	Citrate-cycle-TCA-cycle-
Glycolysis / Gluconeogenesis	0.830704521556257	0.998899889988999	0.0235793094960052	-0.283750726716193	-0.820167156994007	68	ALDH3A2,PCK2,MINPP1,ALDH9A1,GPI,ALDH3A1,PFKL,ALDOA,PKM,HK1,HKDC1,BPGM,ADPGK,ALDH7A1,AKR1A1,DLD,PDHB,GAPDHS,ALDOC,ACSS1,ACSS2	Glycolysis-Gluconeogenesis
Amino sugar and nucleotide sugar metabolism	0.856216216216216	0.998899889988999	0.0234376252595191	-0.285069436070822	-0.791291433888191	48	FUK,TSTA3,FPGT,UAP1L1,CYB5R4,RENBP,PMM1,GNPNAT1,GPI,GMDS,HK1,HKDC1,MPI,UGP2,NANP,NPL,HEXA,CHIT1,GNPDA2	Amino-sugar-and-nucleotide-sugar-metabolism
Glyoxylate and dicarboxylate metabolism	0.895238095238095	0.998899889988999	0.142056643575821	0.240187501937083	0.797345380477613	28	HYI,ACAT1	Glyoxylate-and-dicarboxylate-metabolism
Propanoate metabolism	0.900332225913621	0.998899889988999	0.0219398252709772	-0.275713716135204	-0.7196944072413	32	ECHDC1,HIBCH,MLYCD,PCCA,ABAT,ACACA,ACAT2,ECHS1,DLD,ACADM,ACSS1,ACSS2,MUT,PCCB,HADHA,MCEE,BCKDHA,EHHADH,LDHAL6A,BCKDHB,SUCLG1	Propanoate-metabolism
Fatty acid degradation	0.939890710382514	0.998899889988999	0.0184736429135616	-0.252467743254824	-0.69082380301167	44	ALDH3A2,ACSL4,ALDH9A1,ACAA1,ACOX1,CPT2,CPT1B,ECI1,ECI2,ACAT2,ACOX3,ALDH7A1	Fatty-acid-degradation
Pyruvate metabolism	0.993471164309032	0.998899889988999	0.0141641602737639	-0.210268973132345	-0.568400694357225	39	ME3,ALDH3A2,PCK2,ALDH9A1	Pyruvate-metabolism
