pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Ascorbate and aldarate metabolism	0.00300233050026417	0.0600466100052833	0.431707695803346	0.669511053520852	1.51544232168122	27	UGDH,ALDH3A2,ALDH1B1,ALDH9A1	Ascorbate-and-aldarate-metabolism
Amino sugar and nucleotide sugar metabolism	0.0316004077471967	0.247678018575851	0.257206466468838	0.555435683049745	1.31053685492081	48	NPL,GALE,PGM1,UGDH,GNPDA2,GPI,UAP1L1,TSTA3,GMDS,HEXA,CYB5R4,CYB5R3,GNE,HK1,CMAS,PGM2,UGP2,UAP1,GALK1	Amino-sugar-and-nucleotide-sugar-metabolism
Pentose phosphate pathway	0.0371517027863777	0.247678018575851	0.237793834423688	0.596203854986549	1.36285876623195	30	PGM1,GPI,IDNK,PRPS2,H6PD,PGD,DERA,RPE,RBKS,G6PD,PGM2,PRPS1,FBP1	Pentose-phosphate-pathway
Starch and sucrose metabolism	0.117098445595855	0.438458231838372	0.128142916898415	0.531173662703258	1.22568867773074	35	PGM1,PYGB,GPI,GYG1,GYS1,AGL,HK1,PGM2,UGP2	Starch-and-sucrose-metabolism
Pentose and glucuronate interconversions	0.128764278296989	0.438458231838372	0.121543282035469	0.5300083788867	1.21904486521778	34	UGDH,GUSB,DCXR,RPE,UGP2,AKR1A1,XYLB,AKR1B1	Pentose-and-glucuronate-interconversions
Citrate cycle (TCA cycle)	0.135190918472652	0.438458231838372	0.11776578836269	0.535394109990611	1.22385413996714	30	IDH1,DLST,PDHA1,IDH2,ACLY,DLD,PCK2,ACO1,SUCLG2,IDH3B,IDH3G,MDH2,PDHB,SDHA,SDHC,SDHB,DLAT,SUCLG1,MDH1,SDHD	Citrate-cycle-TCA-cycle-
Inositol phosphate metabolism	0.15346038114343	0.438458231838372	0.107554375265169	0.47689407770936	1.1591870212205	73	PLCG2,ISYNA1,ITPK1,PLCH2,INPP5B,INPPL1,PIK3CD,PIP5K1C,IPMK,PIK3CG,SACM1L,MTMR2,TPI1,SYNJ1,INPP5D,PIP4K2A,INPP4A,PIP4K2C,MTM1	Inositol-phosphate-metabolism
Fatty acid degradation	0.194699286442406	0.486748216106014	0.0940503465727813	0.49388664583535	1.15969671968214	44	ECI2,ACSL5,ALDH3A2,ACADM,ACOX1,ACADS,ALDH1B1,ACSL3,ACSL4,ECHS1,ALDH9A1,ECI1,GCDH,CPT2,ACAA1,ACOX3,ACADVL,ADH5	Fatty-acid-degradation
Glyoxylate and dicarboxylate metabolism	0.347236704900938	0.771637122002086	0.0646484568421928	0.482304239953046	1.09601933434302	28	AFMID,PCCA,GRHPR,DLD,SHMT1,PCCB,PGP,ACO1,MDH2	Glyoxylate-and-dicarboxylate-metabolism
Glycolysis / Gluconeogenesis	0.489447236180905	0.882081364401716	0.0468819856878333	0.414630627078067	1.00323293468106	68	PGM1,GPI,ALDH3A2,PDHA1,ENO3,PGK1,TPI1,DLD,ALDH1B1,ACSS1,HK1,PCK2,GAPDH,PGM2,FBP1,ENO2,ALDH9A1,PDHB,AKR1A1,G6PC3	Glycolysis-Gluconeogenesis
Galactose metabolism	0.491228070175439	0.882081364401716	0.047925896705813	0.443959899926611	1.01738333505288	31	GALE,PGM1,B4GALT1,HK1,PGM2,UGP2,GALK1,G6PC3,AKR1B1,GLB1	Galactose-metabolism
Fructose and mannose metabolism	0.609907120743034	0.882081364401716	0.0380056241581377	0.414777127927605	0.954115146462096	33	TSTA3,GMDS,TPI1,TIGAR,PFKFB3,HK1,TKFC,FBP1,GMPPA,FPGT,AKR1B1,GMPPB,FUK,KHK,PFKP,PMM1,ALDOA,ENOSF1	Fructose-and-mannose-metabolism
Butanoate metabolism	0.629822732012513	0.882081364401716	0.036993251998507	0.410342744957356	0.93248938102728	28	AACS,ACADS,HMGCS1,ECHS1,OXCT1,BDH2,HMGCL	Butanoate-metabolism
Propanoate metabolism	0.705578512396694	0.882081364401716	0.0311335139616949	0.389821116548142	0.895091762197355	32	PCCA,ACADM,DLD,ECHDC1,HIBCH,ACSS1,PCCB,DBT,SUCLG2,ECHS1	Propanoate-metabolism
Fatty acid biosynthesis	0.714124293785311	0.882081364401716	0.0348652196832942	0.428588380883375	0.865309081957445	13	ACSL5,ACSL3,ACSL4,OXSM,FASN,ACACA,ACSL1	Fatty-acid-biosynthesis
Pyruvate metabolism	0.739754098360656	0.882081364401716	0.0283628487151644	0.376757164994265	0.879147481035859	39	ME2,ALDH3A2,PDHA1,GRHPR,DLD,ALDH1B1,ACSS1,GLO1,PCK2,MDH2,ACYP1,ALDH9A1,PDHB	Pyruvate-metabolism
Sulfur metabolism	0.791764705882353	0.882081364401716	0.0318534652552707	0.417993860616868	0.793361262984317	9	MPST,TST,SUOX,IMPAD1,ETHE1	Sulfur-metabolism
Nitrogen metabolism	0.827510917030568	0.882081364401716	0.0258331720982323	0.360797031704072	0.762841494755597	17	CA13,CPS1,GLUD1,CA3,GLUL,GLUD2	Nitrogen-metabolism
Fatty acid elongation	0.837977296181631	0.882081364401716	0.0220116482772519	0.340891111359224	0.779240918287843	30	ABHD17A,HACD4,ELOVL6,HSD17B12,ECHS1,ACOT7,ELOVL1,ACOT4,ELOVL5	Fatty-acid-elongation
