pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Oxidative phosphorylation	0.0163878600239742	0.207213513822517	0.352487857583619	0.461755186065695	1.30444003367706	118	ATP6V0A2,UQCRFS1,NDUFS8,UQCRC1,UQCRB,ATP6V1H,NDUFS6,NDUFA10,NDUFA7,NDUFB3,NDUFB6,UQCRC2,COX5A,ATP6AP1,NDUFA2,NDUFA12,NDUFS7,NDUFB4,COX5B,NDUFS4,NDUFS5,COX7B,SDHA,SDHC,NDUFB8,ATP6V1D,NDUFS2,COX4I1,ATP6V0D1,ATP6V1F,ATP6V0C,TCIRG1,NDUFAB1,NDUFA9,NDUFS1,NDUFV2,NDUFA6,NDUFS3,NDUFC1,NDUFB10,SDHB,NDUFA8,NDUFB11,CYC1,PPA1,ATP6V1C1,NDUFA13,SDHD,UQCRH,NDUFA11,NDUFV3,COX11,COX15,ATP6V1B2,NDUFC2,NDUFB7,ATP6V0E2,NDUFA3,UQCRHL,NDUFA1,COX8A,NDUFB5,UQCR11,UQCR10,ATP6V1A,ND4,UQCRQ,PPA2
Citrate cycle (TCA cycle)	0.0207213513822517	0.207213513822517	0.352487857583619	0.551314949889163	1.39908737106584	30	PDHB,SUCLA2,IDH2,SDHA,SDHC,ACO2,PCK2,MDH1,FH,DLAT,DLD,MDH2,SDHB,SUCLG1,SDHD,DLST,ACLY,IDH3B,OGDH,IDH1
Fatty acid degradation	0.102123356926188	0.673325934147244	0.136490437780413	0.46688854862031	1.241902504507	44	ACSL1,ACSL4,ALDH3A2,ACSL3,CPT2,ACADVL,HADHB,ECHS1,ACADM,ACAA2,ADH5,ACSL5,GCDH,ECI2,HADHA
Sulfur metabolism	0.149112426035503	0.673325934147244	0.120433371642259	0.626980476310826	1.25545739069594	8	MPST,TST,PAPSS1,BPNT1
Amino sugar and nucleotide sugar metabolism	0.211634904714142	0.673325934147244	0.0883594442500905	0.430289135577396	1.15537363083485	48	CYB5R4,GMDS,UAP1L1,HK1,NANS,PGM1,HEXA,UAP1,GNE,TSTA3,NPL,GPI,PGM2,PGM3
Starch and sucrose metabolism	0.232271325796506	0.673325934147244	0.0845557442441281	0.446702192163713	1.1558482886223	35	HK1,GYS1,PGM1,G6PC3,PYGB,GPI,PGM2,GANC,GYG1
Propanoate metabolism	0.300930713547053	0.673325934147244	0.0713052987340038	0.437917909181563	1.11970715987829	32	DBT,SUCLA2,ECHS1,ACSS1,ACADM,BCKDHA,MLYCD,DLD,PCCA,LDHA,HADHA,LDHB,ECHDC1,SUCLG1,LDHC,MUT,PCCB,ACAT2,BCKDHB
Pentose phosphate pathway	0.301554404145078	0.673325934147244	0.0713052987340038	0.441340309996129	1.1200016509293	30	G6PD,PGM1,RPE,H6PD,GPI,PGM2,ALDOC,PRPS1,IDNK,DERA,TKT,RPIA,PFKP,PRPS2,ALDOA,GLYCTK,PGD,PFKL
Fatty acid biosynthesis	0.30299667036626	0.673325934147244	0.0745500777420554	0.507468800718787	1.12189512428568	13	ACSL1,ACSL4,ACSL3
Nitrogen metabolism	0.337205154624626	0.674410309249251	0.203508959461977	-0.332692307692308	-1.17919724200097	17	CA13,CA8,CA12,CA6,CPS1,CA5A,GLUD1,GLUD2,CA7,CA14,CA1,CA4,CA2,CA5B,GLUL,CA9,CA3
Glycolysis / Gluconeogenesis	0.449	0.709146968139774	0.0506004243853618	0.377696222194307	1.03442496335392	68	HK1,PDHB,ALDH3A2,PGM1,GAPDH,TPI1,G6PC3,ACSS1,PGAM1,GALM,GPI,PGM2,ADH5,PCK2,PGK1,DLAT,ALDOC,DLD,PGAM4,LDHA,LDHB,PFKP,PKM,ALDH9A1
Glyoxylate and dicarboxylate metabolism	0.503118503118503	0.709146968139774	0.0471642455670861	0.401676607152548	1.01132132967127	28	SHMT2,ACO2,MDH1,GLDC,DLD,PCCA,MDH2,CAT,AFMID,SHMT1,GLYCTK,MUT,GCSH,PCCB,ACAT2,CS,GRHPR
Ascorbate and aldarate metabolism	0.510416666666667	0.709146968139774	0.0466015072985992	0.401851493375624	1.01099444860695	27	ALDH3A2,UGDH,ALDH9A1,ALDH1B1
Pyruvate metabolism	0.545731707317073	0.709146968139774	0.0424170054438747	0.377441409837388	0.988051304238349	39	PDHB,ALDH3A2,ME2,ACSS1,PCK2,MDH1,FH,DLAT,DLD,MDH2,LDHA,LDHB,PKM,ALDH9A1
Galactose metabolism	0.560621761658031	0.709146968139774	0.042077210988939	0.385865628686703	0.97922200029671	30	B4GALT1,HK1,PGM1,G6PC3,GALM,PGM2,GANC,AKR1B1,GALT,GLA,PFKP
