pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Glycolysis / Gluconeogenesis	0.0457697642163662	0.791972378075097	0.248911114434702	0.418959771252859	1.37507207553937	68	GALM,PCK2,PFKL,PKM,PFKP,AKR1A1,GAPDH,GPI,HK2,ALDOC,ADPGK,ENO1,HK3,ALDH2,PGAM1,FBP1,TPI1,BPGM,ALDH1A3,LDHA
Pyruvate metabolism	0.173134328358209	0.791972378075097	0.126253987849115	0.408722337042644	1.207621509755	39	PCK2,PKM,ACAT1,GRHPR,ME1,ALDH2,ACAT2,LDHA,ALDH3A2,ACACA,MDH1,ALDH1B1,ACYP2,PDHB,LDHC,HAGH,PKLR,ME3,MDH2,PC,ACSS1,DLD
Oxidative phosphorylation	0.180132450331126	0.791972378075097	0.115240003147781	0.329576495320668	1.17114860043478	118	ATP6V0B,NDUFV2,ATP6V1C1,COX4I1,COX5A,ATP6V1A,LHPP,COX17,NDUFA13,NDUFB2,COX7C,NDUFA7,COX5B,UQCR10,ATP6V1F,NDUFS5,NDUFA6,ATP6V1C2,COX8A,UQCRFS1,PPA1,NDUFA11,NDUFB9,COX7A1,ATP6V0C,ATP6V0A1,ATP6V1D,ATP6V1G3,NDUFA9,NDUFS3,NDUFS6,ATP6V0D1,COX6A1,COX6B1,ATP6V1B2,ATP6V1H,NDUFB1,NDUFS7,NDUFB3,NDUFA4,NDUFA2,COX7B,SDHB,NDUFB11,NDUFA10,COX11,NDUFC1,NDUFB7,NDUFC2,NDUFB10,NDUFB5,UQCRC2
Sulfur metabolism	0.188255613126079	0.791972378075097	0.130777137971974	0.628732518704581	1.28192525673405	8	ETHE1,IMPAD1,PAPSS1,PAPSS2
Pentose phosphate pathway	0.218654434250765	0.791972378075097	0.111918316325105	0.4203460686561	1.18495431027024	30	PFKL,PFKP,TALDO1,GPI,GLYCTK,ALDOC,TKT,RPIA,FBP1,ALDOA,PGLS,PGD,H6PD
Pentose and glucuronate interconversions	0.279761904761905	0.791972378075097	0.0949751525905595	0.390168143893935	1.12489753419049	34	SORD,AKR1A1
Glyoxylate and dicarboxylate metabolism	0.301515151515152	0.791972378075097	0.0916795246008379	0.40371329170149	1.13301141295019	28	ACAT1,CS,SHMT2,GLYCTK,GRHPR,MCEE,HYI,ACAT2,AMT,MDH1,MUT
Starch and sucrose metabolism	0.36094674556213	0.791972378075097	0.122679189568808	-0.334373396621536	-1.0497123634033	35	HKDC1,GAA,AGL,G6PC3,PGM1,AMY2B,GYG1
Inositol phosphate metabolism	0.39051094890511	0.791972378075097	0.132147260608774	-0.280772184683964	-1.01651904418863	73	PLCH2,PLCB1,ISYNA1,PIK3CG,PIP4K2A,INPP5A,INPP5E,INPP5B,MTMR8,PLCG2,MTMR1,PIP4K2C,IPMK,PIK3CD,PIP5KL1,PIK3C2A
Citrate cycle (TCA cycle)	0.454128440366972	0.791972378075097	0.0702812841717392	0.355112067671461	1.00105985661196	30	PCK2,OGDH,CS,ACLY
Fructose and mannose metabolism	0.467175572519084	0.791972378075097	0.0687943095604775	0.352459445060972	0.99353311495136	31	PFKL,PFKP,SORD,PFKFB3,HK2,ALDOC,TSTA3,HK3,FPGT,FBP1,TPI1
Butanoate metabolism	0.5	0.791972378075097	0.100633389423036	-0.321829348035174	-0.956089017055608	28	AACS,OXCT1,ACSM3,BDH1,BDH2
Fatty acid biosynthesis	0.554123711340206	0.791972378075097	0.0873098257637931	-0.377801238026815	-0.920255067620155	13	ACSL6,ACACB,OXSM,ACSL3,ACSL5
Propanoate metabolism	0.554380664652568	0.791972378075097	0.059989249649033	0.332568682251247	0.94526386553068	32	ABAT,ACAT1,HADHA,HIBCH,MCEE,ALDH6A1,ACAT2,LDHA,ACACA,MLYCD,MUT
Galactose metabolism	0.599388379204893	0.799184505606524	0.0568864160475701	0.32258371746817	0.90936253468243	30	GALM,PFKL,PFKP,HK2,LCT,HK3
Fatty acid degradation	0.643916913946588	0.804896142433234	0.0521630305460055	0.294553345589515	0.895306523678861	44	ACADVL,ACAT1,ACOX3,HADHA,ACSL4,ACADSB,ACSL1,ECI1,ALDH2,ACADS,ACAT2,ACAA1,ACAA2
Amino sugar and nucleotide sugar metabolism	0.753846153846154	0.886877828054299	0.0802023444698144	-0.254940326307282	-0.861929722672929	48	HKDC1,UAP1L1,PMM2,GALE,GFPT2,UGDH,CMAS
Ascorbate and aldarate metabolism	0.839150227617602	0.898203592814371	0.0410713282497468	0.264992195459081	0.739165019635181	27	ALDH2,ALDH3A2,ALDH1B1,MIOX
Fatty acid elongation	0.853293413173653	0.898203592814371	0.0723570851036907	-0.264230989856606	-0.761324312330378	26	ELOVL4,ABHD17A,PPT1,ABHD17B,HSD17B12,ABHD17C
Nitrogen metabolism	0.986945169712794	0.986945169712794	0.0585937568945671	-0.201672041501593	-0.533572241791683	17	GLUL,CA13,CA5B
