pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Citrate cycle (TCA cycle)	0.000120293754625377	0.00240587509250754	0.538434096309916	0.67699166445061	1.75867986249725	30	IDH2,PDHA1,ACO1,SDHC,IDH3G,SDHD,DLST,FH,PDHB,DLAT,ACO2,IDH1,SUCLA2,SDHA,MDH2,SDHB,SUCLG2,IDH3B,MDH1,SUCLG1
Oxidative phosphorylation	0.000611510055956592	0.00611510055956592	0.477270815362862	0.501308271178183	1.4709043567818	118	TCIRG1,ATP6V0A2,ATP6AP1,SDHC,NDUFS8,SDHD,NDUFS3,NDUFA3,ATP6V0D1,NDUFB10,NDUFS1,ATP6V1H,NDUFA5,COX7B,COX7A2,NDUFA10,ATP6V1F,UQCRFS1,ATP6V0C,NDUFB3,NDUFS7,NDUFS6,NDUFS2,NDUFA12,NDUFAB1,COX4I1,UQCRQ,COX8A,SDHA,UQCR11,COX6A1,COX7A2L,ATP6V1D,UQCRC2,COX6B1,NDUFB8,NDUFS5,NDUFA8,NDUFB4,COX5A,SDHB,ATP6V1E1,NDUFA9,COX6C,NDUFB7,NDUFB6,UQCRB,COX5B,COX15,PPA2,ND4,COX11,NDUFA1,ATP6V0E1,NDUFA11,NDUFA6,UQCRC1,ATP6V0E2,PPA1,NDUFB11,ATP6V1G1,NDUFA13,NDUFA4,CYC1,NDUFV2,NDUFC2,COX7C,NDUFA2,NDUFA7,NDUFS4,ATP6V0B
Amino sugar and nucleotide sugar metabolism	0.168377823408624	0.980749746707194	0.103197466945307	0.43427286161796	1.2008475708414	48	UAP1L1,CYB5R4,HK1,TSTA3,CYB5R1,PGM2,UGDH,GALT,UAP1,GMDS,GALK1,PMM2,CYB5R3,HEXB,FUK,GNPDA2,PGM3,GALE,PGM1,FPGT,GMPPB,GPI,CMAS,HEXA
Glyoxylate and dicarboxylate metabolism	0.387027027027027	0.980749746707194	0.0611692626746689	0.420494984068619	1.07872352300971	28	GLUL,ACO1,GRHPR,PCCA,SHMT1,ACO2,MDH2,MDH1,CAT
Fatty acid degradation	0.388198757763975	0.980749746707194	0.0589694466690997	0.391829706003045	1.07303247825582	44	ECI2,GCDH,ACAA2,ADH5,CPT1B,CPT1A,ACSL5,ACSL3,ECHS1,ACADM,ACAA1,ALDH9A1,HADHA,ACSL1,HADHB,ALDH1B1,ACOX1,ACAT2,ALDH3A2,HADH,ACAT1,ACADS,ACADSB,ACADVL
Starch and sucrose metabolism	0.409767986992538	0.980749746707194	0.203508959461977	-0.27193376750943	-1.05179897362598	35	HKDC1,PGM2L1,PYGM,HK2,AMY2B,ENPP1,PYGL
Pentose and glucuronate interconversions	0.462354188759279	0.980749746707194	0.0519512476197082	0.388449306243591	1.02426691786249	34	DCXR,AKR1B1,UGDH,RPE
Galactose metabolism	0.508565310492505	0.980749746707194	0.0480220415968251	0.383540423669422	0.996356166524536	30	AKR1B1,HK1,PGM2,GALT,GLA,GALK1,B4GALT1,GANC,GLB1,GALE,PGM1,GAA
Propanoate metabolism	0.514346439957492	0.980749746707194	0.0471642455670861	0.381482481635958	0.999830686434873	32	ECHDC1,PCCA,BCKDHB,SUCLA2,ECHS1,LDHA,SUCLG2,ACADM,DBT,SUCLG1,HADHA
Ascorbate and aldarate metabolism	0.533695652173913	0.980749746707194	0.0465084048719156	0.385614103357138	0.986291739546815	27	UGDH,ALDH9A1,ALDH1B1,ALDH3A2
