pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Citrate cycle (TCA cycle)	0.00544149843641659	0.108829968728332	0.407017918923954	0.602064695356071	1.60551431477681	30	IDH2,FH,ACO1,ACLY,DLAT,IDH3B,MDH2,PDHA1,SDHD,SDHB,DLST,SUCLA2,IDH3A,ACO2,SDHC,SUCLG2,IDH3G,OGDH,DLD,SUCLG1
Oxidative phosphorylation	0.0171608412228231	0.158936068527048	0.352487857583619	0.444015257977767	1.36571117850643	118	NDUFA5,ATP6V0C,COX7A2,NDUFA6,COX6C,ATP6V0E1,ATP6V0E2,NDUFS5,LHPP,PPA2,NDUFS6,UQCR11,NDUFB2,NDUFA4,NDUFS8,NDUFB10,UQCRQ,NDUFB6,COX6A1,NDUFA1,NDUFB4,NDUFB9,TCIRG1,NDUFB3,COX7A2L,SDHD,SDHB,NDUFA11,ATP6AP1,COX7B,ATP6V1F,ATP6V1E1,NDUFB7,ATP6V1H,COX7C,NDUFA13,NDUFAB1,NDUFA12,PPA1,SDHC,NDUFA9,UQCRC1,ATP6V0D1,COX8A,CYC1,NDUFS1,UQCRFS1,COX17,ND2,COX6B1,NDUFS4,ND5,ATP6V1G1,NDUFA3,NDUFB11,NDUFA8,NDUFV1,NDUFS3,ND6,COX10,COX11,UQCRC2,NDUFB8,COX5B
Amino sugar and nucleotide sugar metabolism	0.0309168443496802	0.158936068527048	0.266350657088526	0.49260215856753	1.40568104000845	48	HEXB,CYB5R1,GALK1,PMM2,CYB5R3,UAP1L1,PGM2,CMAS,GNPDA2,UAP1,HKDC1,PGM1,HK1,CYB5R4,GPI,TSTA3,GFPT1,GMPPB,GNPNAT1
Nitrogen metabolism	0.0322195704057279	0.158936068527048	0.276500599254472	0.607466301251834	1.46398661064927	17	CA5B,GLUL,GLUD1
Starch and sucrose metabolism	0.0397340171317621	0.158936068527048	0.321775918075361	0.525749789153422	1.43030001911641	35	GYG1,PGM2,GBE1,HKDC1,AGL,GYS1,PGM1,HK1,PYGB,GPI
Fatty acid elongation	0.0478359908883827	0.159453302961276	0.219250346703755	0.533919256972215	1.38741634730522	26	HSD17B12,ELOVL1,ACOT7,ACOT4,ACAA2,ECHS1,ABHD17B,ACOT2,HADHA
Ascorbate and aldarate metabolism	0.235772357723577	0.67	0.266350657088526	-0.317647058823529	-1.11147706937776	27	MIOX,ALDH3A2,ALDH2,ALDH7A1,UGT2A2,UGT2A1,UGT2B4,UGT2B28,UGT2B11,UGT2B7,UGT2A3,UGT2B10,UGT2B15,UGT2B17,UGT1A1,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A9,UGT1A10,UGT1A8,RGN,UGDH,ALDH1B1,ALDH9A1
Sulfur metabolism	0.268	0.67	0.170932335370056	-0.495921676370079	-1.16368211201858	8	SUOX,TST
Butanoate metabolism	0.411036036036036	0.801637387003241	0.0602484086158019	0.399628531610415	1.05206398213528	28	HMGCS1,AACS,ECHS1,OXCT1,ACAT2,HADHA,ACAT1
Propanoate metabolism	0.452631578947368	0.801637387003241	0.216542836735348	-0.284145450055999	-1.01503537270728	32	ACSS2,ALDH6A1,ABAT,ACACB,ACACA,ACSS1
Fatty acid biosynthesis	0.479381443298969	0.801637387003241	0.142901149386948	-0.34327976099762	-0.982654855733413	13	ACACB,ACACA,OLAH,ACSBG2,ACSL1,ACSL3,ACSBG1
Glyoxylate and dicarboxylate metabolism	0.502252252252252	0.801637387003241	0.0509082865515105	0.376991571331477	0.992469812323314	28	GLUL,ACO1,MDH2,ACAT2,ACAT1,ACO2,GCSH,DLD,CAT,SHMT1,PCCB,CS,GRHPR
Fructose and mannose metabolism	0.521064301552106	0.801637387003241	0.048505983646947	0.369441533162219	0.990294112502569	31	AKR1B1,PMM2,TPI1,HKDC1,HK1,TSTA3,GMPPB,SORD,PFKFB3,ALDOA
Galactose metabolism	0.738839285714286	0.933815925542916	0.0326513265618535	0.312913858615728	0.834441353520117	30	AKR1B1,GALK1,PGM2,HKDC1,PGM1,HK1
Fatty acid degradation	0.750809061488673	0.933815925542916	0.0302041948644786	0.302356816844692	0.85227225007386	44	CPT1A,ECI2,ACAA2,ACADM,ECHS1,ACSL6,ACAT2,HADHA,ACAT1,ACSL5,ACSL4,GCDH,ALDH9A1,ALDH1B1,ACOX1,ACADVL,ADH5
Pentose phosphate pathway	0.880580357142857	0.933815925542916	0.0236501012290726	0.271633922699439	0.724360944325096	30	G6PD,PGM2,PRPS2,PRPS1,TKT,PGM1,GPI
Pyruvate metabolism	0.892391304347826	0.933815925542916	0.0213630317196063	0.26258318158411	0.726058679083267	39	GLO1,ME2,FH,DLAT,LDHA,ACYP2,MDH2,PDHA1,ACAT2,ACAT1
Pentose and glucuronate interconversions	0.908787541713014	0.933815925542916	0.0216519363667421	0.257540692464956	0.694033967958642	34	AKR1B1,CRYL1,DCXR,SORD,GUSB
Glycolysis / Gluconeogenesis	0.928795811518325	0.933815925542916	0.016356070983033	0.245743915187754	0.720389754716101	68	ENO2,PGK1,PGM2,DLAT,TPI1,LDHA,HKDC1,PGM1,PDHA1,HK1,PGAM1,GPI,ENO1,PGAM4,DLD,ALDH9A1,ALDOA,ALDH1B1,BPGM,GAPDH,PDHB,PFKP,LDHC,LDHB,ADH5,ENO3
Inositol phosphate metabolism	0.933815925542916	0.933815925542916	0.0150298748621405	0.241342672757324	0.712558964232609	73	PLCB1,ISYNA1,PIP5KL1,IMPA1,TPI1,PLCG1,PIK3CD,PIP4K2C,IPMK,PIP4K2A,INPP4A,INPP5E,PI4K2B,INPP5D,ITPK1,MTMR1,SACM1L,MTMR2,PIP5K1C
