pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Oxidative phosphorylation	0.00026658197117744	0.0053316394235488	0.49849310876659	-0.499820667327088	-1.4039489695326	118	ATP6V0B,COX5A,UQCRFS1,ATP6V1H,NDUFA10,NDUFV2,NDUFA6,ATP6V0C,COX8A,NDUFS3,ATP6V1F,NDUFS6,NDUFA13,ATP6V0D1,ATP6V1C1,NDUFB8,NDUFS2,NDUFS7,NDUFB2,NDUFA7,COX17,COX6A1,NDUFS8,NDUFB6,LHPP,UQCRC1,NDUFB3,ATP6V1B2,NDUFS1,COX4I1,ATP6V0A1,COX5B,ATP6V1D,ATP6AP1,NDUFA9,COX7B,NDUFB10,SDHA,NDUFAB1,CYC1,COX7A2,PPA1,NDUFA12,UQCRC2,ATP6V0A2,NDUFA11,TCIRG1,NDUFS5,ATP6V1E1,NDUFV3,SDHB,NDUFS4,NDUFC2,NDUFB9,NDUFB4,NDUFA3,NDUFA4,NDUFB11,SDHC,NDUFA2,NDUFA8,COX6B1,COX6C,NDUFC1,NDUFB7
Nitrogen metabolism	0.0271420858588791	0.152316109074671	0.352487857583619	0.407692307692308	1.5921990115799	17	CA13,CA12,CA6,CA4,CA1,CA14,CA7,CA5A,CA3,CPS1,CA5B,CA8,GLUL,CA9,GLUD2,CA2,GLUD1
Pyruvate metabolism	0.0280842527582748	0.152316109074671	0.271288554688953	-0.499715701566621	-1.31738058910122	39	PCK2,PKM,LDHA,ALDH3A2,ACAT1,ALDH1B1,ACAT2,MDH1,ME2,MDH2,GRHPR,DLD,FH,ACSS2,PDHB,DLAT,HAGH,ACSS1
Citrate cycle (TCA cycle)	0.0304632218149341	0.152316109074671	0.352487857583619	-0.535187501391545	-1.36944503974501	30	OGDH,PCK2,CS,IDH3G,ACLY,MDH1,SDHA,IDH2,MDH2,DLD,FH,SDHB,PDHB,DLAT,IDH3B,SDHC,ACO2,SUCLA2,IDH3A,ACO1,SUCLG1,SUCLG2,PDHA1,SDHD
Fatty acid degradation	0.0772316950852558	0.308926780341023	0.158514105424824	-0.461890494494226	-1.22878628977985	44	ACSL1,ACAA1,HADHA,ACADVL,ACAA2,HADHB,ACSL4,ALDH3A2,ACAT1,ALDH1B1,ACAT2,CPT1B,ACADM,ACOX3,ACADS,ECHS1,ECI1,ACSL3,ADH5,ALDH9A1,ACOX1,HADH,ACSL5
Glycolysis / Gluconeogenesis	0.106893106893107	0.356310356310356	0.132147260608774	-0.430148824541896	-1.18227249633869	68	PFKL,PFKP,PCK2,GAPDH,PKM,LDHA,HK1,ALDH3A2,BPGM,AKR1A1,GPI,TPI1,ENO1,ALDH1B1,PGAM4,GALM,PGM2,PGAM1,DLD,ADPGK,ALDOA,ACSS2,PDHB,DLAT,ACSS1
Galactose metabolism	0.140120967741935	0.400345622119816	0.11378726182188	-0.468411099682731	-1.19857667706019	30	B4GALT1,PFKL,PFKP,GANC,HK1,GLA,UGP2,GALM,PGM2,GALT
Pentose phosphate pathway	0.163306451612903	0.408266129032258	0.103958471559957	-0.462086022042187	-1.18239198257774	30	PFKL,PFKP,DERA,GPI,TKT,PGD,TALDO1,PGM2,PGLS,ALDOA,G6PD,RPIA,RPE,GLYCTK,IDNK
Glyoxylate and dicarboxylate metabolism	0.285427135678392	0.6341642228739	0.0725351864394589	-0.438012240907513	-1.11462624519772	28	CS,ACAT1,SHMT2,ACAT2,MDH1,MDH2,GRHPR,DLD,MCEE,GLYCTK,CAT,ACO2,PGP,ACO1
Amino sugar and nucleotide sugar metabolism	0.334334334334334	0.6341642228739	0.0645031249656493	-0.402796029306306	-1.07931050257504	48	NANS,TSTA3,CYB5R4,UAP1L1,HK1,GPI,UXS1,GNE,GFPT1,HEXB,GNPNAT1,UGP2,GMPPA,PGM2,GALT,PMM1,NAGK,GMDS,NPL,CYB5R3,RENBP,UAP1,FPGT,PGM3,FUK,GNPDA1,GMPPB,HEXA
