pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Oxidative phosphorylation	0.00695281388103516	0.132103463739668	0.407017918923954	-0.510849028265789	-1.30168697256016	118	ATP6V1H,ATP6V0A2,NDUFB8,CYC1,SDHA,NDUFV1,NDUFA12,NDUFS6,NDUFA9,UQCRFS1,UQCRC1,NDUFA8,ATP6V0A1,NDUFB6,NDUFA10,NDUFS8,COX7A2L,COX5A,ATP6V0B,ATP6V1C1,NDUFS3,NDUFA6,ATP6V1B2,NDUFS1,NDUFAB1,COX15,NDUFB4,NDUFB2,ATP6V1F,UQCRC2,COX7A2,NDUFS7,COX7B,COX6C,NDUFS4,NDUFS2,COX11,NDUFB3,UQCRQ,NDUFB9,SDHB,NDUFB7,COX6A1,TCIRG1,COX6B1,NDUFB11
Fatty acid degradation	0.0916414904330312	0.642711962833914	0.144630528034484	-0.511013461171122	-1.24553436096951	44	ECI2,ACOX1,ACAA1,HADHB,ACSL5,ACADM,GCDH,ACAA2,CPT2,ADH5,CPT1B,ACAT2,ACSL4,ALDH1B1,ECHS1,ACSBG2,ACAT1
Pyruvate metabolism	0.136226034308779	0.642711962833914	0.115734447701689	-0.498153083798922	-1.20587055721169	39	PDHA1,ACSS2,LDHB,GRHPR,ACSS1,LDHA,DLD,PDHB,DLAT,ACAT2,MDH2,MDH1,ME2,FH,ALDH1B1,ACYP1,ACAT1,ME3,PKLR
Amino sugar and nucleotide sugar metabolism	0.163471241170535	0.642711962833914	0.103958471559957	-0.479268872312836	-1.17346243553063	48	UAP1L1,NPL,TSTA3,GNPNAT1,PMM2,MPI,UGDH,CMAS,GALE,GMPPB,GMPPA,NANS,HK1,GNPDA2,PGM1,NAGK,PGM2,PMM1,FUK,UGP2,GMDS,CYB5R4,FPGT,AMDHD2,HEXA
Citrate cycle (TCA cycle)	0.173155737704918	0.642711962833914	0.101350743797099	-0.505523209761271	-1.18701013999085	30	SDHA,IDH2,SUCLG1,PDHA1,DLST,IDH3A,ACO1,ACO2,DLD,SUCLA2,PDHB,DLAT,SDHB,MDH2,MDH1,FH,IDH3B,CS,ACLY,PC,SDHC,IDH3G
Fructose and mannose metabolism	0.220858895705521	0.642711962833914	0.0870515867946735	-0.489845002705789	-1.15796130465218	31	TSTA3,PMM2,MPI,AKR1B1,GMPPB,GMPPA,PFKM,PFKP,ENOSF1,KHK,HK1,PMM1,TPI1,FUK,GMDS,FPGT,PFKFB4,ALDOC
Pentose and glucuronate interconversions	0.236788617886179	0.642711962833914	0.0828962134571565	-0.479520866080577	-1.14549835138708	34	XYLB,UGDH,AKR1B1,RPE,AKR1A1,GUSB,RPEL1,UGP2
Pentose phosphate pathway	0.30327868852459	0.649010735515926	0.0704500850658419	-0.470780160233758	-1.10543059767303	30	G6PD,RPIA,RPE,RBKS,PFKM,PFKP,PGM1,IDNK,PGM2,PRPS2,RPEL1,TKT,GLYCTK,DERA,TKTL1,ALDOC
Fatty acid biosynthesis	0.377995642701525	0.649010735515926	0.0626618230932491	-0.520127829443513	-1.08554235145767	13	ACSL5,OXSM,MCAT,OLAH,ACSL4,ACSBG2,FASN
Glycolysis / Gluconeogenesis	0.386386386386386	0.649010735515926	0.057609110864425	-0.417870592744912	-1.04669047681039	68	PDHA1,ACSS2,LDHB,PGK1,ENO1,PFKM,AKR1A1,PFKP,ACSS1,LDHA,HK1,PGM1,ENO2,DLD,PGM2,ADH5,PDHB,G6PC3,DLAT,TPI1
Nitrogen metabolism	0.393939393939394	0.649010735515926	0.282013350011725	0.3	1.03257299381156	17	CA12,CA5B,CA9,CA4,CA1,CA14,CA7,CA3,GLUD2,CA5A,CA8,CA13,CA2,CPS1,GLUD1,CA6,GLUL
Galactose metabolism	0.42827868852459	0.649010735515926	0.0538979025357319	-0.445615818947977	-1.04634265137177	30	GLA,AKR1B1,GALE,PFKM,PFKP,HK1,PGM1,PGM2,B4GALT1,G6PC3,B4GALT2
