pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Oxidative phosphorylation	1.62280883119336e-05	0.000324561766238671	0.575610261071129	0.574780653607099	1.7104135917043	118	ATP6V0A1,ATP6V1G1,COX17,NDUFV2,COX10,NDUFC1,NDUFB8,ATP6V0E1,COX7A2L,ATP6V1B2,NDUFB1,ATP6V1E1,COX5B,COX7C,NDUFB4,ATP6V1D,NDUFA4,NDUFB5,ATP6V1C1,COX8A,ATP6V1F,ATP6V1A,NDUFV3,ATP6V0E2,UQCRB,NDUFA5,PPA2,NDUFA11,NDUFA6,NDUFA2,ATP6AP1,SDHA,NDUFS2,NDUFS1,ATP6V1E2,NDUFB11,UQCRC2,NDUFA13,NDUFA10,COX11,NDUFA7,NDUFA8,UQCR10,NDUFC2,COX4I1,COX7A2,PPA1,SDHB,COX5A,NDUFS4,NDUFB6,COX6B1,ND6,LHPP,NDUFS7,NDUFA1,NDUFA3
Nitrogen metabolism	0.0147442166613976	0.147442166613976	0.380730400722792	-0.637636331633307	-1.71626828324062	17	GLUL,CA5B,CA2,GLUD2,CA6,CA12,CA13,CA8,CA5A,CPS1
Amino sugar and nucleotide sugar metabolism	0.0744186046511628	0.475609756097561	0.175204047558551	0.487112767487886	1.32016862069545	48	RENBP,UGP2,AMDHD2,UXS1,NAGK,NANS,PMM1,GNPDA1
Galactose metabolism	0.138650306748466	0.475609756097561	0.128142916898415	0.505256576021108	1.27396261783573	30	UGP2,GLA,GLB1,GANC,PFKL,GALM,PFKM,B4GALT1,PGM2
Butanoate metabolism	0.13903743315508	0.475609756097561	0.282013350011725	-0.413732701614226	-1.23999357817193	28	BDH1,OXCT2,ALDH5A1,HADH,EHHADH,HMGCL,L2HGDH,ABAT
Propanoate metabolism	0.142682926829268	0.475609756097561	0.12563992130984	0.498964289049288	1.26685030377884	32	ACSS2,MCEE,PCCB,BCKDHB,PCCA,MUT,ALDH6A1,HADHA,LDHB,HIBCH
Fatty acid biosynthesis	0.185810810810811	0.480225988700565	0.190023305279108	-0.502539861409769	-1.26397408442699	13	FASN,ACSL6,ACACA,ACACB,OLAH,OXSM,ACSL1
Pentose and glucuronate interconversions	0.192090395480226	0.480225988700565	0.245041785430996	-0.376495663020608	-1.17888308981669	34	DCXR,AKR1B1,RPE,GUSB,XYLB
Glyoxylate and dicarboxylate metabolism	0.550802139037433	0.907000510986203	0.135002033828631	-0.316848704372916	-0.949623651071347	28	GLUL,GRHPR,GLDC,AFMID,SHMT1,ACO1
Inositol phosphate metabolism	0.588621444201313	0.907000510986203	0.042331839351853	0.334676440853571	0.946920095310327	73	PIK3C3,MTMR6,MTMR14,MTMR1,PIK3CB,PI4KB,INPP1,PLCB2,INPP5K,MTM1,ITPKB,PTEN,PIP5K1A,PLCH2,CDIPT,INPP5F,PIP4K2C,INPP5B,MINPP1,ALDH6A1
Pentose phosphate pathway	0.668711656441718	0.907000510986203	0.0417397034728504	0.347276844401388	0.875629806328021	30	IDNK,RBKS,PFKL,PRPS1,ALDOA,PGLS,PFKM,PGM2,GLYCTK,DERA,PFKP,PGD,TKT,RPIA
Ascorbate and aldarate metabolism	0.75093399750934	0.907000510986203	0.0370705393657621	0.329098310386461	0.8154683058434	27	ALDH9A1,ALDH3A2
Sulfur metabolism	0.777777777777778	0.907000510986203	0.0758886900606117	-0.343653948962677	-0.739783143972587	8	IMPAD1,MPST
Fructose and mannose metabolism	0.789024390243902	0.907000510986203	0.0337507376805299	0.315244790592622	0.798371718406927	31	PMM1,PFKL,ALDOA,PFKM,ENOSF1,GMPPA,PFKFB3,FUK,PMM2,MPI
Fatty acid elongation	0.794228356336261	0.907000510986203	0.0347904098478036	0.327264957569467	0.803932860853838	26	THEM4,ELOVL5,HADHB,TECR
Fatty acid degradation	0.802380952380952	0.907000510986203	0.0317812506835949	0.301167423304627	0.802369232447034	44	ACOX3,HADHB,ALDH9A1,ACAA1,CPT2,ACADSB,HADHA
Pyruvate metabolism	0.802631578947368	0.907000510986203	0.0319980480340634	0.306131597245708	0.800852457101385	39	ACSS2,PCK2,ALDH9A1,LDHD,LDHB,PKM,HAGH,ACAT2,MDH1,MDH2,DLD,ME3,ACYP2,ACSS1,PDHB
Glycolysis / Gluconeogenesis	0.859045504994451	0.907000510986203	0.0247086313801197	0.283004471830712	0.795185349141822	68	ACSS2,PCK2,ALDH9A1,PFKL,BPGM,GALM,ENO1,ALDOA,PFKM,PGM2,AKR1A1,MINPP1,LDHB
Starch and sucrose metabolism	0.861650485436893	0.907000510986203	0.0292103127923884	0.289805114109789	0.746915545803676	35	UGP2,GANC,PGM2,PGM2L1,GBE1
Citrate cycle (TCA cycle)	0.987730061349693	0.987730061349693	0.0225128737259091	0.233803880619107	0.589517124466335	30	PCK2,IDH3A,OGDH,SDHA,CS,SDHB,IDH3G,MDH1,SDHD,MDH2,DLD,SDHC,PDHB,ACO2
