pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Ascorbate and aldarate metabolism	0.000797018623671983	0.0159403724734397	0.477270815362862	-0.626657714519424	-1.53913863161193	27	ALDH9A1,ALDH3A2
Citrate cycle (TCA cycle)	0.034925225094189	0.190380761523046	0.321775918075361	-0.533061089894841	-1.32498614494716	30	MDH1,OGDH,CS,ACLY,SUCLA2,DLAT,PCK2,SUCLG2,PDHB,SDHD,ACO2,SDHC,DLD,MDH2,SDHB,IDH3B,IDH1
Glycolysis / Gluconeogenesis	0.037962037962038	0.190380761523046	0.231126709673834	-0.462598032632613	-1.2287275472659	68	PFKL,PKM,ENO1,ALDH9A1,ALDH3A2,PGAM1,PGM2,PGAM4,DLAT,PCK2,GALM,GPI,ADPGK,PDHB,ADH5,MINPP1,HK1,GAPDH,DLD,ACSS2,PFKM,BPGM,ALDOA,LDHB,PGM1,ACSS1
Propanoate metabolism	0.0500092597293703	0.190380761523046	0.321775918075361	-0.521623300091837	-1.31027215657967	32	ALDH6A1,HADHA,ECHDC1,MLYCD,BCKDHA,ABAT,SUCLA2,MUT,BCKDHB,PCCB,SUCLG2,ACAT2,DLD,ECHS1,ACSS2,ACADM,LDHB,DBT,ACSS1
Oxidative phosphorylation	0.0549450549450549	0.190380761523046	0.190023305279108	-0.434330440760219	-1.17804420121484	118	NDUFC1,ATP6V1A,NDUFA4,PPA2,NDUFV2,NDUFC2,ATP6V1D,NDUFB5,NDUFA7,UQCRC2,CYTB,COX11,LHPP,ATP6V1E1,NDUFS2,ATP6V0E2,ATP6AP1,ATP6V1G1,NDUFB6,UQCRC1,ATP6,ND4L,ATP6V1B2,ATP6V0A1,SDHD,ND4,ATP6V0E1,COX10,ND1,ATP8,NDUFB4,COX8A,SDHC,NDUFA2,SDHB,COX7A2L,NDUFAB1,UQCRB,NDUFA10,ATP6V0D1,COX17,ATP6V1C1,PPA1,ND5,NDUFA11,NDUFA8,NDUFB11,COX1,NDUFB3,COX15,COX7B,COX3,NDUFA5,NDUFS4,COX4I1,NDUFS5,NDUFB7,COX7C,COX2
Glyoxylate and dicarboxylate metabolism	0.0571142284569138	0.190380761523046	0.186432558434075	-0.511964432477863	-1.26589387515618	28	CAT,HYI,MDH1,CS,SHMT2,MUT,PCCB,ACAT2,ACO2,DLD,MDH2,AFMID
Pentose phosphate pathway	0.105527638190955	0.2675	0.133554954557592	-0.489324206974518	-1.21627296930713	30	PFKL,PRPS1,TALDO1,H6PD,PGM2,TKT,GPI,DERA,RPIA,PGLS,PFKM,PGD,RBKS,PRPS2,ALDOA,PGM1
Fatty acid degradation	0.107	0.2675	0.132147260608774	-0.460094708319227	-1.18623990271509	44	ACOX3,ACSL1,ACADVL,HADHA,ALDH9A1,ALDH3A2,ACSL3,ACADSB,ACSL4,ADH5,HADHB,ACAT2,CPT2,ECHS1,ACADM
Sulfur metabolism	0.205183585313175	0.455963522918167	0.0943563635421779	-0.595507412004339	-1.19373271529548	8	PAPSS1,SUOX,TST,ETHE1
Nitrogen metabolism	0.246578786086655	0.479140098378575	0.249246554383295	0.328846153846154	1.26646885647062	17	CPS1,GLUL,CA9,CA4,CA1,CA14,CA7,CA3,CA13,CA5A,CA12,CA6,GLUD2,CA5B,CA8,CA2,GLUD1
