pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Propanoate metabolism	0.0472008781558727	0.456764844857458	0.216542836735348	-0.544139865340546	-1.38259371150039	32	ACSS2,HIBCH,BCKDHB,PCCB,ALDH6A1,ACAT2,DLD,MLYCD,HADHA,MUT,ACAT1,ABAT,DBT
Glyoxylate and dicarboxylate metabolism	0.0970231532524807	0.456764844857458	0.147331213699377	-0.523932270370151	-1.30911184691114	28	HYI,PCCB,CS,ACAT2,DLD,PGP,SHMT2,MUT,ACAT1
Pyruvate metabolism	0.103411513859275	0.456764844857458	0.139599673451922	-0.491699293429555	-1.28677108082803	39	ACSS2,HAGH,ACAT2,DLD,GLO1,ME3,ACYP2,PDHA1,ALDH1B1,PKM,ACAT1,ME2,ALDH9A1
Inositol phosphate metabolism	0.107549120992761	0.456764844857458	0.134273452883202	-0.44396052337024	-1.23385162440383	73	MTMR6,IPPK,PIK3C3,PIK3CB,PIP5K1A,PI4K2A,PI4KB,CDIPT,PLCD1,ALDH6A1,MTM1,PLCB2,SYNJ2,INPP4B,ITPKB,IMPA1,PI4K2B,IPMK,IMPA2,PIK3CA,MINPP1,PLCD4,MTMR14,INPP5F,ITPKA,PTEN,PLCB1,PIP4K2C
Amino sugar and nucleotide sugar metabolism	0.15270413573701	0.456764844857458	0.11146266692298	-0.459140929330901	-1.22156620040789	48	AMDHD2,GNE,UXS1,NANS,GNPDA1,UGP2,RENBP,GFPT1,GMPPB,PGM3,CYB5R1,CYB5R4,PMM2,HEXB,UAP1,GNPDA2,GNPNAT1,PGM2,HK2,CYB5R3,FUK,NANP
Galactose metabolism	0.153083700440529	0.456764844857458	0.11378726182188	-0.491185589093624	-1.23167263930453	30	GLA,B4GALT1,GALM,UGP2,PFKL,GLB1,PFKP
Butanoate metabolism	0.15986769570011	0.456764844857458	0.11101149245045	-0.494084053336612	-1.23453225573579	28	HMGCS1,OXCT1,BDH1,ACAT2,L2HGDH,HADHA,ACAT1,ABAT
Ascorbate and aldarate metabolism	0.657427937915743	0.998915401301518	0.0378487722705029	-0.358941187108168	-0.888894523250706	27	ALDH1B1,ALDH9A1
Sulfur metabolism	0.669677419354839	0.998915401301518	0.0439759278026345	-0.460463863292784	-0.884041216840585	8	SUOX
Glycolysis / Gluconeogenesis	0.697190426638918	0.998915401301518	0.0320704174637537	-0.328692863865382	-0.904823219713073	68	ACSS2,GALM,PFKL,ADPGK,DLD,PFKP,PGAM4,MINPP1,PDHA1,BPGM,ALDH1B1,PKM,PGM2,ALDH9A1,HK2,PGAM1,PFKM
Fatty acid degradation	0.732978723404255	0.998915401301518	0.0307037368093842	-0.328513701525582	-0.866087489891333	44	ACOX3,ACAT2,ACADSB,ACSL6,ACADVL,ALDH1B1,HADHA,ACAT1,ACSBG2,HADHB,ALDH9A1
Fatty acid biosynthesis	0.831521739130435	0.998915401301518	0.107554375265169	0.260210272723278	0.722050506860796	13	ACACA,OXSM,FASN,ACSL5
Pentose phosphate pathway	0.856828193832599	0.998915401301518	0.0244268887168729	-0.302693171866515	-0.759018395837399	30	RBKS,PFKL,TKT,PFKP,PRPS1,PGD,PGM2,PRPS2,IDNK,PFKM,GLYCTK,PRPS1L1,DERA,PGLS,TKTL1
Pentose and glucuronate interconversions	0.895348837209302	0.998915401301518	0.158514105424824	0.231015282319961	0.806879168459231	34	RPE,RPEL1,DCXR
Fructose and mannose metabolism	0.900109769484083	0.998915401301518	0.0214353576364558	-0.282524918269107	-0.714164811544434	31	PFKFB3,PFKL,PFKP,GMPPB,PMM2,SORD,HK2,PFKM,FUK,PMM1,ENOSF1,ALDOA,HKDC1
Citrate cycle (TCA cycle)	0.912995594713656	0.998915401301518	0.0207818350435559	-0.275679701629657	-0.691280756700221	30	OGDH,CS,DLD,PDHA1,SDHD,IDH3A
Nitrogen metabolism	0.922077922077922	0.998915401301518	0.024215353215022	-0.28615875554362	-0.649958314115397	17	GLUD1,CA5B,CA2,CA8,CA12,CA9,GLUL
Fatty acid elongation	0.949776785714286	0.998915401301518	0.0191546578437244	-0.259227123346414	-0.637622144006509	26	THEM4,ELOVL5,TECR,ELOVL1,HSD17B12
Oxidative phosphorylation	0.981963927855711	0.998915401301518	0.00667841440698826	-0.236537779109901	-0.674323199197953	118	ATP6V1G1,ATP6V0A1,NDUFV2,NDUFA5,COX10,ATP6V1C1,ND6,LHPP,ATP6V0C,NDUFB5,COX17,UQCRB,UQCRFS1,ATP6V1B2,ATP6V1A,ATP6V1E1,ND5,NDUFS2,ATP6V1E2,SDHD,PPA1,NDUFB1,NDUFA6,PPA2,NDUFB4,ND2,NDUFS5,NDUFS1,ATP6V1G3,COX7C,NDUFC2,ND1,ND4,ATP6V1D,ATP6V0E2,ND4L,UQCRC2,CYTB,COX7B,COX6B2,ATP6V1H,ATP6
Starch and sucrose metabolism	0.998915401301518	0.998915401301518	0.0134461833974729	-0.196825026938762	-0.505820262908711	35	UGP2,GBE1,PGM2L1,PYGB,PGM2,HK2
