pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Oxidative phosphorylation	7.78663848150429e-19	1.55732769630086e-17	1.12391496374483	0.744415411990035	2.10152095968673	120	UQCRFS1,NDUFB10,ATP5F1C,NDUFA7,ATP5F1D,NDUFB3,NDUFB5,NDUFA12,ATP5MC3,COX6A1,NDUFA2,ATP5MC2,COX5A,ATP6V1D,NDUFB4,ATP5MG,NDUFB9,NDUFV2,NDUFS3,SDHB,COX8A,NDUFB11,COX7A2,CYC1,NDUFS7,UQCRH,ATP6V0B,NDUFA6,NDUFS4,ATP6V0D1,SDHC,NDUFA8,NDUFAB1,ATP5PD,ATP5PB,COX7B,UQCRC2,ATP6V1A,UQCRQ,ATP5F1A,COX6B1,NDUFS8,COX7A2L,COX5B,UQCRC1,ATP5MF,NDUFB8,NDUFS6,ATP6V1C1,UQCRHL,NDUFB7,COX10,UQCR10,NDUFC1,NDUFA5,COX6C,NDUFA1,ATP5PF,NDUFB6,NDUFA9,PPA1,NDUFA10,NDUFS2,ATP5F1B,ATP6V1B2,ATP6V0C,ATP5ME,NDUFA11,NDUFS5,ATP6V1E1,ATP6V1H,COX15,SDHD,NDUFB1	Oxidative-phosphorylation
Starch and sucrose metabolism	0.00144629161614151	0.0144629161614151	0.45505986738723	-0.496621767860273	-1.75176596723675	35	PGM1,GANC,PGM2L1,GAA,AGL,UGP2	Starch-and-sucrose-metabolism
Ascorbate and aldarate metabolism	0.00390638027260353	0.0260425351506902	0.407017918923954	-0.514625694205187	-1.72788995437653	27	ALDH3A2,ALDH7A1,UGDH,ALDH1B1	Ascorbate-and-aldarate-metabolism
Amino sugar and nucleotide sugar metabolism	0.0511587584962404	0.236842105263158	0.321775918075361	-0.331729738779661	-1.2417697145832	48	CYB5R1,PGM1,GNE,UGP2,NPL,CYB5R3,GALT,GNPDA2,NAGK,FUK,GALE,UGDH,CHIT1,GNPDA1,FPGT,UAP1L1	Amino-sugar-and-nucleotide-sugar-metabolism
Citrate cycle (TCA cycle)	0.0592105263157895	0.236842105263158	0.191892240384838	0.537598632381241	1.34294851244397	30	IDH2,SUCLG1,SDHB,IDH3G,SDHC,IDH3B,MDH2,PDHB,DLD,PCK2,SDHD,ACO2,FH,IDH1,CS,MDH1,OGDH,ACLY,SDHA,DLAT,OGDHL	Citrate-cycle-TCA-cycle-
Galactose metabolism	0.155490609919515	0.518302033065049	0.249246554383295	-0.340578994773559	-1.17819025353562	31	PGM1,GANC,GAA,UGP2,GALT,GLA	Galactose-metabolism
Propanoate metabolism	0.232861806311208	0.665319446603451	0.0875697115548511	0.46319429622068	1.1712085853349	32	SUCLG1,EHHADH,ACAT1,BCKDHA,DLD,PCCB,LDHB,LDHA,ABAT,ACACA,ACAT2,ACSS1,MCEE	Propanoate-metabolism
Sulfur metabolism	0.294790343074968	0.736675204293207	0.083129129135339	0.576657576311884	1.14727444558043	9	SQOR,IMPAD1,PAPSS2,TST,MPST	Sulfur-metabolism
Glyoxylate and dicarboxylate metabolism	0.331503841931943	0.736675204293207	0.0694481442003175	0.442646225409091	1.09986894228659	28	GLDC,ACAT1,MDH2,SHMT2,DLD,GLYCTK,PCCB,ACAT2,MCEE,ACO2,GRHPR,CS,AFMID,MDH1	Glyoxylate-and-dicarboxylate-metabolism
Pentose and glucuronate interconversions	0.423076923076923	0.846153846153846	0.248911114434702	-0.282947006025955	-1.01218713248341	34	CRYL1,UGP2,UGDH,DHDH,DCXR	Pentose-and-glucuronate-interconversions
Inositol phosphate metabolism	0.492519333292058	0.89548969689465	0.203508959461977	-0.224344772527361	-0.920554092560379	73	ISYNA1,MTMR8,PLCB1,PLCB3,PLCH2,MTM1,PIK3CB,PIP4K2C,IMPA1,ITPKB,INPP5B,PLCB2,SACM1L,PIK3CA,ALDH6A1,PIK3C2B,PLCG2,MTMR6,INPP5A,PIK3CG,MTMR3,PLCG1,PIP4K2B	Inositol-phosphate-metabolism
Pentose phosphate pathway	0.577777777777778	0.962962962962963	0.195789002148949	-0.276106458358351	-0.946477922405261	30	FBP1,PGM1,RBKS,ALDOC,H6PD	Pentose-phosphate-pathway
