pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Oxidative phosphorylation	0.00221926102205777	0.0443852204411554	0.431707695803346	-0.432532271944106	-1.53974686232738	118	ND5,CYTB,ND1,ND2,ND4,COX2,COX1,ND4L,ND6,NDUFB6,COX3,NDUFB7,ATP6,ND3,ATP8,NDUFB4,NDUFB2,NDUFB9,NDUFC2,NDUFS6,NDUFS1,LHPP,COX6A2,COX7A2L,COX7A2,NDUFS5,NDUFA6,ATP6V1G1,COX4I1,COX5B,NDUFB3,SDHB,NDUFA4,NDUFAB1,NDUFA1,UQCRB,NDUFA12,ATP6AP1,ATP6V1B1,COX8A,UQCRC1,ATP6V0E2,UQCR11,ATP6V1F,COX6A1,PPA2,ATP6V1H,UQCRHL,ATP6V1B2,UQCRFS1,TCIRG1,SDHA
Glycolysis / Gluconeogenesis	0.0128005013217668	0.0974102617055924	0.380730400722792	0.426981540163023	1.49871337046377	68	GALM,MINPP1,ALDOC,GAPDH,PCK2,TPI1,PGAM1,GPI,HK2,ALDH3A1,G6PC3,ALDOA,LDHA
Ascorbate and aldarate metabolism	0.0146115392558389	0.0974102617055924	0.380730400722792	0.559692660983544	1.61858087243713	27	ALDH3A2,UGDH,MIOX,ALDH7A1,ALDH2,ALDH9A1
Pentose and glucuronate interconversions	0.115384615384615	0.458937198067633	0.211400189384923	0.408696772955786	1.25009525495814	34	DCXR,GUSB,RPEL1,DHDH,CRYL1,UGDH,RPE,XYLB
Inositol phosphate metabolism	0.133640552995392	0.458937198067633	0.148261500475107	-0.364998538256311	-1.21255498149878	73	PLCH2,PIP5K1C,PIP4K2A,ISYNA1,PI4KB,PIK3CB,INPP5E,INPP4A,MTMR14,INPP5D,PI4KA,PLCG1,PLCD3,PLCB1,PIK3CG,PIP5KL1,PLCB2,IPMK,INPP5K,ITPK1,INPP5B,SACM1L,ITPKB
Butanoate metabolism	0.13768115942029	0.458937198067633	0.186432558434075	0.434014273137273	1.27960013029765	28	ABAT,ALDH5A1,HMGCL,BDH2,ACADS,HADH,OXCT2
Glyoxylate and dicarboxylate metabolism	0.217391304347826	0.619494174481387	0.14551614609036	0.404812626176823	1.19350519386758	28	GLDC,AFMID,HYI,PGP,MCEE,GLYCTK,GRHPR
Fructose and mannose metabolism	0.275252525252525	0.619494174481387	0.130777137971974	0.365987539900353	1.10634038594699	31	ALDOC,GMDS,TPI1,HK2,ALDOA,FPGT,GMPPB,PFKM,PFKFB3,TSTA3,FBP1,GMPPA,ENOSF1,HK1,PFKFB4
Propanoate metabolism	0.278772378516624	0.619494174481387	0.130777137971974	0.366356891204403	1.114984187924	32	HIBCH,ABAT,ALDH6A1,MLYCD,ACACA,MCEE,ECHDC1,LDHA,SUCLG2
Nitrogen metabolism	0.575688073394495	0.938230383973289	0.0789209638180035	0.349434638963142	0.90820064521563	17	GLUD2,CA2,CA6
Pyruvate metabolism	0.593192868719611	0.938230383973289	0.0601186142531851	-0.307469363978908	-0.915542266866193	39	FH,ACYP2,ACAT1,GLO1,ACACB,DLAT,ACSS1,ACAT2,PDHA1,ACSS2,ME3
Fatty acid elongation	0.606356968215159	0.938230383973289	0.0795564677235957	0.314713202600433	0.905491471068348	26	ACOT1,ELOVL6,HADH,ABHD17A,ABHD17C,ACOT2,ELOVL5,HADHB,ELOVL7
Fatty acid biosynthesis	0.684668989547038	0.938230383973289	0.0567672387487446	-0.362825538086461	-0.841451843631635	13	ACSL6,OXSM,ACACB
Sulfur metabolism	0.765017667844523	0.938230383973289	0.0522693317499306	-0.39288339983828	-0.782857718885761	8	BPNT1
Amino sugar and nucleotide sugar metabolism	0.780448717948718	0.938230383973289	0.0468819856878333	-0.264660491296403	-0.82107879384375	48	UXS1,PGM2,UAP1L1,GALE,CYB5R3,GNPNAT1,FUK,GNE,NPL,CYB5R1,AMDHD2,HEXB,PGM1,CYB5R4,CYB5RL,NAGK,PMM1
Fatty acid degradation	0.849921011058452	0.938230383973289	0.042331839351853	-0.256036224142891	-0.785886264464058	44	CPT1A,ACAA2,ACAT1,ACSL6,ACADVL,ECI2,ACAT2
Pentose phosphate pathway	0.879799666110184	0.938230383973289	0.0432768714901103	-0.263038412720937	-0.741632006202584	30	IDNK,G6PD,PGM2,PFKP,PGLS,TKT,H6PD,PGM1
Starch and sucrose metabolism	0.895161290322581	0.938230383973289	0.0409055783172035	-0.249053134116908	-0.729749626515691	35	GYG1,PGM2,AGL,PGM1,GYS1,PYGB
Citrate cycle (TCA cycle)	0.934891485809683	0.938230383973289	0.0404934829859503	-0.247637103408492	-0.698208295553703	30	FH,DLAT,OGDH,PDHA1,SDHB,SUCLA2,ACO1,IDH2,SUCLG1,SDHA,MDH2,ACLY,IDH3B,PDHB
Galactose metabolism	0.938230383973289	0.938230383973289	0.0403295396423143	-0.244562815955413	-0.689540398162271	30	B4GALT1,PGM2,GALE,PFKP
