pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Oxidative phosphorylation	4.10453675806461e-10	8.20907351612921e-09	0.814035837847908	0.618233518097933	1.98143444882326	120	NDUFS5,ATP5ME,NDUFA6,ATP6V0B,COX7A2,UQCR10,NDUFA12,UQCRFS1,COX7B,UQCRQ,NDUFB8,NDUFA2,COX5A,ATP5PD,NDUFB11,ATP5MC3,NDUFB4,NDUFA1,UQCR11,COX6C,NDUFC2,PPA1,ATP5F1E,NDUFA7,COX8A,ATP5F1C,COX6A1,ATP5F1D,ATP5MF,CYC1,COX10,NDUFB9,TCIRG1,NDUFB3,COX5B,NDUFB1,NDUFA3,ATP6V0D1,NDUFAB1,NDUFB5,NDUFA9,ATP6V0C,NDUFC1,ATP5MG,SDHB,UQCRH,NDUFA8,NDUFA13,NDUFS2,COX7A2L,NDUFS7,COX7C,ATP6V1F,NDUFB10,ATP6V1A,UQCRHL,COX6B1,NDUFB6,NDUFS4,ATP5PF,ATP6V1C2,SDHD,NDUFS8,ATP5F1A,LHPP,NDUFB2,NDUFS3,NDUFA11,NDUFV1,SDHC,SDHA,COX11,ATP6V1G1,ATP6V0A2,COX17,NDUFA4	Oxidative-phosphorylation
Ascorbate and aldarate metabolism	1.2735142200854e-05	0.00012735142200854	0.593325476396405	-0.711906898478197	-2.33710219618062	27	ALDH9A1,UGDH	Ascorbate-and-aldarate-metabolism
Starch and sucrose metabolism	0.0158564070281262	0.105709380187508	0.352487857583619	-0.407682008519201	-1.41099179286444	35	AMY2B,GAA,PYGB,GBE1,UGP2,GANC,AGL	Starch-and-sucrose-metabolism
Amino sugar and nucleotide sugar metabolism	0.0468133481772853	0.234066740886426	0.321775918075361	-0.354993255736251	-1.26994717641393	48	FPGT,AMDHD2,CYB5R1,GNPNAT1,GNPDA2,UGDH,HEXB,GNE,CHIT1,UGP2,PGM3	Amino-sugar-and-nucleotide-sugar-metabolism
Sulfur metabolism	0.0639777468706537	0.255910987482615	0.208955027549354	0.669144096005102	1.3794782801756	9	SQOR,ETHE1,TST,MPST,IMPAD1,BPNT1	Sulfur-metabolism
Glyoxylate and dicarboxylate metabolism	0.327521793275218	0.902777777777778	0.0764767053228531	0.414831843891513	1.0976061279541	28	GRHPR,GLDC,GLYCTK,SHMT2,PGP,MDH2,ACO2,MCEE,AFMID,ACAT1,PCCB,AMT,DLD	Glyoxylate-and-dicarboxylate-metabolism
Nitrogen metabolism	0.358407079646018	0.902777777777778	0.154190966581424	-0.362948960302457	-1.06517804414245	17	CA9,CA13,CA6,CA4,CA8,CA5A,CA12,CA7,CA1,CA14,CA3,GLUD2,CA2,CPS1,GLUL,GLUD1,CA5B	Nitrogen-metabolism
Citrate cycle (TCA cycle)	0.366666666666667	0.902777777777778	0.0702812841717392	0.399526537499084	1.06832301110346	30	IDH2,IDH3G,SUCLG1,MDH2,PDHB,SDHB,ACO2,IDH3A,SDHD,IDH1,PDHA1,DLD,SDHC,SDHA	Citrate-cycle-TCA-cycle-
Inositol phosphate metabolism	0.411111111111111	0.902777777777778	0.234392647294686	-0.261426056209737	-1.00787366381288	73	ISYNA1,MTM1,PLCH1,INPP5B,MTMR8,PIP4K2C,PIK3CG,PLCB2,PLCB3,INPP5F,PLCH2,ALDH6A1,PIP4K2B,OCRL,PIK3CB,PI4K2A,SYNJ1	Inositol-phosphate-metabolism
Fatty acid degradation	0.451388888888889	0.902777777777778	0.173747838999571	-0.281314646142237	-0.996390381328137	44	ACADSB,ACSL3,ALDH9A1,ECI2,CPT1A,ACOX1,CPT1C,HADHA,ADH5,ALDH7A1,ACSBG1,ACADVL	Fatty-acid-degradation
Glycolysis / Gluconeogenesis	0.585825027685493	0.987654320987654	0.0431036828790402	0.30809854770159	0.940170033345788	68	GALM,ENO3,LDHA,GAPDH,HKDC1,AKR1A1,ADPGK,HK1,PDHB,PGK1,TPI1,PFKP,G6PC3,PGM1,PDHA1,DLD,PGAM1,HK2,PFKM,GAPDHS,LDHB,PCK2	Glycolysis-Gluconeogenesis
Fatty acid biosynthesis	0.685060565275909	0.987654320987654	0.0448645113168564	0.383047198981847	0.86310999589917	13	MCAT,FASN,ACSL4,OXSM	Fatty-acid-biosynthesis
Butanoate metabolism	0.71356783919598	0.987654320987654	0.112378519110475	-0.263050187585311	-0.872172182630892	28	ACSM3,BDH2,AACS,L2HGDH,HADHA	Butanoate-metabolism
Fructose and mannose metabolism	0.770588235294118	0.987654320987654	0.11776578836269	-0.251322363166571	-0.859094109190578	33	FPGT,KHK,ENOSF1,ALDOC,PFKL,PFKFB4,FBP1	Fructose-and-mannose-metabolism
Pyruvate metabolism	0.819262782401903	0.987654320987654	0.0307037368093842	0.282169493064818	0.794671209456756	39	GRHPR,ACYP2,LDHA,MDH2,PDHB,HAGH,ACAT1,ME2,PDHA1,DLD	Pyruvate-metabolism
Pentose phosphate pathway	0.879012345679012	0.987654320987654	0.0290688186426821	0.27562654190305	0.737017818713925	30	GLYCTK,TKT,DERA,PGLS,TALDO1,RPE,PFKP,PGM1,H6PD,PFKM,PGM2,RBKS,TKTL1,PGD,G6PD	Pentose-phosphate-pathway
Galactose metabolism	0.890643985419198	0.987654320987654	0.0275885895800029	0.267024771101541	0.722832634962881	31	GALM,HKDC1,HK1,GALK1,PFKP,B4GALT1,G6PC3,PGM1,HK2,PFKM,B4GALT2,PGM2	Galactose-metabolism
Pentose and glucuronate interconversions	0.910714285714286	0.987654320987654	0.107554375265169	-0.229318245913078	-0.785580879493604	34	UGDH,UGP2	Pentose-and-glucuronate-interconversions
Propanoate metabolism	0.983425414364641	0.987654320987654	0.0982123351217438	-0.195798862617312	-0.668893862924818	32	MLYCD,BCKDHB,MUT,ALDH6A1,ACSS2,HADHA,SUCLA2,HIBCH,ACSS1,ACACA,SUCLG2,ACAT2	Propanoate-metabolism
Fatty acid elongation	0.987654320987654	0.987654320987654	0.0228693972350018	0.219468010727347	0.586851445535491	30	ACOT7,ELOVL1,ELOVL5,ABHD17A,ELOVL6,ABHD17C,HACD4,PPT2,HADHB	Fatty-acid-elongation
