pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Oxidative phosphorylation	1.4749224452938e-05	0.00029498448905876	0.593325476396405	0.564844072866798	1.59272025497649	118	ATP6V0E1,NDUFA3,UQCR11,NDUFS5,NDUFC1,UQCR10,NDUFV3,UQCRQ,NDUFB11,NDUFA2,NDUFA8,NDUFA1,NDUFA13,NDUFS7,NDUFA4,COX8A,COX5B,SDHC,COX6B1,NDUFB4,NDUFS8,COX7C,NDUFV2,PPA2,ATP6V1G1,NDUFB1,NDUFB8,COX6C,COX7B,ATP6V1F,NDUFA5,SDHD,NDUFB3,NDUFA12,NDUFA6,NDUFAB1,ATP6AP1,ATP6V1E1,NDUFA11,COX7A2,NDUFS3,NDUFS6,COX10,NDUFA7,ATP6V1D,ATP6V1A,COX5A,ATP6V0D1,NDUFC2,NDUFB6,UQCRB,NDUFS4,NDUFS1,COX7A2L,NDUFB5,UQCRC2,ATP6V0E2,ATP6V0B,COX6A1,ATP6V1C2
Nitrogen metabolism	0.000550211828696654	0.00550211828696654	0.477270815362862	-0.727006632519077	-2.148947287094	17	CA5B,GLUD1,CA2,CA6,CA8
Galactose metabolism	0.0185674675525627	0.123783117017084	0.352487857583619	0.577620586385839	1.43541591515404	30	GLB1,GALM,G6PC3,PFKM,GALK1,GLA,AKR1B1,GAA,GALT,UGP2,GANC,PGM2
Fructose and mannose metabolism	0.0528052805280528	0.264026402640264	0.204294756516886	0.53780413135906	1.3395298480383	31	TPI1,GMDS,PFKM,ALDOC,ALDOA,GMPPA,TSTA3,GMPPB,AKR1B1
Glycolysis / Gluconeogenesis	0.237654320987654	0.730994152046784	0.0833634065110386	0.417865287704549	1.13699806985371	68	TPI1,MINPP1,GALM,G6PC3,PFKM,ALDOC,ALDOA,PCK2,GAPDH,ALDH9A1,LDHB,PDHB,ACSS2,PGAM1,LDHA,PGK1,PGM2,ADH5,DLD,GPI,PKM,BPGM,ALDH3A2
Propanoate metabolism	0.268590455049944	0.730994152046784	0.0808589150280032	0.45815981200447	1.14131774436336	32	PCCA,ECHS1,LDHB,ECHDC1,ACSS2,ALDH6A1,MCEE,SUCLG2,LDHA,HIBCH,MLYCD,SUCLG1,DLD,ABAT,BCKDHA,MUT
Citrate cycle (TCA cycle)	0.280874316939891	0.730994152046784	0.0776798560117236	0.454614073543159	1.12973860661705	30	SDHC,MDH1,PCK2,SDHD,PDHB,IDH2,MDH2,SUCLG2,ACO2,DLST,IDH3G,SUCLG1,DLD,SDHB,IDH3A
Fatty acid biosynthesis	0.292397660818713	0.730994152046784	0.199915231309662	-0.404848620858656	-1.10517193337298	13	OXSM,OLAH,ACSL1
Inositol phosphate metabolism	0.374018726828617	0.785599571734475	0.203508959461977	-0.235149727079884	-0.94317903605981	73	INPPL1,PIP4K2A,PI4KA,PLCB3,PIK3CA,IMPAD1,MTMR3,PLCB1,INPP4A,PIK3C2B,PIP5K1C,PIKFYVE,MTMR14,ISYNA1,IPMK,IMPA2,PLCH2,PLCH1,MTMR4,PIK3CB,PIK3CG,PLCG2,PLCD1,PIK3CD
Pentose phosphate pathway	0.401092896174863	0.785599571734475	0.059989249649033	0.425700484101191	1.05788689733343	30	PRPS1,PFKM,ALDOC,ALDOA,RPEL1,RBKS,PGM2,IDNK,PGD,GPI,RPIA,G6PD,TALDO1,RPE,DERA,TKTL1
Glyoxylate and dicarboxylate metabolism	0.566556655665567	0.785599571734475	0.0443293451680314	0.389987791882793	0.95637536266143	28	PCCA,MDH1,HYI,MDH2,MCEE,ACO2,DLD,MUT,PGP,SHMT2,GLDC,GCSH
Amino sugar and nucleotide sugar metabolism	0.590285110876452	0.785599571734475	0.0405756447890657	0.362176007341038	0.949567338981139	48	GNPDA1,GMDS,GMPPA,TSTA3,GMPPB,GNE,GALK1,RENBP,NAGK,GALT,UGP2,PGM2,MPI,CYB5RL,AMDHD2,PMM2,CYB5R1,GPI,HEXA,UGDH,PMM1,GNPDA2,CYB5R4,FPGT,HEXB,GFPT2,GALE,UAP1,PGM3,HK1
Pyruvate metabolism	0.596966413867822	0.785599571734475	0.0412376090540065	0.369053445133572	0.946228658031663	39	MDH1,PCK2,ME2,ALDH9A1,LDHB,PDHB,ACSS2,MDH2,LDHA,LDHD,DLD,PKM,ALDH3A2,HAGH,DLAT,ME3,ACACB,FH
Ascorbate and aldarate metabolism	0.627212389380531	0.785599571734475	0.0399218624292714	0.376499094727358	0.920574304502417	27	ALDH9A1,ALDH3A2,UGDH,RGN,ALDH2,UGT2B17,UGT1A6,MIOX
Sulfur metabolism	0.628458498023715	0.785599571734475	0.0478299633114229	0.468941768220114	0.899029562464057	8	SUOX,TST,ETHE1,PAPSS1,MPST,BPNT1
Fatty acid degradation	0.62847965738758	0.785599571734475	0.0383205781976994	0.356733059412682	0.926444794499117	44	HADHB,ECHS1,ALDH9A1,ACADS,HADH,ECI2,ACAA1,ACSBG2,GCDH,CPT2,ADH5,CPT1B,ALDH3A2,ACSL3
Butanoate metabolism	0.700770077007701	0.807196693411136	0.0344919215094074	0.357251061473713	0.876094381900006	28	BDH2,BDH1,ECHS1,AACS,ACADS,HADH,OXCT1,HMGCL,ALDH5A1,ABAT
Pentose and glucuronate interconversions	0.726477024070022	0.807196693411136	0.0325057651164641	0.346060068104928	0.870483923690799	34	CRYL1,AKR1B1,RPEL1,UGP2,GUSB,UGDH,DCXR,RPE,AKR1A1
Fatty acid elongation	0.858888888888889	0.886363636363636	0.0247790185105207	0.303608027368381	0.738432936127815	26	HADHB,TECR,ECHS1,HADH,PPT1,ELOVL5,MECR
Starch and sucrose metabolism	0.886363636363636	0.886363636363636	0.157402899305283	-0.233819835902831	-0.828516580230329	35	PYGM,HKDC1,PGM2L1
