pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Fatty acid degradation	2.0837238895872e-05	0.000416744777917439	0.575610261071129	-0.697202325445203	-1.62731916987013	44	ACADVL,ALDH9A1,HADHA,ADH5,ACOX1,CPT1A,ACAA2,ACSL3,GCDH,ALDH3A2,ACSL5,HADHB,ACADS,ACADSB,ACSL4,ALDH1B1,CPT1C,ACSL1,ACOX3	Fatty-acid-degradation
Ascorbate and aldarate metabolism	0.000355410331266128	0.00355410331266128	0.49849310876659	-0.723143823558538	-1.62763020329589	27	ALDH9A1,ALDH3A2,ALDH1B1	Ascorbate-and-aldarate-metabolism
Nitrogen metabolism	0.0014326590903895	0.00955106060259664	0.45505986738723	0.68814020445964	2.15462782714213	17	GLUL,CPS1,CA5B,CA9,CA4,CA13	Nitrogen-metabolism
Citrate cycle (TCA cycle)	0.00914870370990555	0.0457435185495278	0.380730400722792	-0.633318887911315	-1.43963573735546	30	ACO1,DLST,SUCLA2,SUCLG2,DLAT,MDH1,CS,FH,IDH3G,ACLY,MDH2,IDH3B,SUCLG1,OGDH,PDHB,PC,PCK2,SDHC,ACO2	Citrate-cycle-TCA-cycle-
Inositol phosphate metabolism	0.032032032032032	0.128128128128128	0.252961123069611	-0.528310864605798	-1.28003021763775	73	PIK3CG,INPP5B,MTMR4,PLCB2,MINPP1,IPPK,IMPA1,PI4K2A,INPP4A,SACM1L,PIP4K2C,PIK3CD,PIP5K1A,MTMR2,SYNJ1,PLCG1,MTMR1,PIK3C2B,MTMR6,PIK3CB,INPP5F,MTM1,PIK3C2A,PIK3CA,ITPK1,INPP4B,INPP5D,ISYNA1,PIKFYVE,INPP5E,INPPL1,PTEN,PLCH2,PIP4K2A,PI4KA,IPMK,ALDH6A1,OCRL,MTMR8,ITPKB,CDIPT	Inositol-phosphate-metabolism
Glycolysis / Gluconeogenesis	0.18555667001003	0.593525179856115	0.0959206777921745	-0.474382082515956	-1.14472951903018	68	ALDH9A1,PKM,MINPP1,PGM2,ADH5,GPI,ALDH3A2,ENO2,DLAT,ADPGK,FBP1,PFKL,ALDH1B1,HK1,GAPDH,ACSS1,PDHB,PCK2,PGM1,ENO1,GCK,LDHB	Glycolysis-Gluconeogenesis
Propanoate metabolism	0.234086242299795	0.593525179856115	0.0840745577910723	-0.506210948112647	-1.15782482647597	32	MLYCD,HADHA,MUT,PCCB,HIBCH,SUCLA2,SUCLG2,DBT,SUCLG1,BCKDHB,ACSS1,BCKDHA,PCCA,LDHB,ECHS1,ACACA,DLD,ALDH6A1,EHHADH,ABAT,ACACB	Propanoate-metabolism
Fatty acid elongation	0.237410071942446	0.593525179856115	0.0833634065110386	-0.510548894363434	-1.16055978752972	30	HADHA,HACD2,ACAA2,HSD17B12,HACD3,PPT1,HADHB,ABHD17B,ACOT2,MECR	Fatty-acid-elongation
Butanoate metabolism	0.317476732161324	0.699158420419865	0.0686325631836726	-0.493858973768264	-1.11501097341374	28	ALDH5A1,HADHA,AACS,BDH2,ACADS,OXCT1,HMGCL,ECHS1,HMGCS1,EHHADH,ABAT,L2HGDH	Butanoate-metabolism
Pyruvate metabolism	0.355397148676171	0.699158420419865	0.0623861492893626	-0.461431095021687	-1.07260531030582	39	ALDH9A1,PKM,ME2,ALDH3A2,DLAT,MDH1,FH,ALDH1B1,MDH2,ACSS1,PDHB,PC,PCK2,LDHB,ACACA,DLD	Pyruvate-metabolism
Starch and sucrose metabolism	0.384537131230926	0.699158420419865	0.0585937568945671	-0.461012427268308	-1.06588881666834	35	GAA,GYS1,PGM2,GPI,PYGB,AGL,AMY2B,HK1,PGM1,GCK,GANC,GBE1	Starch-and-sucrose-metabolism
Glyoxylate and dicarboxylate metabolism	0.473629782833506	0.789382971389176	0.0496901392724606	-0.4549141428161	-1.02708321229993	28	CAT,MUT,PCCB,ACO1,HYI,MDH1,CS,GCSH,MDH2	Glyoxylate-and-dicarboxylate-metabolism
Pentose phosphate pathway	0.539568345323741	0.813852813852814	0.0434506826723125	-0.432432380067996	-0.982988381080371	30	PGM2,PRPS1,GPI,PRPS2,IDNK,FBP1,PFKL,RPIA,G6PD,PGM1,H6PD,PGD,GLYCTK,PGLS,TKT,TALDO1,ALDOA	Pentose-phosphate-pathway
Amino sugar and nucleotide sugar metabolism	0.56969696969697	0.813852813852814	0.0401660980049421	-0.416296022344506	-0.980309921609319	48	FPGT,GNPNAT1,PGM2,HEXA,GPI,GNPDA2,HEXB,GNE,GALT,HK1,RENBP,GMDS,AMDHD2,PMM2,PGM1,GMPPA,CHIT1,GCK,CYB5RL,GALK1,GNPDA1	Amino-sugar-and-nucleotide-sugar-metabolism
Pentose and glucuronate interconversions	0.676200204290092	0.901600272386789	0.0326513265618535	-0.395434315732011	-0.909287961081085	34	GUSB,CRYL1,AKR1B1	Pentose-and-glucuronate-interconversions
Galactose metabolism	0.75564681724846	0.944558521560575	0.0273777349570556	-0.374473381624484	-0.852357460417726	31	GAA,PGM2,AKR1B1,PFKL,GALT,HK1,PGM1,GLA,GCK,GALK1,GLB1,GANC	Galactose-metabolism
Fatty acid biosynthesis	0.829857299670692	0.975776185602184	0.0259735747969448	-0.379546734039221	-0.774316462891507	13	ACSL3,ACSL5,ACSL4,ACSL1	Fatty-acid-biosynthesis
Fructose and mannose metabolism	0.878198567041965	0.975776185602184	0.018625883535806	-0.333905437659256	-0.766190262266868	33	FPGT,ENOSF1,AKR1B1,FBP1,PFKL,HK1,GMDS,PMM2,SORD,GMPPA	Fructose-and-mannose-metabolism
Sulfur metabolism	0.990762124711316	0.998001998001998	0.018625883535806	-0.269997556193277	-0.511383300231558	9	BPNT1,PAPSS1,SUOX,IMPAD1,ETHE1	Sulfur-metabolism
Oxidative phosphorylation	0.998001998001998	0.998001998001998	0.00204130030921835	-0.232276474925628	-0.574281786776288	120	NDUFS1,NDUFV3,PPA2,ATP6V1A,ATP5PO,ATP6V1E1,NDUFV1,ATP6V1H,ATP6V0D1,NDUFS2,COX15,ATP6V1E2,NDUFA10,ATP6V1B2,UQCRC1,ATP5F1C,NDUFS8,LHPP,ATP6V1D,NDUFS4,ATP5F1B,NDUFA11,ATP6V0E2,ATP5PF,ATP5PB,ATP5F1A,ATP5MC3,SDHC,ATP6V1C1,NDUFA8,NDUFS3,NDUFS6,NDUFA9,UQCRC2,ATP6V0A2,ATP6V0A1	Oxidative-phosphorylation
