pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Oxidative phosphorylation	3.56400089641457e-12	7.12800179282915e-11	0.898671232061694	0.657695187266929	2.22488860081918	120	ATP5MG,ATP5F1D,NDUFB5,NDUFB4,UQCRFS1,ATP6V0B,COX5A,ATP5PD,NDUFS5,COX7A2L,ATP5MC2,NDUFA12,NDUFB11,NDUFS8,COX7B,NDUFA6,UQCRH,ATP6V0D1,ATP5MF,ATP6V1F,ATP5MC3,NDUFB10,ATP5F1C,NDUFA7,UQCR10,UQCRQ,LHPP,COX7C,COX10,COX7A2,COX4I1,NDUFS2,NDUFA2,NDUFS3,ATP6V1D,UQCRHL,ATP5F1A,NDUFA10,NDUFA1,NDUFB3,ATP5ME,SDHC,NDUFB1,COX5B,COX8A,NDUFS7,COX6C,PPA1,UQCRB,NDUFB9,ATP6V1A,UQCRC2,COX6B1,UQCR11,ATP6V1C1,ATP6V0C,NDUFV2,ATP6V1G1,COX15,COX6A1,NDUFB8,CYC1,NDUFS4,NDUFB6	Oxidative-phosphorylation
Ascorbate and aldarate metabolism	0.0002470115162554	0.002470115162554	0.49849310876659	-0.680989831645016	-2.07311101014801	27	UGDH,ALDH3A2,ALDH9A1,ALDH1B1	Ascorbate-and-aldarate-metabolism
Amino sugar and nucleotide sugar metabolism	0.00421687841038164	0.0281125227358776	0.407017918923954	-0.486755832463332	-1.67696340629117	48	NPL,CYB5R1,UGDH,PMM2,CYB5R3,GNPNAT1,NAGK,FPGT,FUK,PGM1,GNPDA2,PGM3,GALE,UAP1,GPI	Amino-sugar-and-nucleotide-sugar-metabolism
Sulfur metabolism	0.0180437216555887	0.0902186082779435	0.352487857583619	0.755775397668235	1.5609501166782	9	MPST,TST,SQOR,ETHE1,IMPAD1	Sulfur-metabolism
Pentose and glucuronate interconversions	0.0226599509070081	0.0906398036280325	0.352487857583619	-0.467380848612521	-1.51095426849349	34	UGDH,CRYL1,SORD	Pentose-and-glucuronate-interconversions
Glycolysis / Gluconeogenesis	0.135593220338983	0.412457912457912	0.252961123069611	-0.318927943759041	-1.16936262847733	68	ENO2,PKM,DLAT,PGM1,PFKL,ALDH3A2,ALDOA,ALDH9A1,GPI,PDHA1,ALDOC,FBP1,BPGM,ALDH1B1	Glycolysis-Gluconeogenesis
Starch and sucrose metabolism	0.150877192982456	0.412457912457912	0.216542836735348	-0.378511476757336	-1.23237037298513	35	AGL,PGM1,GANC,GPI,GBE1,AMY2B,PYGM	Starch-and-sucrose-metabolism
Fructose and mannose metabolism	0.164983164983165	0.412457912457912	0.20207170902116	-0.373760516602317	-1.20699360931757	33	PMM2,ENOSF1,FPGT,FUK,PFKL,SORD,ALDOA,KHK,ALDOC,FBP1	Fructose-and-mannose-metabolism
Fatty acid degradation	0.214022140221402	0.47560475604756	0.184706471207739	-0.344705759100106	-1.15816673323596	44	ACSL3,CPT1A,ACADVL,CPT2,ACADSB,CPT1C,ALDH3A2,ALDH9A1	Fatty-acid-degradation
Fatty acid biosynthesis	0.285714285714286	0.571428571428571	0.13880510939114	-0.440065350495717	-1.11389638144503	13	ACSL3,ACACA,ACACB,ACSL1,OXSM,ACSBG2,ACSBG1,ACSL5	Fatty-acid-biosynthesis
Nitrogen metabolism	0.372403560830861	0.677097383328837	0.0789209638180035	0.447290870856629	1.08920227650826	17	GLUD1,GLUL,GLUD2,CA5B,CA1,CA6	Nitrogen-metabolism
Inositol phosphate metabolism	0.428571428571429	0.714285714285714	0.142901149386948	-0.271899034444277	-1.00534560847034	73	ISYNA1,INPP5E,PIP4K2B,PIP4K2C,MTMR8,MTMR4,PIK3CG,IMPA1,MTM1,INPP5B,PIK3CB,IPPK,PLCG2,PIKFYVE,PLCB3,PLCH2	Inositol-phosphate-metabolism
Pentose phosphate pathway	0.624183006535948	0.931034482758621	0.0940503465727813	-0.292586285390506	-0.914185741503846	30	PRPS1,PGM1,PFKL,RPIA,ALDOA,GPI,ALDOC,FBP1,PRPS2,H6PD,PFKP	Pentose-phosphate-pathway
Pyruvate metabolism	0.664259927797834	0.931034482758621	0.096240602328129	-0.272988518352608	-0.901012605223583	39	GLO1,PKM,DLAT,ACACA,ALDH3A2,ALDH9A1,PDHA1,ME3,ACACB,ALDH1B1,FH,ME2,ACYP1,MDH1	Pyruvate-metabolism
Propanoate metabolism	0.698275862068966	0.931034482758621	0.0469758727821845	0.311417723133962	0.861080852695516	32	LDHB,ACSS1,ABAT,BCKDHA,ACADM,SUCLG1,ACAT1,LDHA,HADHA,DBT,DLD,EHHADH,ALDH6A1,LDHAL6A,PCCB,SUCLG2,MCEE	Propanoate-metabolism
Galactose metabolism	0.824104234527687	0.990033222591362	0.0785029047348687	-0.255961559138692	-0.805608468563696	31	PGM1,PFKL,GALE,GANC,GLA	Galactose-metabolism
