pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Nitrogen metabolism	0.0108721540962407	0.150533468437864	0.380730400722792	-0.70600157573114	-1.5125839828515	17	CA5B,GLUL,GLUD1
Inositol phosphate metabolism	0.0150533468437864	0.150533468437864	0.380730400722792	-0.542301676340843	-1.40411860880025	73	PLCB1,PLCH2,SACM1L,PLCB2,PLCD1,IPMK,PIK3CB,PIK3CG,PI4KB,INPP5B,CDIPT,PIP5K1A,MTM1,PIP4K2A,INPP5E,PIK3C3,ITPK1,ISYNA1,ITPKB,PLCD3,PIP5K1C,PIP4K2C,MTMR14,PIK3CA,INPP4B,PI4KA,IMPA1,PIK3C2A,MTMR4,MTMR3,ALDH6A1,INPP4A
Fatty acid biosynthesis	0.0637191157347204	0.354803493449782	0.20207170902116	-0.680766564954118	-1.38382938359075	13	ACSL6,ACACB,OXSM,ACSL3
Fatty acid degradation	0.0709606986899563	0.354803493449782	0.173747838999571	-0.530973860971923	-1.31249271919303	44	ACSL6,ACSL3,ADH1B,ACADVL,ECI2,CPT1A,ACAA2,GCDH,ACSL1,ADH5,ACADM,ALDH9A1,CPT2,HADHA,ACAA1,ACAT2,ACOX3,ACSL5,HADHB,ALDH1B1
Sulfur metabolism	0.0902527075812274	0.36101083032491	0.287857117255149	0.719765042484393	1.52045271802048	8	PAPSS1,TST,MPST,ETHE1,SUOX,IMPAD1
Starch and sucrose metabolism	0.227578475336323	0.624766180321736	0.0905428948469474	-0.489366025971057	-1.17092462212738	35	HKDC1,AGL,GAA,GBE1,PGM2,PYGB,UGP2
Fructose and mannose metabolism	0.260162601626016	0.624766180321736	0.252961123069611	0.350881384716014	1.12152397861423	31	TSTA3,TPI1,ALDOC,GMPPA,ALDOA,AKR1B1
Amino sugar and nucleotide sugar metabolism	0.265438786565547	0.624766180321736	0.0802023444698144	-0.454280748705544	-1.13429154378056	48	AMDHD2,HKDC1,GALE,CYB5R1,PMM2,CYB5R3,GFPT2,UXS1,GNE,GNPNAT1,PGM2,HEXB,HEXA,PGM3,CMAS,UGP2
Citrate cycle (TCA cycle)	0.301822323462415	0.624766180321736	0.0760837160951725	-0.476055669378637	-1.11936024627524	30	PDHA1,ACO1,SUCLA2,SUCLG2,DLD,OGDH,SDHB,PDHB,IDH1,FH,ACLY,DLAT,SDHD,CS,DLST,ACO2
Galactose metabolism	0.338268792710706	0.624766180321736	0.0702812841717392	-0.464180783284351	-1.09143856341757	30	HKDC1,GALE,GAA,GLB1,PGM2,B4GALT1,UGP2,PFKL
Glyoxylate and dicarboxylate metabolism	0.373563218390805	0.624766180321736	0.0658311958368866	-0.455889883961867	-1.06526076827818	28	ACO1,GLUL,CAT,DLD,PGP,PCCB,SHMT1,CS,PCCA,ACO2,ACAT2
Pentose and glucuronate interconversions	0.374859708193042	0.624766180321736	0.0645031249656493	-0.446131692388447	-1.06599564027447	34	UGP2,ISPD,SORD,DHDH
Propanoate metabolism	0.447309417040359	0.664322394813051	0.0560595875032335	-0.432697137618107	-1.02739580837754	32	ACACB,ACSS1,BCKDHB,SUCLA2,SUCLG2,DLD,DBT,PCCB,BCKDHA,ECHDC1,ACADM,ALDH6A1,PCCA,HADHA,ACAT2,MLYCD
Glycolysis / Gluconeogenesis	0.465025676369136	0.664322394813051	0.203508959461977	0.27479530368311	1.03689278012674	68	GAPDH,GPI,TPI1,ALDOC,GALM,LDHA,LDHB,PCK2,ALDOA,G6PC3,PKLR,PKM,PGAM1
Oxidative phosphorylation	0.640845070422535	0.794392523364486	0.0344919215094074	-0.353566684988944	-0.941398987968666	118	ND2,ND3,ND1,COX3,ND5,CYTB,ND4L,ATP6,COX1,ATP8,COX2,ND6,ND4
Butanoate metabolism	0.693103448275862	0.794392523364486	0.0370705393657621	-0.369995058379856	-0.864553555616562	28	OXCT1,ACSM3,BDH1,AACS,HMGCS1,HADHA,ACAT2,BDH2,L2HGDH,ACSM1,HMGCL,ALDH5A1
Pyruvate metabolism	0.706140350877193	0.794392523364486	0.0339723613634993	-0.359954796799717	-0.876599461258187	39	GLO1,ACACB,PDHA1,ACSS1,DLD,ME2,PDHB,FH,HAGH,DLAT,ALDH9A1
Ascorbate and aldarate metabolism	0.733812949640288	0.794392523364486	0.135740943810425	0.286274509803922	0.869237878609562	27	MIOX,ALDH3A2,ALDH7A1,UGDH
Fatty acid elongation	0.754672897196262	0.794392523364486	0.0338245444462164	-0.360465352615183	-0.827700057602609	26	ELOVL4,HSD17B12,PPT1,THEM4,ELOVL1,ACAA2
Pentose phosphate pathway	0.992027334851936	0.992027334851936	0.0176259777744384	-0.234413205375101	-0.551180965119744	30	H6PD,DERA,PGM2,PRPS1,TKT,PFKL,TKTL1,PRPS2,PGLS,PGM1,RBKS,PFKP
