pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Inositol phosphate metabolism	0.0432595573440644	0.47569803516029	0.216542836735348	-0.500372857932191	-1.28594603518132	73	PLCH2,PLCB1,ISYNA1,SACM1L,INPP5E,MTM1,PLCD3,PLCD1,PIK3CG,PI4KB,CDIPT,ALDH6A1,IPMK,PIP5K1C,PIK3CB,PIP4K2A,PIK3C3,MTMR3,PLCB2,ITPKB,PIP5K1A,MTMR14,PIP4K2C,ITPK1,INPP5K
Fatty acid degradation	0.047569803516029	0.47569803516029	0.208955027549354	-0.538040390876358	-1.3344712687994	44	ACSL6,ACADVL,ACSL3,ADH1B,CPT1A,ACADM,ADH5,ECI2,ALDH9A1,ACAA2,ACOX3,GCDH,ACADSB,ACAT1,HADHA,ACSL1,CPT2,ACAT2,ACSL5
Starch and sucrose metabolism	0.156903765690377	0.75103734439834	0.108820126769161	-0.503455364659859	-1.21673882163329	35	AGL,GAA,HKDC1,GBE1,PYGB,PGM2,PGM1,UGP2
Fatty acid biosynthesis	0.182795698924731	0.75103734439834	0.107554375265169	-0.586810092946461	-1.22043851107938	13	ACSL6,ACACB,ACSL3
Amino sugar and nucleotide sugar metabolism	0.187759336099585	0.75103734439834	0.0972150808846466	-0.471076878906908	-1.17607751151364	48	UXS1,GALE,HKDC1,CYB5R3,CYB5R1,GNPDA2,PGM2,AMDHD2,GNPNAT1,CMAS,GNE,PMM2,PGM1,FUK,UGP2,HEXB,HEXA,PMM1,CYB5R4,NAGK,GFPT2,PGM3
Citrate cycle (TCA cycle)	0.316737288135593	0.883822060292649	0.0699458736501659	-0.466790191894102	-1.11089118750214	30	ACO1,PDHA1,DLD,IDH1,SUCLA2,DLAT,SUCLG2,FH,OGDH,SDHB,SDHD,SDHA,CS,PDHB,DLST,IDH3B,ACLY,MDH1,SUCLG1,ACO2
Propanoate metabolism	0.360759493670886	0.883822060292649	0.0633597010643758	-0.452206434298883	-1.08146649350898	32	ACACB,DLD,DBT,ALDH6A1,ACADM,BCKDHB,PCCB,SUCLA2,ECHDC1,ACSS1,SUCLG2
Glyoxylate and dicarboxylate metabolism	0.407089151450054	0.883822060292649	0.0584693210386381	-0.446791406166679	-1.05535243054069	28	ACO1,DLD,CAT,PCCB,GLUL,SHMT1,PCCA,CS,ACAT1,ACAT2,MUT,MDH1,ACO2,HYI
Galactose metabolism	0.572033898305085	0.883822060292649	0.0421619430092452	-0.398550741761757	-0.948491451799875	30	GAA,GALE,HKDC1,PGM2,GLB1,PGM1,B4GALT1,UGP2
Nitrogen metabolism	0.60069848661234	0.883822060292649	0.0442407423477375	-0.429914209830772	-0.933991409421517	17	CA5B,GLUD1,GLUL,CA13,GLUD2
Pentose and glucuronate interconversions	0.651626442812172	0.883822060292649	0.0356933083353341	-0.377317352327521	-0.910619764262824	34	SORD,UGP2,DHDH,GUSB,UGDH,ISPD,XYLB,CRYL1,DCXR
Butanoate metabolism	0.655209452201933	0.883822060292649	0.0365314928349125	-0.38089581975605	-0.899702464313686	28	OXCT1,ACSM3,BDH1,AACS,HMGCS1,ACAT1,HADHA,L2HGDH,HMGCLL1,ACAT2,HMGCL,ECHS1,ACSM1,ALDH5A1
Fatty acid elongation	0.716939890710383	0.883822060292649	0.0330894161454377	-0.371652355671429	-0.864854159537	26	HSD17B12,THEM4,ELOVL4,PPT1
Pyruvate metabolism	0.719042663891779	0.883822060292649	0.0305608138615649	-0.357518615581734	-0.872702586880308	39	ACACB,GLO1,PDHA1,DLD,ME2,DLAT,ACSS1,FH,ALDH9A1,ACYP2,PDHB,ACAT1,HAGH
Fructose and mannose metabolism	0.724137931034483	0.883822060292649	0.219250346703755	0.257427338813929	0.902348636090167	31	ALDOC,TSTA3,TPI1,GMPPA,ALDOA,GMDS,HK2
Oxidative phosphorylation	0.751248751248751	0.883822060292649	0.0262543396498271	-0.344825198418287	-0.90483019681536	118	ND2,ND3,ND1,COX3,CYTB,ND5,ND4L,COX1,ATP6,ATP8,COX2,ND4,ND6
Pentose phosphate pathway	0.845338983050847	0.939265536723164	0.0230116943194552	-0.317938746245507	-0.756646899405593	30	PRPS1,PGM2,H6PD,DERA,PGM1,TKT,IDNK,PGLS,PRPS2,PGD,PFKL,PFKP
Ascorbate and aldarate metabolism	0.983783783783784	1	0.0144273071264209	-0.241943409136587	-0.567770320788604	27	ALDH9A1,UGDH
Sulfur metabolism	1	1	0.024215353215022	-0.220889726869434	-0.40904904232462	8	BPNT1,SUOX,PAPSS1,PAPSS2
Glycolysis / Gluconeogenesis	NA	NA	NA	0.249736551654777	NA	68	GAPDH,ALDOC,GALM,TPI1,PCK2,LDHA,GPI,LDHB,MINPP1
