pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Nitrogen metabolism	0.000113131843288322	0.00226263686576644	0.538434096309916	0.724900881123339	2.23867457605258	17	GLUL,GLUD1,CA5B,CA3,CA8,CA4,CA2	Nitrogen-metabolism
Ascorbate and aldarate metabolism	0.00963969385597112	0.0821907812331521	0.380730400722792	-0.630428710077564	-1.44528930408509	27	ALDH9A1,ALDH3A2,UGDH,ALDH1B1	Ascorbate-and-aldarate-metabolism
Fatty acid degradation	0.0123286171849728	0.0821907812331521	0.380730400722792	-0.5803860068301	-1.3856072149555	44	ADH5,CPT1A,ACADVL,ALDH9A1,CPT2,HADHA,ACAA2,ACSL5,ACSL3,ACOX1,HADH,HADHB,ALDH3A2,ACADSB,ECHS1,ACSL6	Fatty-acid-degradation
Amino sugar and nucleotide sugar metabolism	0.0635721493440969	0.317860746720484	0.176694268938498	-0.516252125623443	-1.24375326253837	48	GNPDA2,HEXA,FPGT,MPI,HEXB,GALT,PGM2,PMM1,RENBP,CYB5R1,GNPNAT1,AMDHD2,GALK1,CMAS,GPI,FUK,UGDH,GNE,CYB5R3	Amino-sugar-and-nucleotide-sugar-metabolism
Citrate cycle (TCA cycle)	0.0807770961145194	0.323108384458078	0.156312403073186	-0.553519042067092	-1.28509202025263	30	ACO1,DLST,DLAT,SUCLA2,SDHD,SDHC,FH,ACLY,SUCLG1,OGDH,MDH2,PCK2,CS,IDH3G,IDH3B,DLD,PDHA1,IDH1,IDH2,PDHB,MDH1,SDHA	Citrate-cycle-TCA-cycle-
Pentose phosphate pathway	0.0991820040899796	0.330606680299932	0.139599673451922	-0.542625255370634	-1.25980017428167	30	PGM2,PRPS1,ALDOA,PFKL,PRPS2,GPI,FBP1,TALDO1,RPE,GLYCTK,ALDOC,H6PD,DERA,PGM1,G6PD	Pentose-phosphate-pathway
Oxidative phosphorylation	0.124875124875125	0.356786071071785	0.120985142145252	-0.451827339076462	-1.14594063559157	120	NDUFV3,PPA2,ATP6V1B2,ATP6V1E2,NDUFA5,ATP6V1E1,NDUFA4,ATP5PB,ATP5PO,SDHD,ATP6V1A,ATP6V1G1,TCIRG1,NDUFS1,ATP6AP1,NDUFB10,SDHC,NDUFA11,COX6B1,UQCRC2,COX4I1,NDUFA9,LHPP,NDUFS4,COX15,ATP5F1A,COX11,COX7A2L,ATP6V1D,ATP6V0E1,NDUFB3,NDUFA7,ATP5F1B,NDUFS2,NDUFC2,ATP5MC2,UQCRC1,NDUFB7,NDUFA8,ATP5PF,UQCR11,ATP5MG,NDUFA13,NDUFB5,ATP6V0D1,UQCRB,NDUFS8,NDUFA1,ATP6V1C1,ATP5F1D,ATP6V0A1,ATP6V1H,ATP5F1C,NDUFS6,COX8A,SDHA,NDUFB11,ATP5MF,NDUFS3,NDUFB6,ATP5MC3,COX5B,COX5A,UQCR10,NDUFB1,NDUFB9	Oxidative-phosphorylation
Propanoate metabolism	0.231320368474923	0.457736846904349	0.0845557442441281	-0.496952230593591	-1.16046273467947	32	MLYCD,HADHA,SUCLA2,HIBCH,MUT,BCKDHA,PCCA,BCKDHB,ECHDC1,SUCLG1,ECHS1,MCEE,DBT,DLD,ACSS2,ACAT2,ACACB,LDHB	Propanoate-metabolism
Fatty acid elongation	0.234151329243354	0.457736846904349	0.0838361057159929	-0.500179662988632	-1.16125525004328	30	HACD2,HSD17B12,HADHA,PPT1,ACAA2,ACOT2,ACOT4,HACD4,HADH,HADHB,HACD3,ECHS1	Fatty-acid-elongation
Pentose and glucuronate interconversions	0.240040858018386	0.457736846904349	0.0824344091527096	-0.487770731182534	-1.14317486880227	34	AKR1B1,CRYL1,SORD,UGDH,RPE	Pentose-and-glucuronate-interconversions
