pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Pentose and glucuronate interconversions	0.000773921310698158	0.0154784262139632	0.477270815362862	0.578914120807705	1.84782131295591	34	DCXR,RPE,XYLB,RPEL1
Glycolysis / Gluconeogenesis	0.0142168065505595	0.114146694556498	0.380730400722792	0.380303839420663	1.3786282689186	68	ALDOC,GAPDH,GALM,TPI1,PCK2,MINPP1,LDHA,G6PC3,GPI
Oxidative phosphorylation	0.0171220041834747	0.114146694556498	0.352487857583619	-0.431372696092268	-1.36069614554633	118	ND5,ND2,COX3,COX1,ND6,ND3,CYTB,ND1,ATP8,ATP6,ND4L,COX2,ND4,ATP6V1G1,COX7A2L,NDUFA5,LHPP,NDUFA4,ATP6V1G2,COX10,PPA2,ATP6V0E2,COX6A2,NDUFS1,SDHB,NDUFC2,ATP6AP1,NDUFB9,UQCRB,NDUFB7,NDUFS2,SDHD,UQCRC2,COX17,NDUFB5,ATP6V1G3,ATP6V0E1,COX11,NDUFB6
Fructose and mannose metabolism	0.0641727148665189	0.320863574332595	0.287805130535564	0.442446392930008	1.3907378872451	31	ALDOC,TPI1,TSTA3,GMDS,GMPPA,ALDOA,PFKFB3,PFKFB4,PFKFB1,ENOSF1,PFKM,HK1,GMPPB,HK2,FPGT
Pentose phosphate pathway	0.131147540983607	0.446265938069217	0.252961123069611	0.410392580470798	1.27325076055129	30	ALDOC,RPE,RPEL1,GPI,GLYCTK,ALDOA,RPIA,PFKM,G6PD
Sulfur metabolism	0.133879781420765	0.446265938069217	0.20207170902116	0.645859853208909	1.35304311525497	8	TST,MPST,SUOX,PAPSS1
Ascorbate and aldarate metabolism	0.172284644194757	0.492241840556447	0.208955027549354	0.409748516828591	1.23335882648557	27	ALDH3A2,MIOX,ALDH7A1,ALDH2,UGDH,ALDH1B1
Nitrogen metabolism	0.252212389380531	0.610532407407407	0.100633389423036	-0.511902470798254	-1.18326655998058	17	CA5B,GLUL,CA13,GLUD1
Starch and sucrose metabolism	0.274739583333333	0.610532407407407	0.0883594442500905	-0.420875857947106	-1.13122296432201	35	HKDC1,AGL,GYG1,PGM2,GBE1,GAA
Inositol phosphate metabolism	0.319767441860465	0.63953488372093	0.0741758965588009	-0.361748960705544	-1.08315860097887	73	PLCB1,PI4KB,PLCB2,PLCD1,ISYNA1,PIK3CB,SACM1L,PIP4K2A,PLCG1,MTMR1,INPP5E,PLCH2,MTM1,IPPK,PIK3C3,PLCD3,PIP4K2C,PI4KA,IMPA1,PIP5K1C,INPP4A,MTMR8,ITPKB,PIK3C2A
Amino sugar and nucleotide sugar metabolism	0.408010012515645	0.741836386392081	0.0656813601934011	-0.367533314420357	-1.04017062780198	48	UXS1,CYB5R3,CYB5R1,HKDC1,CMAS,PGM2,HEXB,PMM2,FUK,GNPDA2,GNE,GALE,AMDHD2,PMM1,UGP2
Fatty acid elongation	0.466216216216216	0.777027027027027	0.0629394692018967	-0.390736459446043	-0.996659005327037	26	THEM4,HSD17B12,PPT1,ELOVL1,ELOVL4,ACOT4,ABHD17B,ACAA2
Glyoxylate and dicarboxylate metabolism	0.534045393858478	0.821608298243812	0.0559428593065705	-0.368350815953584	-0.96009313264881	28	GLUL,ACAT1,ACAT2,CAT,ACO1,MUT,DLD,SHMT1,GCSH,CS
Citrate cycle (TCA cycle)	0.606860158311346	0.841121495327103	0.0494904866135495	-0.345928002992062	-0.908902081682325	30	PDHA1,OGDH,SDHB,SUCLG2,ACO1,DLD,FH,SDHD,CS,SUCLG1
Propanoate metabolism	0.652	0.841121495327103	0.0466948041282054	-0.335939572648825	-0.885760803269818	32	BCKDHB,ACAT1,ACAT2,SUCLG2,MUT,DLD,ACADM,SUCLG1,ECHDC1,HADHA,SUCLA2,PCCB,ACACB,ACSS2
Butanoate metabolism	0.672897196261682	0.841121495327103	0.0453152441270267	-0.32789825296973	-0.854654984457671	28	ACSM3,ACAT1,OXCT1,ACAT2
Fatty acid degradation	0.84197218710493	0.934193891809169	0.0323604297137014	-0.279179956360727	-0.779196158037519	44	CPT1A,ACAT1,ACSL6,ACAT2,ECI2,ACADVL,ACADSB,ACAA2
Galactose metabolism	0.857519788918206	0.934193891809169	0.0335297167141207	-0.283102455630343	-0.743832268640308	30	HKDC1,PGM2,GAA,GLB1,GALE,UGP2,PFKP,LCT,AKR1B1
Pyruvate metabolism	0.887484197218711	0.934193891809169	0.029777461260706	-0.267198185685738	-0.734234148363052	39	PDHA1,GLO1,ACAT1,ACAT2,DLD,ACYP2,ME2,FH,LDHD,HAGH,ALDH9A1,ACACB,ACSS2
Fatty acid biosynthesis	0.962406015037594	0.962406015037594	0.0342688261591917	-0.259891343459717	-0.570221242952436	13	OXSM,ACSL6
