c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
Glycolysis / Gluconeogenesis	0.88162656208149	0.746262803133807	0.728544082807602	0.877873954273386	0.77706691342888	0.776539842523173	0.825881382050859	0.726958922336766	1.84076673573349	0.827546669849007	1.99093213178154
Citrate cycle (TCA cycle)	0.934649268487026	0.823451637325724	0.819523359435348	0.886352723635418	0.827731127818266	0.851701847372105	0.888633555701882	0.828766027741445	1.63705318723669	0.861990697121734	1.64014656812436
Pentose phosphate pathway	0.918896174679473	0.857156775356313	0.838504710589069	0.918377194857796	0.890214048436989	0.86703220415966	0.902908308144254	0.838881697050082	1.47516571697053	0.928397531509925	1.56446563824591
Pentose and glucuronate interconversions	0.89992193287582	0.869096043408588	0.894236329642456	0.914963057988019	0.867378492248647	0.883558688423495	0.89487339771412	0.85678045233018	1.55390484737076	0.941559087773131	1.42372767022478
Fructose and mannose metabolism	0.970131871843212	0.931339091523272	0.926157196982587	0.961842955500487	0.969173697678462	0.964597444516905	0.95894610564509	0.926444991032682	1.20909002110421	0.963179011036614	1.21909761313648
Galactose metabolism	0.966464929226279	0.929795402914312	0.931346862059076	0.973165348121659	0.941593731171185	0.939757269929306	0.964399904247917	0.933106677443627	1.23075417886018	0.946864139142309	1.24275155688415
Ascorbate and aldarate metabolism	0.992097037532447	0.967448034490685	0.967937712726134	0.988037674149015	0.967898826553593	0.969592473611173	0.986004933425008	0.971246617030344	1.10339622311632	0.980842663082816	1.10549780428246
Starch and sucrose metabolism	NA	0.933297684096772	0.929359970019491	0.968510108055412	0.93967074227522	0.95439339333718	0.959943287987394	0.940616868887118	1.16012372650436	0.984394971168875	1.2274517147339
Amino sugar and nucleotide sugar metabolism	0.978640668177126	0.9582092103883	0.958118825173028	0.981523396243509	0.966383740449873	0.969412955130258	0.971841926589006	0.956690072355859	1.14124801050285	0.969407348964674	1.14852384602552
Pyruvate metabolism	0.928173880943102	0.864502266074502	0.860477135723216	0.944492650909344	0.874812043746185	0.888281519463353	0.912924409032709	0.861040913718212	1.48416103662769	0.892152104638597	1.48898203912309
Glyoxylate and dicarboxylate metabolism	0.944685201988572	0.902050956237567	0.90476097094949	0.941408997607558	0.905364494189416	0.912342182538554	0.934515053063993	0.902269552839861	1.3536553667103	0.914803788810206	1.38414343506448
Propanoate metabolism	0.969688227628369	0.938525472524572	0.937828609548009	0.963059782404664	0.939824663159229	0.947684081435504	0.958461532063331	0.937826605135067	1.22183133488145	0.949685977343299	1.23558371387651
Butanoate metabolism	0.967731866557073	0.948578648896558	0.949289842531403	0.972053799209045	0.951418484767769	0.953943040666014	0.963468764792759	0.948915439338485	1.1980247986098	0.958381739989122	1.18819357464197
Inositol phosphate metabolism	NA	0.97314302768885	0.971565644139002	0.988646462993339	0.975362754980603	0.979582345405216	0.987955575320851	0.974084492744425	1.09100498458209	0.985411461130734	1.07430169092892
Oxidative phosphorylation	0.918483608717361	0.671183774397115	0.664385139742873	0.827465302315295	0.683719568448954	0.722043521407014	0.824209615270858	0.666553146423229	2.11414111224813	0.718176486831392	2.18963872419777
Nitrogen metabolism	0.949904569889915	0.934368587822793	0.922626656419494	0.947990803068403	0.963503143321972	0.96088960851802	0.962244604450223	0.927887688127415	1.20582319608474	0.939183546609545	1.28557759568748
Sulfur metabolism	NA	0.91248088052174	0.907909245859148	0.961972147124016	0.913465054710851	0.917810269730417	0.98044905763011	0.906066198563244	1.29316802559321	0.945682138474939	1.26671804925262
Fatty acid biosynthesis	0.992663941174045	0.979860486195538	0.980481632283342	0.990232273471716	0.979737445613706	0.986539421364899	0.988557158321814	0.984258764951661	1.05684645859555	0.986309136163606	1.07451328186412
Fatty acid elongation	0.948962578130948	0.896190274532302	0.894665764985578	0.94172860914796	0.898210769761203	0.902031884645367	0.946415042508426	0.895276533424102	1.40239444438382	0.914647721842651	1.35947637663764
Fatty acid degradation	0.975243612103375	0.931523709054735	0.929098515353279	0.961301039819822	0.936469542288363	0.941576879323733	0.955050505059495	0.931434885718282	1.23938819830859	0.960417358229356	1.23849575474097
