c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
Glycolysis / Gluconeogenesis	0.720148884773828	0.752129090859864	0.884535531544817	0.797950849661511	0.796119293112857	0.739135438278079	0.80669789373457	0.887220579056675	1.03833537483762	1.74738223196343	1.83034483217675
Citrate cycle (TCA cycle)	0.897564273738126	0.904100730208103	0.963260166022488	0.923944738657109	0.912727302293543	0.912498791171589	0.919575104211618	0.942621479540758	0.959346548480245	1.32707496288593	1.33728590279049
Pentose phosphate pathway	0.871836441369375	0.888566282932881	0.945339885595506	0.913808897390424	0.921284874417671	0.886553828893317	0.899724139776163	0.939977105458906	NA	1.29387105886208	1.45015700031735
Pentose and glucuronate interconversions	0.888358406379824	0.860708694264059	0.899222021711668	0.910137626532628	0.860195814336665	0.86478896531421	0.888367153455855	0.931347872815862	NA	1.2818262672947	1.63404670821069
Fructose and mannose metabolism	0.911648733998912	0.921044911720715	0.959835789443681	0.937001171363657	0.944839118937201	0.925945996049803	0.932640760124365	0.973044460689385	NA	1.20153723034924	1.29960383765214
Galactose metabolism	0.945705587846206	0.950933423418321	0.949689496478921	0.963013656354403	0.95907062032834	0.947077621752288	0.94481882086408	0.966830679680233	1.03649168146921	1.1331349725379	1.2032334392701
Starch and sucrose metabolism	0.929211379884181	0.939963082748414	NA	0.957102630807737	0.955256212356024	0.95281581373085	0.990934227890098	NA	NA	1.09594447344223	1.18518239262507
Amino sugar and nucleotide sugar metabolism	0.952299050479033	0.955435123537953	0.960570855878788	0.963149578090306	0.963135965891297	0.955715479990843	0.963142794631554	0.978961701901932	NA	1.12637722466496	1.17842434227871
Pyruvate metabolism	0.878825404991363	0.88300996533569	0.931382975130717	0.907117918665261	0.905440081634538	0.868655656610109	0.885827148650751	0.908347034575147	0.978708856311655	1.38258218520329	1.47010277289148
Glyoxylate and dicarboxylate metabolism	0.926759167118669	0.929700432918748	0.948812723104166	0.948502147673776	0.93600653183926	0.932107807833006	0.939996323295694	0.950215298531852	NA	1.18497521073044	1.30790867564305
Propanoate metabolism	0.940372482342483	0.935481951381674	0.953110239134617	0.947523784669841	0.938511420879505	0.923240758880453	0.932227118341326	0.939172521106144	0.986900842710542	1.25628217807286	1.24717670248055
Butanoate metabolism	0.964248048592781	0.962332199296959	0.977504870873305	0.972725018919058	0.965522647356643	0.964464300757664	0.969517389164213	0.967723693849214	NA	1.14006729268043	1.11207082128021
Inositol phosphate metabolism	0.973007498379671	0.972805245675748	0.988432463034907	0.979140710921687	0.977299108729976	0.972815351986462	0.977198156568423	0.989507205427977	1.00616606497857	1.05298072427863	1.11064747001795
Oxidative phosphorylation	0.758707178023094	0.767067931338666	0.899159096057504	0.861092450774815	0.78872026025028	0.766595742042844	0.793184829242214	0.82188539938335	NA	1.74158686856617	1.79205454700433
Sulfur metabolism	0.941181817032148	0.93303386218897	NA	0.963048565612596	0.946651974239548	0.929361398224122	0.921198425842422	0.942023703567672	NA	1.33802733818947	1.08910934568415
Fatty acid biosynthesis	0.987669888276466	0.988315031073877	NA	0.988058112616967	0.990606296172058	0.989523556895034	NA	NA	1.01486666925788	1.02604434677428	1.02173512533217
Fatty acid elongation	0.920626394041987	0.919158955727221	0.965817647204337	0.945329968754729	0.927185675733694	0.934698032997515	0.926312563836881	0.954292109844463	0.978451908414837	1.2328475306142	1.29527921283014
Fatty acid degradation	0.939757577457597	0.944487153752837	0.982426780875328	0.954551737493645	0.949593729171449	0.951401696392523	0.95052494480818	0.981670811737404	0.991387293301236	1.1486890728729	1.2055092021369
