Tem/Trm cytotoxic T cells.1	Cycling T cells	Trm cytotoxic T cells	Tem/Trm cytotoxic T cells	Tcm/Naive helper T cells	Regulatory T cells.1	Type 1 helper T cells.1	Follicular helper T cells	Plasmablasts	Regulatory T cells	Type 1 helper T cells	gamma-delta T cells
Glycolysis / Gluconeogenesis	0.813187323430503	1.98614071337925	0.790186801723597	1.03837995016043	0.569487038741234	0.899151483763484	0.767477917151639	0.636289424658949	1.64759380359646	1.13443465077889	0.665407474450475	1.05226341816509
Citrate cycle (TCA cycle)	0.862560332290593	1.93990149795387	0.854145957272287	1.14121582986482	0.573233799336709	NA	0.677999552357442	0.610003698102251	1.71220331932947	1.0456701917565	0.632104782901799	NA
Pentose phosphate pathway	0.795485119371331	2.06387075261702	0.798244485519693	NA	0.63432839833751	0.932340168216519	0.667472517141493	0.644875458579331	1.58749167451504	1.07267378423545	0.616377562716114	1.17287888570371
Pentose and glucuronate interconversions	0.729851834044355	2.00620873002312	0.800145127856173	0.842967001867876	0.789735998757646	0.826568048558005	0.721463596395833	0.762923861701909	1.71203219525307	1.07402738244929	0.688941291391087	NA
Fructose and mannose metabolism	0.760616232039132	1.79158757141661	0.909718754280245	0.977577263236713	0.708841337919958	0.911207160600811	0.907178676132697	0.696581945717148	1.39498020944953	1.13638451708107	0.70597268531625	1.09935364680984
Galactose metabolism	0.890508569130036	1.57744497782623	0.862980615252483	0.959552990585037	0.637777052303487	NA	0.878668403993986	0.740288213399204	1.35229446188875	1.1572045885227	0.753492130341776	1.19559046318513
Ascorbate and aldarate metabolism	0.703163799994814	2.08502319766101	0.86447104549869	0.875802001114304	0.617064714712718	0.731959977266061	0.667718265079679	0.644772575207472	1.36855628324908	1.12162012357131	0.656923245011604	1.66292477163326
Starch and sucrose metabolism	0.900835080886999	1.26458256840125	0.906812760443478	1.02430364926241	0.800819223876182	NA	0.890793590414367	0.88188358995507	1.03372843978093	1.24044790575843	0.785120127519096	1.28688180634095
Amino sugar and nucleotide sugar metabolism	0.803610790429779	1.73289558425972	0.916338965643647	NA	0.674325838929025	0.890124057272459	0.840214568605517	0.724932667795091	1.35320761040069	1.09205721084265	0.750684432370927	1.23352497791149
Pyruvate metabolism	0.783074496180543	1.91056332408119	0.850007098833474	NA	0.661943744993925	0.958695758487737	0.745411110820865	0.687651259230241	1.65887516365508	NA	0.707504341291157	NA
Glyoxylate and dicarboxylate metabolism	0.758355995238148	2.2317394331081	0.80000404630034	0.975139082758968	0.631248942583801	0.890356532263436	0.682996064487104	0.620103711537686	1.83164746524189	NA	0.630845828415012	0.939953110003876
Propanoate metabolism	0.891640057773382	1.74409580150588	0.914752457100357	1.14219866361621	0.665867647507685	NA	0.715909736430549	0.68541311774443	1.35607142152074	1.18006155233773	0.681213778828418	NA
Butanoate metabolism	0.727838687121989	2.40785254219252	0.7564339367986	NA	0.701788377061212	0.823173874315501	0.594075119787372	0.661536557325767	1.66345480994055	1.16781838307087	0.57336135046425	0.909273123345366
Inositol phosphate metabolism	NA	1.18166903796263	0.946608292453523	1.14424341370077	0.681457123214419	1.03657487572187	0.785078282006599	0.750548721524972	1.21628334198501	1.20203673291174	0.713679794779779	1.35286979774546
Oxidative phosphorylation	0.895848994105556	1.85152574442705	0.836026587326273	1.1982244056236	0.662644018240182	1.03634792462916	0.656317626215003	0.655033747845232	1.66523916656385	1.11589463699641	0.638153063887976	0.788744084139713
Nitrogen metabolism	1.28070716339796	NA	NA	0.739907356477678	NA	NA	0.905899764971134	1.31613204951324	0.894024073680635	0.887017397120969	1.08425487186992	NA
Sulfur metabolism	NA	1.59709300276734	0.802276790937178	1.27269529550929	0.536124706858518	1.14133094457233	0.741799996545979	0.61019652429381	1.37041401625891	1.17619550348293	0.653338322423235	1.08242439659508
Fatty acid biosynthesis	0.800760202633308	1.76141206196502	NA	0.977889771486774	0.751847992885944	0.847760400184435	0.874581940445876	0.719597746392976	1.23619648313595	1.06445912081279	0.84601812622517	1.08167354483223
Fatty acid elongation	0.874269889093146	1.82083267841991	0.932117645005568	1.06099706549505	0.600267264814515	0.89672295160398	0.769293490507811	0.631772042988709	1.58386694529154	0.958789721485333	0.659257028225708	1.21181327706873
Fatty acid degradation	0.913130164731226	1.7004651839024	0.86934564174403	1.11286439391092	0.61413715775971	0.946338572457785	0.723765019726293	0.673279703000575	1.46465340783088	1.11683219117951	0.706482694127361	1.15870586962931
