Tem/Trm cytotoxic T cells.1	Cycling T cells	Trm cytotoxic T cells	Tem/Trm cytotoxic T cells	Tcm/Naive helper T cells	Regulatory T cells.1	Type 1 helper T cells.1	Follicular helper T cells	Plasmablasts	Regulatory T cells	Type 1 helper T cells	gamma-delta T cells
Glycolysis / Gluconeogenesis	0	0	0	0	0	0	0	0	0	0	0	0.0064
Citrate cycle (TCA cycle)	0	0	0	0	0	0.3244	0	0	0	0	0	0.0802
Pentose phosphate pathway	0	0	0	0.003	0	0	0	0	0	0	0	0
Pentose and glucuronate interconversions	0	0	0	0	0	0	0	0	0	0	0	0.0064
Fructose and mannose metabolism	0	0	0	0.001	0	0	0	0	0	0	0	0
Galactose metabolism	0	0	0	0	0	0.3868	0	0	0	0	0	0
Ascorbate and aldarate metabolism	0	0	0	0	0	0	0	0	0	0	0	0
Starch and sucrose metabolism	0	0	0	0.3082	0	0.494	0	0	0.0022	0	0	0
Amino sugar and nucleotide sugar metabolism	0	0	0.1856	0.0724	0	0	0	0	0	0	0	0
Pyruvate metabolism	0	0	0	0.2784	0	0.0206	0	0	0	0.0034	0	0.3696
Glyoxylate and dicarboxylate metabolism	0	0	0	0.0024	0	0	0	0	0	0.2434	0	0.0262
Propanoate metabolism	0	0	0	0	0	0.3388	0	0	0	0	0	0.2508
Butanoate metabolism	0	0	0	0.2028	0	0	0	0	0	0	0	2e-04
Inositol phosphate metabolism	0.1364	0	0	0	0	0	0	0	0	0	0	0
Oxidative phosphorylation	0	0	0	0	0	4e-04	0	0	0	0	0	0
Nitrogen metabolism	0	0.0204	0.003	0	0.4986	0.145	4e-04	0	0	0	0	0.3318
Sulfur metabolism	0.0338	0	0	0	0	4e-04	0	0	0	0	0	0
Fatty acid biosynthesis	0	0	0.0206	0	0	0	0	0	0	0	0	0
Fatty acid elongation	0	0	0	0	0	0	0	0	0	0.0842	0	0.002
Fatty acid degradation	0	0	0	0	0	0.001	0	0	0	0	0	0
