Regulatory T cells.1	Trm cytotoxic T cells.2	Trm cytotoxic T cells.1	Regulatory T cells.4	Trm cytotoxic T cells	Regulatory T cells.3	Tem/Trm cytotoxic T cells	gamma-delta T cells	Regulatory T cells	Regulatory T cells.2
Glycolysis / Gluconeogenesis	0	0	0	0	0	0	0	0.0324	0.3568	8e-04
Citrate cycle (TCA cycle)	0.0126	0	0.0016	0	0	0	0.0384	0.3006	0.0024	4e-04
Pentose phosphate pathway	0.1448	0	0	0	0	0	0	0.0016	4e-04	0
Pentose and glucuronate interconversions	0	0	0	0	0	0	0	0.0014	0	0.0066
Fructose and mannose metabolism	0	0	0	0	0	0	0	0	0.1002	0
Galactose metabolism	0	0	0	0.3658	0	0	0.065	0	0	0
Ascorbate and aldarate metabolism	0.4626	0	0	0	0	0	0.1416	0.1782	0	0
Starch and sucrose metabolism	0	0	0.0606	0	0	0	0.3962	0.1424	0.0696	0
Amino sugar and nucleotide sugar metabolism	0	0	0	0	0	0	0.0164	0	0.0064	0
Pyruvate metabolism	0.003	0	0	0	0	0	0	0.001	0.0326	0.0298
Glyoxylate and dicarboxylate metabolism	0.007	0	0	0	0	0	0	0	0.4898	0.0096
Propanoate metabolism	0.0166	0	0	0	0	0	0.0198	0.0148	0.0026	0
Butanoate metabolism	0	0	0	0	0	0	0	0	0	0.0456
Inositol phosphate metabolism	0	0	0	0.0038	0	0	0.0164	0	0.2962	0
Oxidative phosphorylation	2e-04	0	0	0	0	0	0.4566	0.014	0.2808	6e-04
Nitrogen metabolism	0	0	0	0	0	0.065	0	0.002	0.0166	0.3784
Sulfur metabolism	0.0082	0	0	0	0	0	0	0.2962	0	0
Fatty acid biosynthesis	0.4042	0	0	0	0	0	0.024	0.4844	0	2e-04
Fatty acid elongation	0.1854	0	0	0	0	0	0	0.1394	0	0.002
Fatty acid degradation	0	0	0	0	0	0	0.0854	0.002	0	0
