pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Oxidative phosphorylation	4.84854366600818e-14	4.07277667944687e-12	0.965327754226083	0.768138672724883	1.54118752454044	114	ND1,UQCRB,ND4,COX3,ND5,CYTB,ND2,ND3,ND4L,ATP8,NDUFS5,ND6,NDUFB2,COX6C,ATP6,ATP6V0C,NDUFC2,NDUFA6,COX1,UQCRFS1,NDUFB4,UQCRHL,COX5A,COX7B,NDUFB1,NDUFA13,NDUFB11,COX8A,NDUFB3,COX7A2,TCIRG1,NDUFB7,UQCR10,ATP6V0E2,COX6A1,NDUFV2,NDUFA12,NDUFA4,NDUFA11,PPA1,COX6B1,UQCR11,ATP6V0B,UQCRH,NDUFS8,NDUFB9,NDUFA3,NDUFA1,NDUFAB1,ATP6V0E1,COX4I1,COX7C,NDUFB5,UQCRQ,NDUFB10,SDHD,NDUFB6,NDUFS6,COX5B,COX17,NDUFB8,NDUFS3,ATP6V1G1,NDUFS2,SDHC,ATP6V1F,NDUFC1,NDUFS7,NDUFA7,NDUFA9,CYC1,ATP6V0D1
Nitrogen metabolism	0.00209041115341923	0.0877972684436076	0.431707695803346	0.806972756601899	1.46909965931123	15	GLUL,GLUD1,CA5B,CA2
Arginine biosynthesis	0.0114335415885304	0.320139164478852	0.380730400722792	0.726021842572836	1.3419935892274	21	GLUL,GLUD1,GLS
D-Glutamine and D-glutamate metabolism	0.0202765152392445	0.377622377622378	0.352487857583619	0.908016963993666	1.49328972653804	4	GLUD1,GLS
Drug metabolism - other enzymes	0.026284274287573	0.377622377622378	0.352487857583619	0.618847616795491	1.20705667737033	56	CMPK1,NME2,GSTP1,GSTM1,TYMP,DPYD,UPP1,IMPDH2,GSTO1,NME3,DUT,HPRT1,IMPDH1,NME4,MGST3,ITPA,UCKL1
Glycolysis / Gluconeogenesis	0.026973026973027	0.377622377622378	0.276500599254472	0.608226122022747	1.1886496777797	58	PKM,LDHA,PGK1,TPI1,LDHB,ENO1,PGAM1,GAPDH,GALM,ALDOA,ENO2,PFKP,ALDH9A1,GPI,AKR1A1,PFKL,ADH5
Primary bile acid biosynthesis	0.031968031968032	0.383616383616384	0.252961123069611	0.745009513396479	1.33954306086399	13	CH25H,SCP2,ACOT8,HSD17B4
Drug metabolism - cytochrome P450	0.04995004995005	0.503496503496504	0.199915231309662	0.617021584846548	1.18799464382596	41	GSTP1,GSTM1,GSTO1,GSTK1,MGST3,ADH5
Metabolism of xenobiotics by cytochrome P450	0.0539460539460539	0.503496503496504	0.191892240384838	0.607218258650334	1.17423397947016	46	GSTP1,GSTM1,AKR7A2,GSTO1,GSTK1,MGST3,ADH5
Glutathione metabolism	0.0909090909090909	0.763636363636364	0.144630528034484	0.591203037111447	1.14714418223557	50	ODC1,GSTP1,GSTM1,SRM,GPX4,GPX1,IDH2,GCLM,GSTO1,TXNDC12,GSTK1,SMS,MGST3
Fatty acid elongation	0.112887112887113	0.811188811188811	0.128142916898415	0.631096892494083	1.18012752640079	25	ELOVL5,THEM4,ACAA2,HADHA,PPT1,TECR,ACOT7,ELOVL1,ELOVL6,ECHS1,HSD17B12,ABHD17A,HADH,HADHB
Arginine and proline metabolism	0.115884115884116	0.811188811188811	0.126253987849115	0.594426427998417	1.14449061419195	41	SAT1,ODC1,AMD1,SRM,OAT,PYCR2,SMS,ALDH9A1,LAP3,SAT2,CNDP2,GOT2,P4HA1
Steroid biosynthesis	0.144855144855145	0.887112887112887	0.11101149245045	0.644794151299414	1.18690284688479	19	FDFT1,SC5D,MSMO1,SQLE,EBP,SOAT1,CYP2R1,DHCR7,CYP51A1
