pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Oxidative phosphorylation	6.73758139629218e-16	5.65956837288543e-14	1.02766987054358	0.783982119019885	1.6140413578798	113	ND5,ND6,CYTB,ND4,ND1,COX3,ND2,ND4L,ATP8,UQCRB,ATP6,ND3,COX8A,COX6B1,NDUFA4,NDUFB2,UQCR11,COX6C,COX1,NDUFA13,COX5A,COX5B,UQCR10,COX6A1,COX7A2,UQCRH,NDUFA3,NDUFS8,ATP6V0E1,COX4I1,NDUFB8,NDUFA1,NDUFB7,NDUFB3,COX2,NDUFC2,NDUFA11,NDUFA2,NDUFB9,NDUFB4,COX7B,UQCRQ,NDUFS7,SDHC,NDUFS5,ATP6V1F,COX7C,PPA1,NDUFS6,NDUFA7,NDUFA12,NDUFB11,TCIRG1,UQCRFS1,NDUFAB1,NDUFB10,NDUFV2,UQCRHL,ATP6V0C,COX7A2L,NDUFC1,COX17,NDUFA6,ATP6V1G1,NDUFA9,NDUFB1,NDUFS3,ATP6V0E2,NDUFV1,UQCRC2,SDHD,COX11,NDUFS2,UQCRC1,CYC1,ATP6AP1,SDHA,ATP6V0D1,SDHB
Nitrogen metabolism	0.000243797767997561	0.0102395062558976	0.518848077743792	0.866569065619806	1.61787518668661	14	GLUD1,GLUL,CA5B
Glycolysis / Gluconeogenesis	0.00242338890629385	0.0678548893762277	0.431707695803346	0.659651341359276	1.32778251508396	54	LDHA,TPI1,ENO1,PKM,ALDOA,PGK1,PGAM1,GAPDH,GPI,LDHB,ENO2,AKR1A1,PDHB,BPGM,ADH5,PFKP,DLD,PDHA1,ADPGK,HK1,ACSS1,PFKL,PGM1,ALDH9A1,GALM
Linoleic acid metabolism	0.038961038961039	0.660839160839161	0.227987202850442	0.723060117326631	1.3526018309535	15	PLA2G16,PLA2G12A,PLA2G6
D-Glutamine and D-glutamate metabolism	0.0549450549450549	0.660839160839161	0.190023305279108	0.85097140912568	1.46268371969734	4	GLUD1,GLS
Arachidonic acid metabolism	0.0569430569430569	0.660839160839161	0.186432558434075	0.604906537051528	1.20457344112925	44	PTGDS,PTGES3,PLA2G16,PTGES2,GPX1
Drug metabolism - cytochrome P450	0.0619380619380619	0.660839160839161	0.178219874951973	0.629751334865801	1.22501402881108	29	GSTM1,GSTP1,GSTK1,ADH5,GSTO1,MGST3,GSTM4
Pyruvate metabolism	0.0629370629370629	0.660839160839161	0.176694268938498	0.615384969149427	1.21167981460577	35	LDHA,PKM,MDH2,LDHB,MDH1,PDHB,GRHPR,HAGH,DLD,PDHA1,ME2,ACAT1,ACSS1,ACAT2,GLO1,ALDH9A1,ACYP1
Metabolism of xenobiotics by cytochrome P450	0.0859140859140859	0.801864801864802	0.149207542435322	0.601478416924509	1.1872472777874	37	GSTM1,GSTP1,GSTK1,AKR7A2,ADH5,GSTO1,MGST3,GSTM4
Glutathione metabolism	0.108891108891109	0.914685314685315	0.130777137971974	0.579229428965961	1.15671590455086	46	ODC1,GSTM1,GSTP1,GCLM,IDH2,GSTK1,SRM,GPX1,GSTO1,GPX4,MGST3,LAP3,G6PD,SMS,TXNDC12,GSTM4,GGCT
