pathway	pval	padj	log2err	ES	NES	size	leadingEdge	seurat_clusters
Oxidative phosphorylation	21.173097137877	1.20830164635267e-20	1.21254456769062	0.727332756357795	2.34690108644568	106	ATP6V0E1,UQCR10,NDUFB9,NDUFB2,NDUFB11,ATP6V0C,NDUFA1,ATP5F1D,COX6C,COX7A2,ATP5MG,NDUFA4,COX7C,NDUFS5,NDUFA3,ATP5PD,COX8A,UQCRH,ATP5ME,COX5A,ATP6V1F,UQCR11,COX4I1,ATP5F1B,UQCRFS1,NDUFB4,COX6A1,ATP5PB,UQCRQ,ATP5F1E,NDUFA6,ATP5MC3,SDHD,ATP5F1C,COX7A2L,NDUFB3,ATP6V0B,COX6B1,COX7B,NDUFA13,ATP5MC2,UQCRB,ATP6V0E2,ATP5MF,NDUFB10,ATP5F1A,ATP5PF,COX5B,NDUFA2,UQCRC2,NDUFS7,ATP6V1G1,NDUFV1,NDUFC1,NDUFV2,NDUFB7,NDUFA12,SDHC,COX17,NDUFS8,NDUFS6,SDHA,UQCRC1,NDUFB1,PPA1,NDUFB5,CYC1,NDUFAB1,NDUFA5,NDUFB6,ATP6AP1,SDHB,NDUFC2,NDUFS3,TCIRG1,ATP6V0D1,NDUFA11,NDUFA10,NDUFS2	c8
Fatty acid biosynthesis	0.460879448720767	0.98496993987976	0.203508959461977	-0.323834196891192	-1.0829246984716	10	ACACB,ACACA,FASN,OXSM,ACSL1,MCAT,ACSL4,ACSL6,ACSL3,ACSL5	c8
Citrate cycle (TCA cycle)	0.316114262049867	0.98496993987976	0.0474483193656297	0.352887956095413	1.00402835421914	26	MDH2,SDHD,IDH2,MDH1,SDHC,SDHA,IDH3G,SDHB,SUCLG2,SUCLG1,ACO2,PDHB,IDH3B,CS,OGDH,DLST,PDHA1	c8
Fatty acid elongation	0.0797048078734252	0.98496993987976	0.0207818350435559	0.276834882431674	0.78764397196704	26	HADHA,TECR,ELOVL5,ABHD17A,HACD4,ELOVL1,ACAA2,ECHS1,HADHB,HACD3,PPT1,ACOT7,THEM4,HADH	c8
Citrate cycle (TCA cycle)	3.43073282292296	0.00430742907573738	0.49849310876659	0.523043111119507	1.94398911398225	28	DLD,IDH3B,CS,IDH3G,SUCLG2,SDHD,DLST,PDHA1,MDH1,ACLY,OGDH,SDHA,FH,ACO2,SUCLG1,PDHB,SDHB,IDH3A,SUCLA2,SDHC,IDH2	c11
Oxidative phosphorylation	3.34350547001486	0.00430742907573738	0.49849310876659	0.385882114269269	1.69177487611263	107	TCIRG1,NDUFB1,ATP6V0E2,UQCRC2,ATP5ME,NDUFB5,ATP6V0D1,NDUFA9,NDUFC2,COX17,NDUFA5,NDUFS2,SDHD,NDUFV1,NDUFS3,NDUFA7,NDUFA13,NDUFB6,NDUFA3,CYC1,NDUFS4,ATP5MC1,ATP6V1E1,NDUFA6,NDUFC1,ATP6V0A2,ATP6V1C1,COX7A2L,ATP6AP1,UQCRC1,ATP6V1D,SDHA,NDUFS6,NDUFA8,SDHB,ATP5PD,NDUFB8,ATP6V0E1,NDUFA10,NDUFS1,SDHC,NDUFS8,NDUFA11,ATP6V1B2,ATP6V1H,NDUFB3,ATP6V0B,PPA2,NDUFV2,NDUFA2,ATP5F1A,NDUFS7,ATP6V1G1,NDUFB7,PPA1,NDUFA12,UQCRQ,ATP6V1A,NDUFB2,NDUFB9,COX10,NDUFB4,ATP6V0C,ATP6V1F,NDUFB10,NDUFA4,UQCRFS1,NDUFB11,COX11,ATP5PB,ATP5PO,UQCR11,NDUFS5,NDUFV3,UQCR10,NDUFAB1,NDUFA1,COX5B,ATP5F1C,ATP5PF,ATP5F1B,ATP5F1D,LHPP	c11
Fatty acid elongation	1.50339525075336	0.149038461538462	0.257206466468838	0.405766628283236	1.49284097111094	27	PPT1,ACOT7,HADHB,ACAA2,HACD4,ELOVL5,TECR,HADHA,HADH,ABHD17A,ECHS1	c11
Fatty acid biosynthesis	0.0457574905606751	0.9	0.14551614609036	-0.201669771770986	-0.723400090489342	11	ACSBG1,ACACB,ACSL6,ACSL1,OXSM,ACACA,MCAT,ACSL3,FASN,ACSL4	c11
Oxidative phosphorylation	19.4028368281044	6.72375829811217e-19	1.16017957183021	0.669717087584037	2.61412678420314	105	UQCRB,NDUFA1,COX6C,COX7B,ATP5F1B,ATP5ME,COX7A2L,NDUFS5,NDUFB2,NDUFB11,ATP5MC3,NDUFB4,ATP6V0B,ATP5MF,ATP6V0C,UQCR11,ATP5F1A,NDUFA3,COX8A,UQCRH,COX5B,UQCR10,ATP6V0E1,ATP6V1F,ATP5F1D,COX7C,UQCRQ,PPA1,COX7A2,COX6A1,COX6B1,COX17,NDUFA6,ATP5F1C,UQCRC2,NDUFB10,UQCRFS1,ATP5PD,NDUFA4,NDUFS7,COX5A,ATP6V1G1,NDUFB7,ATP5MC2,NDUFA13,NDUFV2,SDHA,TCIRG1,ATP5PF,NDUFS8,NDUFA10,NDUFB9,SDHC,NDUFB6,ATP5MG,COX4I1,SDHD,NDUFB1,NDUFA12,NDUFV1,ATP5PB,NDUFAB1,NDUFB3,UQCRC1,NDUFS6,NDUFA2,CYC1,ATP5MC1,NDUFC1,NDUFA11,NDUFS2,NDUFA5,ATP6AP1,ATP6V0E2,NDUFB5,NDUFS3,ATP5F1E,SDHB,ATP6V1E1,ATP6V0A2,ATP6V1D	c6
Fatty acid biosynthesis	1.24579152510816	0.482644543427129	0.321775918075361	-0.397297297297297	-1.57998310416134	11	ACSBG2,ACACA,ACACB,ACSL1,MCAT,FASN,OXSM,ACSL3,ACSL4,ACSL6,ACSL5	c6
