pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Inositol phosphate metabolism	0.000473103906860286	0.00898897423034543	0.49849310876659	0.409020830374992	1.85641871577367	66	INPP5F,PI4K2A,ALDH6A1,PIK3CA,MTMR4,PIKFYVE,PLCD1,PLCG1,INPP5B,PIK3CG,ISYNA1,SYNJ2,PTEN,PIP4K2B,PLCB2,ITPKB,TPI1,SYNJ1,PIK3C2B,MTM1,MTMR1,IMPAD1,PI4K2B,MTMR3,INPP5E,ITPK1,PLCG2,PIP4K2A,PIP5K1C,INPP4B,PI4KB,IPPK,IPMK,PIK3CD,SACM1L,PIK3C2A,PIK3C3,PLCD3,INPP4A,IMPA1,CDIPT,PIP4K2C,INPP1,INPP5D	Inositol-phosphate-metabolism
Ascorbate and aldarate metabolism	0.0403645833333333	0.330655957161981	0.257206466468838	0.633810272039058	1.59285383113143	6	UGDH,ALDH1B1,ALDH3A2	Ascorbate-and-aldarate-metabolism
Amino sugar and nucleotide sugar metabolism	0.0522088353413655	0.330655957161981	0.195789002148949	0.326584630365315	1.40329187022386	46	UGDH,GNE,UAP1L1,NANP,GNPDA1,PMM2,UGP2,AMDHD2,PMM1,MPI,GNPNAT1,UXS1,CYB5RL,NPL,RENBP,NANS,FPGT,UAP1,PGM1,GPI,FUK,PGM3,HEXB,GNPDA2,HK2,GMPPB,GALK1,HK1	Amino-sugar-and-nucleotide-sugar-metabolism
Butanoate metabolism	0.180570221752904	0.569912321181357	0.100633389423036	0.351310460559569	1.27684662461485	19	BDH1,AACS,L2HGDH,BDH2,ALDH5A1,EHHADH,ABAT,ACAT1,HADHA,HADH,HMGCL,OXCT1,ECHS1,HMGCS1,ACADS,ACAT2,OXCT2	Butanoate-metabolism
Glycolysis / Gluconeogenesis	0.181268882175227	0.569912321181357	0.09754492162472	0.28992565712141	1.24071702499686	45	ENO3,PGK1,ALDH1B1,LDHA,ALDH3A2,PKM,BPGM,TPI1,GAPDH,ENO1,LDHB,ALDOC,ENO2,DLAT,ACSS1,PGM1,GPI,G6PC3,ALDH9A1,HK2,ADH5,HK1,ALDOA,PFKL,ADPGK	Glycolysis-Gluconeogenesis
Citrate cycle (TCA cycle)	0.186091944653487	0.569912321181357	0.249246554383295	-0.220118145885561	-1.25516755327747	28	PC,SDHB,OGDHL,SUCLG1,ACLY,DLD,ACO2,PCK2,SUCLA2,MDH2,SDHC,SDHD,PDHA1,IDH3G,FH,DLST,ACO1,MDH1,SDHA	Citrate-cycle-TCA-cycle-
Propanoate metabolism	0.218274111675127	0.569912321181357	0.0873098257637931	0.310260949421561	1.22022884713735	29	ALDH6A1,LDHA,ACACA,DBT,PCCA,MLYCD,EHHADH,SUCLG2,LDHB,MUT,ABAT,ACAT1,ACSS1	Propanoate-metabolism
Pentose and glucuronate interconversions	0.270975056689342	0.569912321181357	0.0815265143256594	0.368086898812949	1.16568838078015	12	UGDH,SORD,UGP2,RPE,CRYL1,DCXR	Pentose-and-glucuronate-interconversions
Sulfur metabolism	0.32061978545888	0.569912321181357	0.0753093764172773	0.385929500857748	1.11808789136458	9	TST,IMPAD1,MPST,PAPSS1,BPNT1,SQOR	Sulfur-metabolism
Starch and sucrose metabolism	0.322916666666667	0.569912321181357	0.0681513438679483	0.301047372408598	1.12768690217513	22	PGM2L1,GBE1,UGP2,GYG1,GAA,GANC,PGM1,GPI,G6PC3,HK2,HK1	Starch-and-sucrose-metabolism
