pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Inositol phosphate metabolism	0.00122537237958235	0.0232820752120646	0.45505986738723	0.411210818975049	1.69009231308675	67	PIK3CB,ISYNA1,PIK3C2B,PLCD1,ALDH6A1,MTMR8,SYNJ2,PIK3CG,INPP5B,MTMR4,MTMR1,INPP4B,PI4K2A,PIP4K2A,PLCB2,INPPL1,PIK3CA,IMPAD1,INPP5A,MTM1,ITPK1,PLCG1,PTEN,PIK3CD,IPMK,INPP4A,PIP5K1C,INPP5E,CDIPT,PIP4K2B,PI4KA,PI4K2B,SYNJ1,PIK3C3,PIKFYVE,MTMR2,IPPK,SACM1L,MINPP1,INPP5F,MTMR3,PI4KB,ITPKB,PIK3C2A,INPP5D,IMPA1,PIP5K1A,PIP4K2C	Inositol-phosphate-metabolism
Ascorbate and aldarate metabolism	0.00546112633456387	0.0420489113196571	0.407017918923954	0.740929962441522	1.79086630896928	6	ALDH7A1,ALDH3A2,ALDH1B1,UGDH	Ascorbate-and-aldarate-metabolism
Fructose and mannose metabolism	0.00663930178731427	0.0420489113196571	0.407017918923954	0.477945909517349	1.74653031872546	29	PFKM,HKDC1,PFKFB2,FBP1,PFKFB3,FUK,SORD,KHK,FPGT,ALDOC,HK2	Fructose-and-mannose-metabolism
Starch and sucrose metabolism	0.0145938790686535	0.0580040734989676	0.380730400722792	0.513668674253471	1.73193607022488	20	PYGM,HKDC1,PGM2L1,AMY2B,HK2,GAA,GYG1,GBE1,GANC,PGM2,UGP2,GYS1	Starch-and-sucrose-metabolism
Nitrogen metabolism	0.0152642298681494	0.0580040734989676	0.380730400722792	0.664737831710095	1.67816593804426	7	GLUL,CA6,GLUD1	Nitrogen-metabolism
Galactose metabolism	0.0422832980972516	0.133897110641297	0.224966093540314	0.448435755996961	1.52709371169993	21	PFKM,HKDC1,GALM,GLA,HK2,GAA,GALE,GANC,B4GALT1,PGM2,UGP2,PFKL,GALT,GALK1,G6PC3,HK1,GLB1,PFKP,PGM1	Galactose-metabolism
Glycolysis / Gluconeogenesis	0.0522088353413655	0.141709695926563	0.195789002148949	0.368022807061608	1.42634101752584	43	ALDH7A1,PFKM,HKDC1,FBP1,ACSS2,ALDH3A2,GALM,ALDOC,HK2,ALDH1B1,LDHA,LDHB,ALDOA,ENO2,GAPDH,PCK2,PGM2,ADPGK,DLAT,ENO3,BPGM,PGK1,PFKL,ENO1,G6PC3,MINPP1,ALDH9A1,PKM	Glycolysis-Gluconeogenesis
Butanoate metabolism	0.0862619808306709	0.204872204472843	0.154190966581424	0.428375121800852	1.41741984105459	18	ACSM3,AACS,ALDH5A1,HMGCS1,ACAT1,BDH2,L2HGDH,HADHA,BDH1	Butanoate-metabolism
Propanoate metabolism	0.110091743119266	0.232415902140673	0.131457611642763	0.365385932598249	1.33520885232193	29	ACACB,ACSS2,ALDH6A1,DBT,MLYCD,BCKDHB,LDHA,ACAT1,LDHB,PCCA,HADHA,ACACA,MCEE,MUT	Propanoate-metabolism
Pyruvate metabolism	0.127161749745677	0.241607324516785	0.120985142145252	0.354305649053181	1.30774507624633	31	ALDH7A1,ACACB,ACSS2,ALDH3A2,ME3,ALDH1B1,LDHA,ACAT1,LDHB,HAGH,PCK2,DLAT,ACACA	Pyruvate-metabolism
