pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Inositol phosphate metabolism	2.08294949174913e-06	3.95760403432335e-05	0.627256739718528	0.494707500902465	2.08064068540653	68	PIK3CB,MTMR8,ALDH6A1,PLCH2,PIK3CA,PLCD1,PLCB3,INPP4B,PIK3C2B,INPP5B,PLCG1,MTMR4,INPPL1,SYNJ2,SYNJ1,PIK3CG,ISYNA1,PIP4K2B,PI4K2A,PIK3CD,PIKFYVE,MTM1,INPP5E,PLCB2,IMPAD1,MTMR1,PLCB1,PI4KA,MINPP1,PIP5K1A,INPP5D,ITPK1,IPMK,PI4KB,PIP4K2C,IMPA1,PI4K2B,IPPK,PIK3C3,PIK3C2A,SACM1L,INPP4A,MTMR3,MTMR6,PIP5K1C,CDIPT,ITPKB	Inositol-phosphate-metabolism
Fatty acid biosynthesis	0.00296036892898287	0.0281235048253373	0.431707695803346	0.611245692820792	1.83378311084455	12	ACSL6,ACACB,OLAH,FASN,ACSL1,OXSM,ACACA,MCAT,ACSL3	Fatty-acid-biosynthesis
Starch and sucrose metabolism	0.03125	0.197916666666667	0.261663521711573	0.464916494584689	1.5784090730462	21	PGM2L1,GBE1,GANC,PYGM,HK2,GYG1,GAA,HKDC1,G6PC3,GYS1,AGL,PGM1,UGP2,PGM2	Starch-and-sucrose-metabolism
Nitrogen metabolism	0.057919621749409	0.275118203309693	0.20207170902116	0.593473273213106	1.50484870237619	7	GLUL,GLUD1,CA5B,CA2	Nitrogen-metabolism
Glycolysis / Gluconeogenesis	0.0844221105527638	0.320804020100502	0.151148761385484	0.351753426055462	1.38431201121777	44	ACSS2,PFKM,ALDOC,LDHA,ENO2,HK2,LDHB,ALDOA,GAPDH,DLAT,PGK1,HKDC1,BPGM,ENO3,PCK2,G6PC3,MINPP1,PGM1,ALDH9A1,ACSS1,PKM,ALDH1B1,PGM2,ENO1,ADPGK	Glycolysis-Gluconeogenesis
Fructose and mannose metabolism	0.12796697626419	0.353305785123967	0.121543282035469	0.366152990251778	1.32870618352869	29	PFKFB2,PFKM,PFKFB3,KHK,ALDOC,FUK,HK2,ALDOA,ENOSF1,HKDC1,MPI,SORD,PMM2,TKFC	Fructose-and-mannose-metabolism
Propanoate metabolism	0.130165289256198	0.353305785123967	0.120433371642259	0.367335837397628	1.31920314076709	28	ACSS2,ALDH6A1,ACACB,DBT,BCKDHB,LDHA,PCCA,LDHB,MLYCD,ACACA,HADHA,MUT,SUCLG2,ACSS1,MCEE,HIBCH,PCCB,SUCLA2,ECHDC1	Propanoate-metabolism
Amino sugar and nucleotide sugar metabolism	0.179718875502008	0.422660212079299	0.0978773277424561	0.312072975950013	1.23339795559821	45	GFPT2,GNE,UGDH,FUK,GALE,HK2,HKDC1,MPI,GNPNAT1,PGM3,PMM2,GNPDA2,AMDHD2,GFPT1,PGM1,UXS1,RENBP,FPGT,NANS,UGP2,PGM2,UAP1L1,GALT,GMPPA,GPI,HEXA,HEXB,NAGK,UAP1,CYB5R3,PMM1,GMDS	Amino-sugar-and-nucleotide-sugar-metabolism
Galactose metabolism	0.200207468879668	0.422660212079299	0.0934449219410994	0.362210210795151	1.2412059114922	22	GLA,PFKM,GANC,GALE,HK2,GAA,HKDC1,G6PC3,PGM1,UGP2,B4GALT1,PGM2,GALT	Galactose-metabolism
Pentose and glucuronate interconversions	0.284916201117318	0.541340782122905	0.0780892306943345	0.395644077627372	1.15634354255852	11	UGDH,DCXR,SORD,CRYL1,UGP2,RPE	Pentose-and-glucuronate-interconversions
Pentose phosphate pathway	0.370103092783505	0.639268978444236	0.0610363728309177	0.308108091142361	1.07436710485652	24	RBKS,PFKM,ALDOC,H6PD,ALDOA,PGM1,IDNK,RPE,GLYCTK,PGM2,GPI,FBP1,DERA,PFKL,TKTL1,PRPS2,G6PD,PGLS,RPIA,PRPS1,PGD	Pentose-phosphate-pathway
Butanoate metabolism	0.404388714733542	0.640282131661442	0.0574877409561325	0.311872436396055	1.04759931689318	20	ACSM3,AACS,BDH1,HMGCS1,BDH2	Butanoate-metabolism
Ascorbate and aldarate metabolism	0.444444444444444	0.649572649572649	0.0588438169595807	0.396539852181895	1.00549175326063	7	UGDH,ALDH9A1,ALDH1B1,ALDH3A2	Ascorbate-and-aldarate-metabolism
Glyoxylate and dicarboxylate metabolism	0.674273858921162	0.850562947799386	0.0335297167141207	0.250451950273274	0.858237653051003	22	GLUL,ACO1,HYI,SHMT1,PCCA,GCSH,MUT,MCEE,GLYCTK,PCCB,CAT,SHMT2,ACAT1,CS	Glyoxylate-and-dicarboxylate-metabolism
Fatty acid elongation	0.695247933884298	0.850562947799386	0.0318534652552707	0.240758939459495	0.84684582390249	25	ELOVL6,ELOVL4,MECR,THEM4,ACOT7,TECR,HSD17B12,ABHD17B,HADHA,HACD3,PPT1,HACD2,ELOVL5	Fatty-acid-elongation
Sulfur metabolism	0.794694348327566	0.850562947799386	0.0307037368093842	0.277918125395052	0.739008546135085	8	IMPAD1,BPNT1,MPST,ETHE1,PAPSS1,SQOR	Sulfur-metabolism
Citrate cycle (TCA cycle)	0.814974809997382	0.850562947799386	0.143902565267782	-0.143908932372062	-0.804295347565701	26	SDHB,SUCLG1,DLD,IDH3B,PDHA1,MDH1,IDH2,SDHC,ACLY,IDH3G,ACO2,MDH2,PDHB,DLST,SDHD,SDHA,FH,CS,SUCLA2,OGDH,IDH3A,SUCLG2,IDH1	Citrate-cycle-TCA-cycle-
Fatty acid degradation	0.83130081300813	0.850562947799386	0.0215798086475871	0.19555012041887	0.737108500893603	35	ACSL6,CPT1A,ACSL1,ACADSB,ECI1,ACOX3,CPT2,ACADVL,ACSL3,HADHA,ALDH9A1,ALDH1B1,ADH5,GCDH,ACOX1,CPT1B,ALDH3A2,ACAT1,HADHB,ACADS,ACSL4,ECI2,ACSL5,ECHS1,ACADM	Fatty-acid-degradation
Pyruvate metabolism	0.850562947799386	0.850562947799386	0.020635764771317	0.196647315828241	0.723784626162782	31	ACSS2,ACACB,LDHA,LDHB,DLAT,PCK2,ACACA,ALDH9A1,ACSS1,PKM,ALDH1B1,HAGH,ACYP2	Pyruvate-metabolism
Oxidative phosphorylation	NA	NA	NA	-0.323803700516518	NA	110	ATP6V0A4,ATP6V1G3,NDUFA4L2,ATP12A,COX6B2,ATP6V1G2,ATP6V1C2,ATP6V0A1,NDUFB3,NDUFA7,COX5A,NDUFS3,SDHB,ATP5MC3,NDUFB6,NDUFA2,NDUFA9,CYC1,UQCRC1,NDUFAB1,NDUFB1,NDUFB5,UQCRQ,ATP5MF,ATP5F1C,ATP5ME,NDUFB10,UQCRFS1,ATP6V0D1,NDUFB4,NDUFA6,NDUFA1,NDUFS8,ATP6V0B,NDUFB7,NDUFS6,NDUFA12,NDUFS4,ATP6V1H,ATP6V1B2,SDHC,COX17,NDUFS7,COX5B,ATP5PF,COX7B,ATP6V1D,NDUFS2,NDUFC2,COX8A,ATP5MC1,NDUFA8,COX6A1,ATP6V1F,COX7A2,NDUFB9,ATP6V1C1,SDHD,NDUFA13,UQCRHL,PPA1,ATP5PD,ATP5F1B,NDUFV2,NDUFC1,ATP5PB,SDHA,UQCR10,NDUFB8,NDUFB11,COX7A2L,NDUFV1,ATP5F1A,ATP6V1E1,NDUFA11,NDUFS1,ATP5MG,ATP5PO,NDUFA5,ATP5F1D,PPA2,ATP6V1A,ATP5F1E,NDUFA3,NDUFA10,NDUFV3,COX11,COX6C,UQCRC2,COX15,UQCRH,NDUFA4,ATP5MC2,COX6B1,ATP6AP1,NDUFB2,UQCR11	Oxidative-phosphorylation
