pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Inositol phosphate metabolism	0.000153809365067219	0.00292237793627717	0.518848077743792	0.431996637822251	1.90307639587092	66	PLCH2,PLCD1,PIK3C2B,INPP4B,PIK3CB,MTMR8,MTMR1,MTMR4,PIK3CA,ISYNA1,PI4K2A,INPP5B,PLCG1,PIP4K2B,ALDH6A1,IMPAD1,PIP5K1C,PLCB1,PLCB3,SYNJ1,PI4KB,PLCB2,PLCG2,INPPL1,MTM1,IPMK,MTMR3,IPPK,INPP1,PIKFYVE,INPP5E,PIP4K2C,PIK3CD,PI4KA,PIK3CG,ITPKB,PIK3C3,PI4K2B,IMPA1,SACM1L,INPP5D,CDIPT,PIK3C2A,INPP5F,PIP5K1A,INPP4A,MTMR2,TPI1,INPP5K	Inositol-phosphate-metabolism
Fatty acid biosynthesis	0.0492554410080183	0.384937893261866	0.216542836735348	0.492669931085073	1.53084791309039	12	ACACB,ACSL6,FASN,OXSM,ACSL1,ACACA	Fatty-acid-biosynthesis
Ascorbate and aldarate metabolism	0.0623376623376623	0.384937893261866	0.204294756516886	0.598912839055011	1.49351633744187	6	ALDH3A2,UGDH,ALDH1B1,ALDH9A1	Ascorbate-and-aldarate-metabolism
Starch and sucrose metabolism	0.103411513859275	0.384937893261866	0.139599673451922	0.389441420025149	1.40641967691017	20	PGM2L1,GBE1,GANC,AMY2B,GAA,UGP2,GYG1,PYGM,AGL,HKDC1,ENPP3,G6PC3,PGM1,GYS1,PGM2,GPI,PYGB	Starch-and-sucrose-metabolism
Nitrogen metabolism	0.109471094710947	0.384937893261866	0.14641623786055	0.480689461821084	1.37220476895588	9	GLUD1,CA5B,CA9,GLUL	Nitrogen-metabolism
Propanoate metabolism	0.12962962962963	0.384937893261866	0.120433371642259	0.339170137660189	1.32786082929287	29	ACACB,DBT,LDHB,MLYCD,ALDH6A1,ACAT1,LDHA,BCKDHB,PCCA,ACACA,ABAT,SUCLG2,MCEE,ACSS1,MUT,HADHA	Propanoate-metabolism
Amino sugar and nucleotide sugar metabolism	0.150505050505051	0.384937893261866	0.109250039480711	0.307532105036594	1.29328318514519	45	GNE,UAP1L1,GALE,FUK,FPGT,NPL,RENBP,GNPNAT1,UGP2,UGDH,UXS1,GNPDA1,MPI,GMPPB,PGM3,PMM2,GFPT1,NANS,GMPPA,HKDC1,UAP1	Amino-sugar-and-nucleotide-sugar-metabolism
Citrate cycle (TCA cycle)	0.162079112952365	0.384937893261866	0.249246554383295	-0.225281884255284	-1.31489039791801	27	PC,SUCLG1,SDHB,DLD,IDH3B,FH,IDH3G,SDHA,MDH1,SDHC,PDHA1,PDHB,MDH2,SUCLA2,IDH2,CS,ACO2,ACLY,PCK2,IDH3A,OGDH,SDHD,DLST	Citrate-cycle-TCA-cycle-
Fructose and mannose metabolism	0.261139896373057	0.497619047619048	0.0787113806986485	0.309846078762417	1.18722495079954	26	KHK,FUK,FPGT,ALDOC,SORD,ALDOA,MPI,GMPPB,PMM2,GMPPA,HKDC1,TKFC,ENOSF1,GMDS,FBP1,PFKFB3,TPI1	Fructose-and-mannose-metabolism
Butanoate metabolism	0.261904761904762	0.497619047619048	0.0808589150280032	0.340128655889521	1.19081357457575	18	AACS,ALDH5A1,BDH1,L2HGDH,BDH2,ACAT1,ABAT,HMGCS1,HMGCL,HADHA,ACSM3	Butanoate-metabolism
Pentose phosphate pathway	0.366876310272537	0.590505464480874	0.062249042949858	0.290887735388976	1.09294204789663	24	RBKS,ALDOC,GLYCTK,ALDOA,H6PD,IDNK,PGLS,RPIA,PGD,RPE,FBP1,PRPS1,PGM1,PGM2,GPI,PFKL,DERA,PRPS2,PFKP	Pentose-phosphate-pathway
Galactose metabolism	0.426041666666667	0.590505464480874	0.0549073703290958	0.274181510886217	1.02347347698901	23	GLA,GALE,GANC,GAA,UGP2,B4GALT1,HKDC1,GALM,G6PC3,GLB1,PGM1,PGM2,GALT,PFKL,GALK1,PFKP	Galactose-metabolism
Pentose and glucuronate interconversions	0.453734671125975	0.590505464480874	0.0551351763385257	0.316441455148872	1.01600810485356	13	SORD,UGP2,UGDH,DCXR,RPE,CRYL1	Pentose-and-glucuronate-interconversions
Glycolysis / Gluconeogenesis	0.466127401415571	0.590505464480874	0.0493910105981501	0.240889803987142	1.01023062907872	44	ALDOC,ALDH3A2,LDHB,PGK1,ALDOA,ALDH1B1,LDHA,BPGM,ENO3,GAPDH,ADPGK,DLAT,ALDH9A1,PKM,ENO2,HKDC1,GALM,ACSS1,FBP1,G6PC3,TPI1,ENO1,PGM1,PGM2,ADH5,MINPP1,PCK2,GPI,PFKL	Glycolysis-Gluconeogenesis
Fatty acid degradation	0.476578411405295	0.590505464480874	0.048701086452153	0.249117198770461	1.0082693799856	35	ACSL6,ACADSB,ALDH3A2,CPT2,ECI1,ACSL1,ACAT1,CPT1A,ALDH1B1,CPT1C,ACOX3,ALDH9A1	Fatty-acid-degradation
Glyoxylate and dicarboxylate metabolism	0.506289308176101	0.590505464480874	0.0472587336673259	0.258710801395033	0.9720448086667	24	ACO1,GCSH,GLYCTK,ACAT1,SHMT1,HYI,PCCA,SHMT2,GLUL,MCEE,MUT	Glyoxylate-and-dicarboxylate-metabolism
Sulfur metabolism	0.546125461254613	0.590505464480874	0.0511147954416412	0.332884102968233	0.950270787863931	9	MPST,IMPAD1,ETHE1,BPNT1	Sulfur-metabolism
Pyruvate metabolism	0.559426229508197	0.590505464480874	0.0416556773979467	0.237876558328062	0.949886179015	33	ACACB,ALDH3A2,LDHB,ACAT1,ALDH1B1,LDHA,ACACA,DLAT,ALDH9A1,PKM,ME3,ACYP2	Pyruvate-metabolism
Fatty acid elongation	0.766220391349125	0.766220391349125	0.0268158762373842	0.198782016190643	0.769682222598056	27	PPT2,ELOVL4,ABHD17B,MECR,THEM4,TECR,PPT1,HSD17B12	Fatty-acid-elongation
