pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Inositol phosphate metabolism	0.000372133308160324	0.00485238404785669	0.49849310876659	0.414387987963628	1.90392735242132	62	PIK3CB,PLCB3,PIK3C2B,PLCH2,MTMR1,PLCD1,MTMR8,INPP1,MTMR4,INPP5B,SYNJ2,INPP4B,INPP5F,PIK3CA,PIK3C2A,IPMK,ALDH6A1,PIP4K2B,PI4KB,IMPA1,IMPAD1,PLCB2,PLCG2,PI4K2A,ISYNA1,PLCG1,PIK3CG,PIP5K1C,MTM1,MTMR3,PIKFYVE,MTMR6,PIK3CD,TPI1,MTMR2,INPP5E,INPP4A,CDIPT,PIP5K1A,SACM1L,PI4KA,INPPL1,SYNJ1,IPPK	Inositol-phosphate-metabolism
Citrate cycle (TCA cycle)	0.000510777268195441	0.00485238404785669	0.477270815362862	-0.376268888608705	-2.2477063049637	26	SUCLG1,FH,SDHB,DLAT,SDHA,OGDH,IDH2,IDH3G,DLD,MDH2,PDHA1,IDH3A,MDH1,SDHC,PCK2,DLST,SUCLA2,ACLY,IDH3B,ACO2,SDHD	Citrate-cycle-TCA-cycle-
Butanoate metabolism	0.0166869410810849	0.105683960180204	0.352487857583619	0.473951799560147	1.65386523276712	17	ALDH5A1,AACS,L2HGDH,BDH1,HMGCS1,ABAT,ACAT1,BDH2	Butanoate-metabolism
Amino sugar and nucleotide sugar metabolism	0.0378323108384458	0.158145065398335	0.234392647294686	0.362091621826235	1.54158998059992	40	UAP1L1,GNE,NPL,GALE,NANS,UXS1,FUK,RENBP,FPGT,GNPDA1,UGDH,UGP2,GNPNAT1,GALT,NANP,AMDHD2,PGM3,HK1,MPI,GFPT1,PMM2,UAP1,GMDS,CYB5R1,CMAS,GALK1,HEXA,GMPPB,GPI,PGM2,NAGK,CYB5R3	Amino-sugar-and-nucleotide-sugar-metabolism
Fatty acid biosynthesis	0.0416171224732461	0.158145065398335	0.241339976815091	0.501963793447214	1.53489885645514	11	ACSL6,ACSL1,ACACB,FASN,ACACA,MCAT,OXSM,ACSL3,ACSL4,ACSL5	Fatty-acid-biosynthesis
Propanoate metabolism	0.133543638275499	0.406318984547461	0.119887845115423	0.343100431674745	1.3441051388514	27	LDHA,DBT,ACACB,ABAT,ALDH6A1,ACAT1,LDHB,ACACA,BCKDHB,SUCLG2,MLYCD,PCCA	Propanoate-metabolism
Ascorbate and aldarate metabolism	0.166446499339498	0.406318984547461	0.120433371642259	0.544574238801476	1.2900414620589	5	ALDH3A2,UGDH,ALDH1B1,ALDH9A1	Ascorbate-and-aldarate-metabolism
Starch and sucrose metabolism	0.171081677704194	0.406318984547461	0.106729884364606	0.372500812718887	1.27694376518097	16	PGM2L1,AGL,GANC,GBE1,GYS1,GAA,GYG1,UGP2,HK1,AMY2B,GPI,PGM2	Starch-and-sucrose-metabolism
Fructose and mannose metabolism	0.240721102863203	0.508188994933428	0.0843144320642653	0.312121257115396	1.20056119497782	25	KHK,SORD,FBP1,FUK,PFKFB3,ALDOC,FPGT,TKFC,ENOSF1,TPI1,HK1,MPI,TIGAR,ALDOA,PMM2,GMDS	Fructose-and-mannose-metabolism
Sulfur metabolism	0.396319018404908	0.684252092876323	0.066132620475844	0.374983372465439	1.05102220611901	8	MPST,ETHE1,IMPAD1,BPNT1	Sulfur-metabolism
