pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Inositol phosphate metabolism	0.000173446213487218	0.00329547805625715	0.518848077743792	0.431898819456934	1.8315759827453	66	PIK3C2B,PLCH2,PIK3CA,PLCB1,INPP4B,ALDH6A1,MTMR8,PLCB3,PLCD1,MTMR4,PLCG1,PI4K2A,PLCG2,INPP5B,MTMR1,PLCB2,ISYNA1,IMPAD1,PIK3CG,PIKFYVE,PIP4K2B,IPMK,ITPKC,PIK3CD,PI4KB,CDIPT,MTM1,PLCE1,PI4KA,TPI1,INPP5E,INPP4A,INPP5D,ITPKB,IPPK,PIP5K1C,PIP5K1A,PIK3C3,MTMR6,SYNJ1,PIP4K2C,IMPA1,MINPP1,PIK3C2A,PIK3CB,PTEN,INPP5K,SYNJ2,INPPL1	Inositol-phosphate-metabolism
Amino sugar and nucleotide sugar metabolism	0.0099788594316208	0.0947991646003976	0.380730400722792	0.400047683282476	1.6144161966442	46	GFPT2,NPL,UAP1L1,RENBP,GALE,PGM3,FPGT,FUK,GNE,UXS1,UAP1,UGDH,GALT,GFPT1,GNPDA1,AMDHD2,HEXB,PMM2,NANS,GMPPA,GMDS,HEXA,GPI,NANP,PGM1,GNPNAT1,GNPDA2,UGP2,PMM1,CMAS,MPI,NAGK,GMPPB,GALK1,CYB5R1	Amino-sugar-and-nucleotide-sugar-metabolism
Citrate cycle (TCA cycle)	0.0441603902556969	0.238294314381271	0.321775918075361	-0.268896431474613	-1.55014261776072	27	PC,SUCLG1,SDHB,FH,DLD,IDH2,SDHA,PDHA1,PCK2,MDH2,SUCLA2,IDH3G,CS,IDH3B,OGDH,SDHC,MDH1,ACO2,PDHB,ACLY,IDH3A,DLST	Citrate-cycle-TCA-cycle-
Fatty acid biosynthesis	0.0501672240802676	0.238294314381271	0.211400189384923	0.50387176812387	1.54862885106514	12	ACACB,ACSL6,FASN,ACSL1,ACACA,OXSM,MCAT	Fatty-acid-biosynthesis
Ascorbate and aldarate metabolism	0.0746835443037975	0.28379746835443	0.183023938384487	0.593836403428144	1.44867287607915	6	ALDH3A2,ALDH1B1,UGDH	Ascorbate-and-aldarate-metabolism
Fatty acid elongation	0.122153209109731	0.354987065248635	0.125033367555272	0.366569654349348	1.33736812089534	26	ELOVL6,PPT2,MECR,ACOT4,THEM4,ABHD17B,HACD3,ACOT7,TECR	Fatty-acid-elongation
Glycolysis / Gluconeogenesis	0.130784708249497	0.354987065248635	0.118287526124085	0.324974860393145	1.29749371628938	43	FBP1,ENO3,ALDH3A2,ALDH1B1,ENO2,GAPDH,LDHA,BPGM,ALDOC,PGK1,LDHB,ALDOA,ADPGK,ENO1,GALM,TPI1,ACSS1,DLAT,PKM,GPI,PGM1,ALDH9A1,MINPP1	Glycolysis-Gluconeogenesis
Fructose and mannose metabolism	0.150924024640657	0.358444558521561	0.110122263835536	0.347913254711227	1.29162205185409	28	FBP1,PFKFB3,SORD,KHK,FPGT,FUK,ALDOC,ALDOA,PMM2,GMPPA,TPI1,TKFC,GMDS,ENOSF1	Fructose-and-mannose-metabolism
Propanoate metabolism	0.235112936344969	0.496349532283824	0.0838361057159929	0.320683080443392	1.19053049215091	28	ACACB,ALDH6A1,DBT,BCKDHB,LDHA,ABAT,ACACA,LDHB,MLYCD,SUCLG2,MCEE,ACSS1,HIBCH,EHHADH,HADHA	Propanoate-metabolism
Butanoate metabolism	0.268008474576271	0.509216101694915	0.0785029047348687	0.345200000060288	1.18020216489466	19	ALDH5A1,BDH1,ACSM3,ABAT,BDH2,AACS	Butanoate-metabolism
