pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Inositol phosphate metabolism	0.000609675525788723	0.0115838349899857	0.477270815362862	0.431581877645656	1.74303456319559	67	PIK3C2B,ITPKC,ISYNA1,PIK3CA,PLCH2,PIK3CB,PLCD1,ALDH6A1,MTMR8,PI4K2A,INPPL1,INPP4B,MTMR1,SYNJ2,MTMR4,PLCB3,PLCG1,PIP4K2B,INPP5B,PIK3CG,PI4KA,INPP5E,IMPAD1,INPP5F,PI4KB,SYNJ1,PIK3CD,IPMK,MTM1,IMPA1,TPI1,INPP4A,CDIPT,PIP4K2C,PIKFYVE,PTEN,ITPKB,IPPK,PLCB2,PIP5K1A,SACM1L,PIK3C2A,ITPK1,MTMR3,MTMR6,INPP1,PIP5K1C,PI4K2B,PIK3C3,INPP5K	Inositol-phosphate-metabolism
Citrate cycle (TCA cycle)	0.00614412403259081	0.0583691783096127	0.407017918923954	-0.309540590534412	-1.80107716116499	27	SDHB,SUCLG1,DLD,PC,PDHA1,IDH2,FH,IDH3B,SDHC,PCK2,SDHA,MDH1,MDH2,ACO2,IDH3G,DLST,ACLY,OGDH,PDHB,SUCLA2,CS,IDH3A,SDHD,IDH1,SUCLG2,DLAT	Citrate-cycle-TCA-cycle-
Ascorbate and aldarate metabolism	0.010414624028431	0.0659592855133961	0.380730400722792	0.70853651284025	1.68746061917477	6	ALDH1B1,UGDH,ALDH3A2	Ascorbate-and-aldarate-metabolism
Fatty acid biosynthesis	0.0362223687838357	0.17205625172322	0.321775918075361	0.525974383504053	1.5819410754626	13	ACACB,ACSL6,FASN,OXSM,ACACA,ACSL1,MCAT	Fatty-acid-biosynthesis
Fructose and mannose metabolism	0.0516194331983806	0.196153846153846	0.197822021315103	0.410555011369698	1.46542220206105	28	FBP1,PFKM,PFKFB3,KHK,FUK,PFKFB4,SORD,FPGT,HK2,ALDOA,PMM2,ALDOC,TPI1,MPI,TKFC,GMPPA,GMDS	Fructose-and-mannose-metabolism
Amino sugar and nucleotide sugar metabolism	0.134865134865135	0.403163580246914	0.115734447701689	0.334085462936472	1.28973647324059	46	GFPT2,FUK,RENBP,UAP1L1,UGDH,FPGT,GALE,GFPT1,HK2,NPL,GALT,GNPNAT1,GNE,NANS,PGM3,UXS1,PMM2,UAP1,AMDHD2,GNPDA2,MPI,GMPPA,HEXB,GMDS,GALK1,GMPPB,GNPDA1,PMM1,CYB5R1,UGP2,NAGK,CMAS,HEXA,HK1	Amino-sugar-and-nucleotide-sugar-metabolism
Nitrogen metabolism	0.167070217917676	0.403163580246914	0.114266502484433	0.533451571849996	1.27047583775927	6	CA2,GLUD1,CA5B	Nitrogen-metabolism
Galactose metabolism	0.169753086419753	0.403163580246914	0.102821842840815	0.376144072674508	1.27304186261892	22	GLA,PFKM,GALE,B4GALT1,GAA,GANC,HK2,GALT	Galactose-metabolism
Butanoate metabolism	0.194154488517745	0.409881697981907	0.0956031492204301	0.382794147711162	1.2390937328584	18	ACSM3,ALDH5A1,AACS,BDH1,BDH2,L2HGDH,HMGCS1,HADHA,HMGCL,ABAT	Butanoate-metabolism
Pyruvate metabolism	0.233400402414487	0.439255779681312	0.083129129135339	0.323161597861073	1.18571282252917	32	ACACB,ACSS2,ALDH1B1,LDHA,LDHB,ALDH3A2,HAGH,ME1	Pyruvate-metabolism
