pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Inositol phosphate metabolism	0.00056610056179582	0.0107559106741206	0.477270815362862	0.426430283775159	1.80413176216366	61	PIK3CB,ISYNA1,MTMR1,PIK3C2B,INPP5B,ALDH6A1,MTM1,PIK3CA,INPP5F,PIP4K2B,SYNJ1,INPP4B,MTMR4,PI4K2A,INPPL1,ITPK1,IMPAD1,PIK3CG,MTMR8,PLCD1,SYNJ2,PIP4K2A,INPP4A,PLCB2,PLCG1,PI4KB,PIK3CD,IPMK,MTMR6,MINPP1,INPP5E,PI4KA,SACM1L,MTMR2,IMPA1,PIP5K1A,INPP5D,MTMR3,IPPK,CDIPT,PIK3C2A,PIKFYVE,PI4K2B,PIP5K1C,ITPKB,TPI1,PTEN,PIK3C3,PIP4K2C,INPP5K	Inositol-phosphate-metabolism
Ascorbate and aldarate metabolism	0.0069467649624995	0.0659942671437453	0.407017918923954	0.694304307298194	1.70967335792349	6	ALDH7A1,ALDH3A2,ALDH1B1,UGDH	Ascorbate-and-aldarate-metabolism
Nitrogen metabolism	0.0134073594732333	0.084913276663811	0.380730400722792	0.668616278308461	1.64641847340143	6	CA6,GLUL,CA5B,GLUD1	Nitrogen-metabolism
Starch and sucrose metabolism	0.0345911949685535	0.164308176100629	0.248911114434702	0.444331802212866	1.51942085322815	20	PGM2L1,PYGM,AMY2B,HKDC1,GANC,GBE1,G6PC3,GYS1,HK2,GAA,AGL,UGP2,PGM2,GYG1	Starch-and-sucrose-metabolism
Glycolysis / Gluconeogenesis	0.0505050505050505	0.174146649810367	0.199915231309662	0.355861843642715	1.44394155089749	44	ALDH7A1,FBP1,HKDC1,ACSS2,ALDOC,PFKM,ALDH3A2,ALDH1B1,G6PC3,PCK2,LDHA,GALM,PGK1,ENO2,LDHB,HK2,ALDOA,DLAT,BPGM,GAPDH,PKM	Glycolysis-Gluconeogenesis
Propanoate metabolism	0.0618556701030928	0.174146649810367	0.181383128498408	0.395676625798925	1.46198853425633	28	ACACB,ACSS2,ALDH6A1,DBT,ACAT1,MLYCD,LDHA,PCCA,BCKDHB,LDHB,ACACA,MCEE,MUT,SUCLG2,PCCB	Propanoate-metabolism
Fatty acid biosynthesis	0.0641592920353982	0.174146649810367	0.184706471207739	0.490842990344077	1.44687555905567	11	ACACB,ACSL1,ACSL6,FASN,MCAT,ACACA,OXSM,ACSL3	Fatty-acid-biosynthesis
Pyruvate metabolism	0.111111111111111	0.261122757978104	0.130777137971974	0.359450145294934	1.35806649142802	30	ALDH7A1,ME3,ACACB,ACSS2,ALDH3A2,ALDH1B1,ACAT1,PCK2,LDHA,LDHB,ACACA,DLAT,GLO1,PKM	Pyruvate-metabolism
Galactose metabolism	0.123689727463312	0.261122757978104	0.125033367555272	0.3912596779378	1.35648648010784	21	HKDC1,GLA,GANC,PFKM,G6PC3,GALM,HK2,GAA,B4GALT1,GALE,GALK1,UGP2,PGM2,GALT,PFKP,PFKL,PGM1,HK1	Galactose-metabolism
Butanoate metabolism	0.160297239915074	0.304564755838641	0.108394255853397	0.389872423904851	1.29766487054577	18	ACSM3,AACS,BDH1,ACAT1,HMGCS1,ALDH5A1,L2HGDH,BDH2,HMGCL	Butanoate-metabolism
