pathway	pval	padj	log2err	ES	NES	size	leadingEdge	slug
Inositol phosphate metabolism	0.00102370710881229	0.0121510031413439	0.45505986738723	0.405904686897027	1.75450556285673	65	PLCH2,PLCB3,INPP4B,PI4K2A,PLCB1,PLCD1,MTMR8,PIK3CA,PIP4K2B,PIK3C2B,SYNJ1,MTMR4,PIK3CG,INPP5B,IMPAD1,MTM1,MTMR1,PLCG1,PI4KB,PIP5K1A,PLCB2,MTMR3,ISYNA1,PIP5K1C,PIK3CD,PIKFYVE,IMPA1,IPMK,INPP4A,PIP4K2C,MINPP1,PIK3C2A,IPPK,PLCG2,ITPKB,TPI1,ALDH6A1,PTEN,MTMR2,INPPL1,INPP5K,PIK3C3,CDIPT,SACM1L,PI4KA,INPP5D,MTMR6	Inositol-phosphate-metabolism
Fatty acid biosynthesis	0.00127905296224673	0.0121510031413439	0.45505986738723	0.638450945723352	1.89087800665012	11	ACACB,ACSL6,ACSL1,FASN,OXSM,MCAT,ACACA,ACSL3	Fatty-acid-biosynthesis
Citrate cycle (TCA cycle)	0.0615315703994826	0.38969994586339	0.321775918075361	-0.239726569885514	-1.5303001412327	27	PC,SUCLG1,IDH2,SDHB,DLD,SDHC,IDH3G,PDHA1,PDHB,IDH3B,FH,OGDH,MDH1,ACLY,SDHA,MDH2,CS,ACO2,DLST,SUCLA2,PCK2,IDH3A,SDHD,DLAT,SUCLG2	Citrate-cycle-TCA-cycle-
Ascorbate and aldarate metabolism	0.104347826086957	0.434767759562842	0.151148761385484	0.541724317427458	1.39516630374777	7	ALDH3A2,UGDH,ALDH1B1	Ascorbate-and-aldarate-metabolism
Amino sugar and nucleotide sugar metabolism	0.125628140703518	0.434767759562842	0.120985142145252	0.318370087937412	1.31261603671084	44	GFPT2,FUK,UAP1L1,GALE,NPL,FPGT,GNE,RENBP,UXS1,GNPNAT1,UGDH,GNPDA1,AMDHD2,PMM2,GNPDA2,PGM3,GFPT1,NANS,GALT	Amino-sugar-and-nucleotide-sugar-metabolism
Fructose and mannose metabolism	0.137295081967213	0.434767759562842	0.116234148779716	0.356291367412732	1.32211235227546	26	KHK,ALDOC,FUK,PFKFB3,FPGT,PMM2,TKFC,SORD,ALDOA,ENOSF1,MPI,GMPPA,FBP1,GMDS,TPI1	Fructose-and-mannose-metabolism
Starch and sucrose metabolism	0.175847457627119	0.477300242130751	0.102449405629826	0.369122306698439	1.28459152396012	20	GBE1,PGM2L1,GANC,GYG1,AMY2B,ENPP3,GAA,GYS1,PGM1,AGL,PYGM,UGP2,G6PC3,PGM2	Starch-and-sucrose-metabolism
Propanoate metabolism	0.295616717635066	0.64263014527845	0.0714786287425507	0.301621244883542	1.14861743917808	29	ACACB,DBT,MLYCD,LDHA,BCKDHB,LDHB,ACAT1,ACACA,MCEE,PCCA,ACSS1,MUT,SUCLG2,ALDH6A1,HADHA,HIBCH	Propanoate-metabolism
Nitrogen metabolism	0.317865429234339	0.64263014527845	0.0743625384422526	0.404785569367198	1.13934968456649	9	GLUL,CA5B,GLUD1	Nitrogen-metabolism
Fatty acid elongation	0.404517453798768	0.64263014527845	0.0566484183613995	0.282616634058878	1.05726505704134	27	PPT2,ACOT4,ELOVL6,HACD3,MECR,ABHD17B,TECR,THEM4,ACOT7,HACD2,HSD17B12,PPT1,HADHA	Fatty-acid-elongation
