pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Inositol phosphate metabolism	0.00074173473350668	0.0140929599366269	0.477270815362862	0.400454460547472	1.8589363056434	57	INPPL1,PIK3CB,MTM1,PIK3CA,IPPK,PI4K2B,PTEN,INPP1,SYNJ1,MTMR6,IMPAD1,ITPKB,PLCD1,MTMR14,PIK3C2A,MINPP1,PIP4K2B,PI4KA,PIK3CD,MTMR4,MTMR8,INPP5E,IPMK,SYNJ2,ISYNA1,PLCB1,SACM1L,PIK3C2B
Fatty acid elongation	0.110262008733624	0.683679614573923	0.136490437780413	0.387256504980306	1.38106293282351	17	ACOT2,HSD17B12,ACOT4,ELOVL6,ELOVL4,ABHD17A
Amino sugar and nucleotide sugar metabolism	0.136874361593463	0.683679614573923	0.116234148779716	0.301948849639753	1.30924816604823	39	UAP1L1,PMM2,CYB5R1,NPL,PGM3,GMPPB,UGDH,UAP1,GALE,GNPDA2,GNPDA1,MPI,CYB5R4,UGP2,GFPT1,FUK,NANS
Pentose and glucuronate interconversions	0.203680981595092	0.683679614573923	0.102449405629826	0.423901198398275	1.2391101256094	9	UGDH,RPE,UGP2,CRYL1,DCXR,AKR1B1
Galactose metabolism	0.256550218340611	0.683679614573923	0.0824344091527096	0.334101875207076	1.19149894114441	17	GLA,GALE,G6PC3,UGP2,GLB1,PGM1,HK1,AKR1B1,GAA,GANC,PFKP
Propanoate metabolism	0.290794979079498	0.683679614573923	0.0736212741014394	0.282501908562763	1.15124602252583	27	SUCLA2,MUT,ACSS1,ACACA,MCEE,ACAT2,EHHADH,BCKDHB,HIBCH,DBT,BCKDHA,PCCB
Starch and sucrose metabolism	0.305585980284775	0.683679614573923	0.0734381410838857	0.323133785748355	1.13108292607266	16	G6PC3,UGP2,GYS1,PGM2L1,PGM1,HK1,PYGM,GAA,GANC,PYGB,GBE1
Fatty acid biosynthesis	0.319711538461538	0.683679614573923	0.0758886900606117	0.364562505407786	1.10760429486277	10	FASN,ACSL6,ACACA,ACSL4
Sulfur metabolism	0.323848238482385	0.683679614573923	0.0815265143256594	0.465750249608116	1.12634971238514	5	IMPAD1,BPNT1,MPST,PAPSS1
Butanoate metabolism	0.383720930232558	0.72906976744186	0.248911114434702	-0.211764705882353	-1.06591945237582	17	OXCT1,HADHA,AACS,ACSM3,HADH,ECHS1,HMGCS1,ACADS,ACAT1,ABAT,ALDH5A1,BDH2,HMGCL,L2HGDH,EHHADH,ACAT2,BDH1
Fatty acid degradation	0.624217118997912	0.893728222996516	0.0374584205912161	0.21516054436405	0.886480166774756	29	CPT1A,ACSL6,ACOX1,ECI1,ACSL4,ACAT2,EHHADH,CPT1B,ECI2,GCDH,ALDH1B1,ACADSB
Ascorbate and aldarate metabolism	0.634730538922156	0.893728222996516	0.0532386494755899	0.448626590390134	0.886881409584189	3	UGDH,ALDH1B1
Pentose phosphate pathway	0.651939655172414	0.893728222996516	0.0369160593316849	0.232846341698261	0.860303101531172	19	PGD,RPE,H6PD,IDNK,G6PD,PGM1,RPIA,PGLS,PFKP,TALDO1,ALDOA,TKT,ALDOC,GLYCTK,PGM2
Glycolysis / Gluconeogenesis	0.658536585365854	0.893728222996516	0.276500599254472	-0.132307692307692	-0.927901642131143	32	DLD,AKR1A1,GPI,PKM,ADPGK,LDHB,TPI1,PFKL,ALDH9A1,ENO1,PGAM1,LDHA,DLAT,GALM,ADH5,PGM2,PGK1,ALDOC,BPGM,GAPDH,ALDOA,PFKP,ENO2,HK1,PGM1,ALDH1B1,PDHA1,MINPP1,PCK2,G6PC3,ACSS1,PDHB
Nitrogen metabolism	0.71484375	0.89798087141339	0.0414044273760278	0.317963406523485	0.811379122289446	6	GLUL,GLUD2,CA5B
Glyoxylate and dicarboxylate metabolism	0.801927194860814	0.89798087141339	0.0264649017470855	0.189293400781753	0.719441030000519	21	SHMT2,MUT,GLUL,MCEE,ACAT2,PCCB,AMT,PGP,ACO1,SHMT1,CAT,GLYCTK,ACAT1,GCSH
Citrate cycle (TCA cycle)	0.856394129979036	0.89798087141339	0.0216519363667421	0.166349267416773	0.673432662882122	26	SUCLA2,PDHB,DLST,PCK2,FH,IDH3G,SDHD
Fructose and mannose metabolism	0.871490280777538	0.89798087141339	0.0223699288741888	0.178697683031608	0.666829172474932	20	PMM2,GMPPB,PFKFB3,MPI,FUK,HK1,AKR1B1,PFKP,ALDOA,ENOSF1,ALDOC,KHK,SORD,GMDS,GMPPA,FPGT,PFKL,PMM1,TPI1
Pyruvate metabolism	0.89798087141339	0.89798087141339	0.0196032645039178	0.158794683139275	0.626941699568231	24	PDHB,ACSS1,ACACA,PCK2,FH,ACAT2,PDHA1,ALDH1B1,ME2
Oxidative phosphorylation	NA	NA	NA	-0.0908392475583701	NA	100	NDUFA13,COX5A,COX7A2,COX6B1,NDUFA9,ATP6V0D1,UQCRFS1,NDUFB1,NDUFS2,SDHC,NDUFB8,COX8A,COX17,NDUFB11,COX7B,UQCRQ,COX5B,NDUFS3,ATP6V0E2,NDUFA2,NDUFS4,UQCRC2,NDUFB6,NDUFA8,NDUFS8,NDUFS7,NDUFS6,COX4I1,NDUFB4,ATP6AP1,NDUFB10,NDUFV2,CYC1,NDUFA4,NDUFA6,NDUFB7,COX6C,COX10,NDUFA11,NDUFA7,COX11,TCIRG1,ATP6V0B,ATP6V1F,ATP6V0A2,ATP6V1H,NDUFV3,UQCR11,ATP6V1E1,SDHA,SDHB,UQCR10,ATP6V0E1,NDUFA3,NDUFC2,NDUFA1,ND3,ATP6V1B2,UQCRC1,NDUFC1,NDUFS5,NDUFS1,ATP6V1D,COX6A1,NDUFA10,COX7C,NDUFB2,UQCRB,ATP6V1A,LHPP,COX7A2L,NDUFB3,NDUFV1,NDUFB9,ND1
