pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Inositol phosphate metabolism	2.7742883960899e-06	5.5485767921798e-05	0.627256739718528	0.488794044316629	2.09611984738412	64	PLCB1,PIK3CA,PLCH2,IPPK,PIK3C2B,INPPL1,PLCD1,MTMR4,PIP4K2B,ITPKB,MTMR1,PI4K2B,PLCG2,IMPAD1,PIK3C2A,PIK3CD,MTMR8,PIK3CB,INPP4B,SYNJ1,MTM1,IPMK,INPP5B,PLCD3,PIP4K2A,INPP5D,PI4KA,PIK3CG,ITPK1,PIP5K1C,PIKFYVE,PLCG1,IMPA1,MTMR2,SYNJ2,PIP4K2C,INPP4A,ALDH6A1,ISYNA1,PI4K2A,PTEN,SACM1L,MINPP1
Fatty acid biosynthesis	0.00478758832753929	0.0478758832753929	0.407017918923954	0.597588431229088	1.79265098652885	11	ACSL6,OXSM,ACACB,FASN,ACACA,MCAT
Citrate cycle (TCA cycle)	0.0445310098828	0.296873399218667	0.321775918075361	-0.258862331535144	-1.4883044870686	26	SDHC,SDHB,CS,MDH2,SUCLG1,SUCLA2,MDH1,PDHB,SDHD,SDHA,ACO2,OGDH,IDH3G,SUCLG2,IDH3B,ACLY,DLST,DLD,DLAT,FH,PDHA1,IDH2,PCK2
Nitrogen metabolism	0.0852272727272727	0.426136363636364	0.160801401070022	0.488391493235755	1.42225456826176	10	GLUL,CA5B
Sulfur metabolism	0.143382352941176	0.553221288515406	0.12563992130984	0.503188254644248	1.30198367001963	7	IMPAD1,BPNT1,MPST,PAPSS1,ETHE1
Starch and sucrose metabolism	0.165966386554622	0.553221288515406	0.105520936843198	0.362352356656475	1.28166539174966	22	GBE1,GANC,PGM2L1,G6PC3,HKDC1,GAA,GYS1,UGP2,GYG1,AGL,AMY2B,PGM2
Propanoate metabolism	0.229038854805726	0.65439672801636	0.0850427463764322	0.31462904988226	1.18757012998803	29	PCCA,ACACB,DBT,ACACA,MCEE,BCKDHB,LDHA,PCCB,MLYCD,ACAT1
Butanoate metabolism	0.313852813852814	0.677937158469945	0.0714786287425507	0.33565744072393	1.12395475343195	18	HMGCS1,AACS,BDH1,BDH2,L2HGDH,ACAT1,ACADS,HMGCL,HADH
Amino sugar and nucleotide sugar metabolism	0.314944834503511	0.677937158469945	0.0675188953767744	0.272745530539635	1.11350993986728	45	FUK,UAP1L1,PGM3,NANS,GNE,GALE,HKDC1,UAP1,UGDH,GNPDA1,PMM2,NAGK,NPL,GFPT1,GMPPB,GNPNAT1,UGP2,MPI
Galactose metabolism	0.348739495798319	0.677937158469945	0.0647943366000727	0.313025654996054	1.10719343028465	22	GLA,GANC,G6PC3,GALE,HKDC1,GAA
Pentose phosphate pathway	0.405485062393091	0.677937158469945	0.203508959461977	-0.16624685138539	-0.945921613035321	25	FBP1,RBKS,PRPS1L1,PFKM,RPEL1,TALDO1,ALDOC,PGM1,PRPS1,PFKL,PGLS,TKT,PFKP,PRPS2,GPI,RPIA,RPE,PGM2,PGD,DERA,ALDOA,G6PD,GLYCTK,IDNK,H6PD
Fructose and mannose metabolism	0.406762295081967	0.677937158469945	0.0562940749700968	0.279067375419459	1.0471566354573	28	FUK,PFKFB3,HKDC1,PMM2,SORD,ENOSF1,KHK,GMPPB,MPI,ALDOA,FPGT,GMPPA
Ascorbate and aldarate metabolism	0.511860174781523	0.771215207060421	0.0547939500773363	0.388578283631526	0.962868661224452	6	UGDH,ALDH9A1,ALDH1B1,ALDH3A2
Glyoxylate and dicarboxylate metabolism	0.546680497925311	0.771215207060421	0.0432768714901103	0.261008969809026	0.945026449770786	24	GLUL,ACO1,PCCA,MCEE,PCCB,ACAT1,GLYCTK,GRHPR
Pyruvate metabolism	0.578411405295316	0.771215207060421	0.0398406946073899	0.245632763543678	0.934345579947817	30	ACACB,ACACA,ACYP2,LDHA,ACAT1,HAGH,GRHPR,ACSS1,PKM,PCK2,LDHB,ALDH9A1,PDHA1,ALDH1B1,ALDH3A2,FH,DLAT,DLD,ACYP1,ACAT2
Fatty acid elongation	0.753125	0.94140625	0.0282923737721473	0.219138772400894	0.786681967063385	23	ACOT7,ACOT4,MECR,ELOVL4,THEM4,ELOVL6
