pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Inositol phosphate metabolism	8.76518051214357e-08	1.66538429730728e-06	0.704975715167238	0.522544863576321	2.17036639979887	64	MTMR8,INPPL1,PLCD1,PLCH2,PLCB1,MTMR1,PIK3CA,PIK3C2B,PLCG2,INPP5B,IPMK,IMPAD1,PIP5K1C,PI4K2A,SYNJ1,PIK3C2A,PIK3CB,PLCD3,ITPK1,PIK3CD,INPP4B,MTM1,PIP4K2A,MTMR2,MINPP1,PI4KA,MTMR4,ISYNA1,PIP4K2C,PI4K2B,IPPK,PIP4K2B,INPP4A,INPP5D,IMPA1,ITPKB,MTMR6,MTMR3,INPP5E,PTEN,ALDH6A1,PIK3CG
Sulfur metabolism	0.055363321799308	0.409090909090909	0.204294756516886	0.54628535102837	1.48859664667644	8	IMPAD1,BPNT1,MPST,PAPSS1,ETHE1
Nitrogen metabolism	0.0645933014354067	0.409090909090909	0.191892240384838	0.557869903042133	1.45417115456176	7	GLUL,CA5B,GLUD2,GLUD1
Fatty acid biosynthesis	0.110367892976589	0.426113566114908	0.138022242496643	0.449042549447769	1.36248762386797	12	ACSL6,ACACB,ACACA,OXSM,FASN,MCAT,ACSL1,ACSL5,ACSL3
Butanoate metabolism	0.112836438923395	0.426113566114908	0.130777137971974	0.386965974401357	1.34181589495011	20	AACS,HMGCS1,BDH1,L2HGDH,BDH2,ACSM3,ACADS,ACAT1,HMGCL,HADH
Citrate cycle (TCA cycle)	0.134562178773129	0.426113566114908	0.249246554383295	-0.22775851396605	-1.26221293530118	26	PDHB,SDHB,MDH2,SDHC,MDH1,SDHA,ACO2,PCK2,DLAT,IDH3G,SUCLA2,IDH3B,SDHD,OGDH,DLST,CS,SUCLG2,ACLY,DLD,SUCLG1,FH,PDHA1,IDH2
Starch and sucrose metabolism	0.159420289855072	0.432712215320911	0.107140237276725	0.369843210503802	1.2824422076414	20	PGM2L1,HKDC1,GBE1,GANC,G6PC3,GAA,UGP2,AMY2B,PYGB,GYG1,AGL,GYS1
Glyoxylate and dicarboxylate metabolism	0.351626016260163	0.681909273091638	0.0628003977812234	0.305438664665889	1.09715329949632	24	GLUL,PCCB,ACO1,GLYCTK,PCCA,SHMT2,MCEE,GRHPR,AMT,ACAT1
Galactose metabolism	0.368911917098446	0.681909273091638	0.0614364107201271	0.317400253473261	1.08946188292292	19	GLA,HKDC1,GALE,GANC,G6PC3,GAA,UGP2
Propanoate metabolism	0.384848484848485	0.681909273091638	0.0582216241124161	0.286066961613971	1.06089446338834	28	ACACB,PCCB,ACACA,BCKDHB,MLYCD,PCCA,DBT,ACSS1,MCEE,ACAT1,ALDH6A1,BCKDHA,HIBCH,ACAT2,LDHA,SUCLG1,MUT,LDHB,DLD
