pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Inositol phosphate metabolism	4.80443386596657e-06	9.12842434533648e-05	0.610526878385931	0.505997934450148	2.05580221417356	63	MTMR8,MTMR1,PLCH2,PLCB1,SYNJ1,PIK3CA,PLCD1,MTMR4,IMPAD1,INPPL1,PI4K2B,PIK3C2A,MTMR3,MTM1,INPP4B,PIP4K2B,IPMK,INPP4A,PIK3CD,IPPK,INPP5A,PI4KA,PIK3CB,PIK3C2B,MTMR2,ITPK1,PIKFYVE,INPP5D,PIP4K2A,MINPP1,PI4KB,ITPKB,IMPA1,ISYNA1,PTEN,PIP4K2C,PIP5K1C,MTMR14,PLCB2,PIK3CG,TPI1,PIP5K1A,MTMR6
Fatty acid biosynthesis	0.0145383791345132	0.138114601777875	0.380730400722792	0.568495995860448	1.67489709670779	12	ACACB,ACSL6,OXSM,ACACA,MCAT,FASN,ACSL4,ACSL3
Nitrogen metabolism	0.0226097469885526	0.143195064260833	0.352487857583619	0.570179487778031	1.63687576051229	11	GLUL,CA5B
Starch and sucrose metabolism	0.130122950819672	0.49513807856865	0.119887845115423	0.372771313443101	1.30796294248709	24	HKDC1,GBE1,UGP2,PGM2L1,AMY2B,GAA,GYG1,PYGM,AGL,GYS1,PYGB,G6PC3,PGM1,PGM2
Amino sugar and nucleotide sugar metabolism	0.135270541082164	0.49513807856865	0.115734447701689	0.322709236275124	1.25345173795267	45	HKDC1,UGP2,UGDH,GMPPB,GALE,UAP1L1,GNPNAT1,FUK,GFPT2,GNPDA1,PGM3,GNPDA2,CYB5R1,GALK1,NAGK,GMPPA,PMM2,GMDS,GFPT1,AMDHD2,HEXA,TSTA3,GNE,CYB5R4,PGM1,HEXB,NPL,PGM2,GALT,NANS,MPI
Sulfur metabolism	0.156359393232205	0.49513807856865	0.116234148779716	0.504515466369969	1.31833535888754	8	IMPAD1,BPNT1,ETHE1,PAPSS1,MPST
Butanoate metabolism	0.204569055036345	0.555258863670079	0.0922597260527354	0.370000664761824	1.22169339200116	19	HMGCS1,BDH2,BDH1,HMGCL,HADH,ACAT1,AACS,ACADS,L2HGDH,OXCT1,ACSM3,ECHS1,ACAT2
Fructose and mannose metabolism	0.255060728744939	0.605769230769231	0.0787113806986485	0.321638662524267	1.15530962637587	27	HKDC1,GMPPB,PFKFB3,FUK,KHK,GMPPA,PMM2,ALDOA,AKR1B1,GMDS,TPI1,ENOSF1,SORD,TSTA3
Galactose metabolism	0.332301341589267	0.63538961038961	0.0662842187012672	0.322128377408931	1.10141360675939	22	HKDC1,GLA,UGP2,GALE,GAA,GALM,GALK1,GLB1,AKR1B1,B4GALT1,G6PC3,PGM1,PGM2,GALT,PFKP,GANC
Pentose and glucuronate interconversions	0.334415584415584	0.63538961038961	0.0683110858318647	0.36360434739574	1.09622854341027	13	UGP2,UGDH,CRYL1,DCXR
