pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Inositol phosphate metabolism	0.00488535330564055	0.0589497048234476	0.407017918923954	0.375023900443729	1.68913712917137	63	MTMR8,PLCB1,PLCH2,PIK3C2B,INPPL1,PIK3CA,MTMR1,SYNJ1,IPMK,PIK3CB,ITPKB,INPP5B,INPP5D,INPP4B,INPP1,PIKFYVE,IPPK,IMPAD1,PIP4K2B,PIK3CD,PI4K2B,PI4K2A,PIP5K1C,PLCD1,MTMR4
Nitrogen metabolism	0.0111797062077054	0.0589497048234476	0.380730400722792	0.630251519176096	1.74317948725409	8	GLUL,CA13,CA5B
Starch and sucrose metabolism	0.0122668543731178	0.0589497048234476	0.380730400722792	0.486479430803538	1.75413146296726	19	PGM2L1,G6PC3,GANC,PYGB,HKDC1,GAA,GYS1,UGP2,GBE1,AMY2B
Citrate cycle (TCA cycle)	0.0124104641733574	0.0589497048234476	0.380730400722792	-0.317040158099007	-1.74955075145735	26	MDH1,CS,DLD,SUCLG1,SDHB,SUCLA2,OGDH,MDH2,PDHB,SDHC,ACO2,SDHA,ACLY,IDH3B,SDHD,SUCLG2,DLAT,IDH3G,IDH2,DLST,IDH3A
Fatty acid biosynthesis	0.13588850174216	0.512352122477383	0.12563992130984	0.45079508235794	1.34055832229568	10	FASN,ACACB,OXSM,ACSL3,MCAT,ACSL1
Fatty acid elongation	0.161795407098121	0.512352122477383	0.106729884364606	0.337371278343384	1.28647942160865	24	ELOVL6,ACOT7,ACOT4,PPT2,ELOVL4,HSD17B12,MECR,THEM4
Sulfur metabolism	0.236180904522613	0.641062455132807	0.0949751525905595	0.478213592566097	1.20279279739697	6	BPNT1,MPST,IMPAD1,PAPSS1
Glyoxylate and dicarboxylate metabolism	0.298538622129436	0.660440985732815	0.0721797965581253	0.300168306049793	1.14461536455733	24	GLUL,PCCA,ACO1,PCCB,GLYCTK,MCEE,GCSH,ACAT1,SHMT2,PGP,CAT,SHMT1,ACAT2
Butanoate metabolism	0.338762214983713	0.660440985732815	0.0678338263479455	0.312567337343523	1.10298969378293	17	HMGCS1,L2HGDH,BDH1,ACSM3,BDH2,AACS,ACAT1,ACAT2,ACADS,HADH,ABAT,HMGCL
Ascorbate and aldarate metabolism	0.347600518806744	0.660440985732815	0.0755015292281669	0.458492676018887	1.08034632365616	5	UGDH,ALDH3A2,ALDH9A1
Fructose and mannose metabolism	0.3875	0.669318181818182	0.0593487680335629	0.280817233281719	1.07802118192917	25	FUK,ENOSF1,KHK,HKDC1,MPI,SORD,ALDOC,FPGT,GMDS,TPI1,TSTA3,PMM2,ALDOA
Amino sugar and nucleotide sugar metabolism	0.465116279069767	0.690716728979397	0.0494904866135495	0.241569507898418	1.01731967901489	41	FUK,GALE,UGDH,UAP1L1,NPL,HKDC1,UGP2,MPI,UAP1,NAGK,FPGT,CYB5R1,AMDHD2,GNE,GMDS,PGM3,PGM2,TSTA3,PMM2,NANS,GNPDA2,HEXB,GNPNAT1,GNPDA1,GMPPB,UXS1,PMM1
Propanoate metabolism	0.472595656670114	0.690716728979397	0.0497903187820785	0.25435319204479	1.00460049302441	28	PCCA,ACACB,PCCB,DBT,MCEE,MLYCD,BCKDHB,HIBCH,BCKDHA,ACAT1,LDHA,ALDH6A1,ACAT2,LDHB,ACSS1
Galactose metabolism	0.545454545454545	0.74025974025974	0.044774889329693	0.259245966881241	0.945693481840477	20	GALE,G6PC3,GANC,HKDC1,GAA,UGP2,GLA,GALM,PGM2
Pyruvate metabolism	0.770508826583593	0.93051282051282	0.0269562963008323	0.196596821141668	0.769954911797349	27	ACYP2,ACACB,ALDH3A2,PCK2,ACAT1,LDHA,GLO1,ALDH9A1,FH,ACAT2,LDHB,ACSS1,PKM,PDHA1,ACACA,GRHPR
Fatty acid degradation	0.783589743589744	0.93051282051282	0.025411808387565	0.192806503305369	0.778564015653747	31	CPT1A,CPT1B,ACOX3,ALDH3A2,ECI1,ACOX1,ECI2,ACSL3,ACSL1,ACAT1,ALDH9A1,ACAT2,ACSL6,CPT2,ACADS,HADH,ACSL4,ADH5,ACADSB,ACAA1,ECHS1,ACSL5,ADH1B,GCDH
Pentose phosphate pathway	0.907098121085595	0.956916099773243	0.0177814832001704	0.167759753413991	0.639709081345017	24	IDNK,GLYCTK,PGD,DERA,H6PD,ALDOC,RPE,PGM2,ALDOA,G6PD
