pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Inositol phosphate metabolism	3.32543880465042e-07	6.65087760930083e-06	0.674962860011025	0.516347375507375	2.17873061961113	62	MTMR8,PIK3C2B,INPP5F,ITPKB,IPPK,MTMR1,SYNJ2,INPPL1,PI4K2A,PLCD1,IPMK,INPP1,PIK3C2A,SYNJ1,INPP4A,ALDH6A1,PI4KA,PIP4K2A,PLCB3,ISYNA1,PLCH2,MTMR6,SACM1L,MTMR4,IMPA1,INPP5B,IMPAD1,MTMR3,INPP4B,PIK3CB,PIP4K2B,PI4K2B,PIK3CG,PTEN,ITPK1,PIK3CA,PIKFYVE,MTMR2,INPP5D,TPI1,MTMR14,PIP5K1C,PIP5K1A,INPP5E,PIK3CD,PIK3C3,PLCG1,PIP4K2C
Nitrogen metabolism	0.00686260604825934	0.0488404680344996	0.407017918923954	0.633410919605653	1.77312599653302	9	GLUL,CA2,CA5B,GLUD1
Butanoate metabolism	0.00732607020517494	0.0488404680344996	0.407017918923954	0.507438651457679	1.72552516919869	18	ABAT,HMGCS1,ACAT1,BDH1,ALDH5A1,HMGCL,BDH2,AACS
Propanoate metabolism	0.0591836734693878	0.295918367346939	0.184706471207739	0.381970328260538	1.42409665978254	28	ABAT,DBT,ACACA,PCCB,PCCA,ACACB,ACAT1,MCEE,ALDH6A1,LDHA,BCKDHB,BCKDHA
Fatty acid biosynthesis	0.18041804180418	0.699588477366255	0.103197466945307	0.417056652417484	1.26789956075227	12	OXSM,ACACA,ACACB,FASN,ACSL1
Starch and sucrose metabolism	0.277083333333333	0.699588477366255	0.0758886900606117	0.326982511526611	1.13672226713684	20	G6PC3,PGM2L1,GANC,GAA,AMY2B,GYS1,PYGB,GYG1,UGP2
Sulfur metabolism	0.302380952380952	0.699588477366255	0.0782955249944794	0.43547758748512	1.13247988525965	7	MPST,BPNT1,IMPAD1,ETHE1
Amino sugar and nucleotide sugar metabolism	0.30561122244489	0.699588477366255	0.0689567351672811	0.275949042133799	1.11906838049063	44	UAP1L1,FUK,UGDH,GNE,PGM3,NANP,FPGT,NANS,UAP1,MPI,GNPNAT1,GNPDA1,GMPPB,PMM2,GMPPA,GFPT1,UGP2,CYB5R1,GALK1,AMDHD2
Glyoxylate and dicarboxylate metabolism	0.314814814814815	0.699588477366255	0.0687943095604775	0.309972889691458	1.1202888123263	24	GLUL,PCCB,PCCA,ACAT1,MCEE,GLYCTK,AMT,GRHPR,AFMID,ACO1,GCSH,SHMT2,PGP,CAT,GLDC,HYI
Ascorbate and aldarate metabolism	0.507142857142857	1	0.0530212512043078	0.371073109206716	0.964993019650463	7	UGDH,ALDH9A1,ALDH3A2,ALDH1B1,MIOX,ALDH7A1
Fructose and mannose metabolism	0.744897959183674	1	0.0277995594097672	0.219043411960244	0.813283514535062	27	FUK,PFKFB3,FPGT,ALDOC,MPI,GMPPB,PMM2,GMPPA,ALDOA,TPI1,ENOSF1,KHK,SORD,TSTA3,PFKM,PFKP,GMDS,PMM1,AKR1B1,PFKL
Fatty acid degradation	0.75609756097561	1	0.0268158762373842	0.210343319693468	0.818438685471522	35	ACAT1,CPT1B,CPT1A,ECI1,ACSL1,ACADS,ACOX3,CPT2,ACOX1,ECI2,ECHS1,ACSL3,ACADSB,ACAA1,HADH,ALDH9A1,ALDH3A2,ACSL5,ACAA2,ACADVL,ACAT2,ACSL4
Pyruvate metabolism	0.806910569105691	1	0.0232958000490367	0.201839140330336	0.769755665832367	32	ACACA,ACACB,ACAT1,PCK2,LDHA,GRHPR,ACYP2,FH,ACSS1,HAGH,DLAT,PKM
Galactose metabolism	0.898550724637681	1	0.0178589946943486	0.191458104865079	0.679214754058437	22	GLA,G6PC3,GANC,GAA,GLB1,UGP2,B4GALT1,GALK1,GALE,PGM2,PFKM,GALM,PGM1,PFKP
Oxidative phosphorylation	0.911088911088911	1	0.0142522226913804	0.165237220879582	0.735184471647031	106	UQCRH,UQCRHL,ND6,ATP6V1C2,ATP6V1A,ATP6V0C,UQCR11,COX10,COX4I1,UQCRB,NDUFA3,ND2,ND5,COX7C,COX15,ATP8,COX3,NDUFV3,PPA1,COX1,TCIRG1,ATP6,NDUFC2,ATP6V0E1,ATP6V1G1,ATP6V0A2,ATP6V1H,ND3,ND4,COX8A,NDUFS7,NDUFB1,ATP6V0B,COX7A2,COX6A1,NDUFA11,UQCRQ,NDUFS5,ND4L,NDUFV1,NDUFB2,NDUFS1,ATP6V1E1,CYTB,COX2,NDUFA5,COX5B,ATP6V0E2,UQCR10,ND1,NDUFV2,NDUFB8,NDUFB10,PPA2,LHPP,NDUFA4,ATP6AP1,COX7A2L,COX6C,NDUFA13,ATP6V1B2,UQCRFS1,NDUFB7,COX6B1,ATP6V1C1,NDUFC1,NDUFA1,SDHD,NDUFS8,COX17,NDUFA2,ATP6V1F,NDUFA10,SDHA,NDUFA6,COX11,CYC1,NDUFS6,NDUFS4,SDHC,NDUFS2,NDUFB9,NDUFA7,NDUFB6,NDUFB4,ATP6V0D1,NDUFA8,SDHB,COX7B,NDUFB3,COX5A,NDUFB11,ATP6V1D,UQCRC2,NDUFB5,NDUFA12
Pentose and glucuronate interconversions	0.983836206896552	1	0.0141641602737639	0.158684102898869	0.502929670819952	14	UGDH,CRYL1,UGP2,DCXR,SORD,RPE
Pentose phosphate pathway	0.987704918032787	1	0.00893801210835004	0.13985932986784	0.513096033114958	26	ALDOC,IDNK,G6PD,GLYCTK,H6PD,PGD,ALDOA,RPE,DERA,PGM2,PFKM,GPI,PGM1,PFKP,PRPS2,RPIA,PFKL,PGLS
Fatty acid elongation	0.994855967078189	1	0.00855469372683394	0.137592914827837	0.497281563205167	24	ELOVL6,MECR,ABHD17A,ACOT1,ACOT7,THEM4,ABHD17B,ECHS1,ACOT2,HADH,ACAA2,HSD17B12,ELOVL1,HADHB,TECR,ELOVL5,HADHA,PPT1
Glycolysis / Gluconeogenesis	0.994984954864594	1	0.00434551079568136	0.119683554945476	0.485679123237061	47	G6PC3,ALDOC,BPGM,PCK2,LDHA,ENO2,ALDOA,ACSS1,GAPDH,DLAT,TPI1,PKM,PDHA1,MINPP1,ENO1,PGK1,PGM2,ALDH9A1,ALDH3A2,PFKM,GALM,GPI,PGM1,PFKP,AKR1A1,ADPGK,LDHB,DLD,PFKL,ADH5,PGAM1
