pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Inositol phosphate metabolism	3.7169653425206e-06	7.4339306850412e-05	0.627256739718528	0.463639662542482	2.0936978674753	66	PI4K2B,IMPAD1,MTMR8,PIK3CB,ISYNA1,ITPKC,ALDH6A1,PIK3CA,ITPKB,MTM1,INPP5K,MTMR4,MTMR3,IPMK,INPP5E,PI4KA,SYNJ2,INPP4A,INPPL1,PLCD1,PIK3CD,PIP5K1C,PIP4K2B,PI4K2A,MTMR1,SYNJ1,INPP5B,MINPP1,SACM1L,IMPA1,PLCB2,IPPK,INPP5D,TPI1,INPP4B,PTEN,INPP5F,IMPA2,PIP4K2C,PIK3C3,PIK3C2B,ITPK1,INPP1,PIP5K1A,PIP4K2A,PIKFYVE,PLCG1
Amino sugar and nucleotide sugar metabolism	0.0210879589673253	0.210879589673253	0.352487857583619	0.364290860586864	1.55145661634517	44	UGDH,NANS,FPGT,PGM3,UAP1,NANP,PMM2,RENBP,GALE,GALK1,GFPT1,UAP1L1,GNPNAT1,GMPPB,NAGK,GNPDA2,MPI,PGM2,FUK,CYB5R1
Citrate cycle (TCA cycle)	0.0536538862710935	0.291036088474971	0.321775918075361	-0.253397880075256	-1.42999947061598	27	SDHC,MDH2,MDH1,PC,SDHD,SDHB,PDHA1,SUCLA2,SUCLG2,IDH3G,ACO2,ACLY,PDHB,ACO1,CS,SUCLG1,IDH2,DLST,SDHA,DLD,IDH3A,DLAT,IDH3B,IDH1,OGDH,PCK2
Fatty acid biosynthesis	0.0582072176949942	0.291036088474971	0.199915231309662	0.507898928560988	1.53371159514716	10	MCAT,OXSM,ACSL4,ACSL1,FASN,ACACA,ACSL3,ACSL5
Galactose metabolism	0.215727948990436	0.862911795961743	0.0905428948469474	0.325201300176998	1.21575792901033	22	GAA,GLA,GALE,GLB1,GALK1,G6PC3,GANC,PGM2
Sulfur metabolism	0.2811004784689	0.865995762711864	0.0824344091527096	0.408916319537234	1.153671494398	8	IMPAD1,BPNT1,MPST,ETHE1,PAPSS1
Nitrogen metabolism	0.325117370892019	0.865995762711864	0.0738052724171275	0.381690735666777	1.11917196933826	9	CA5B,GLUD2,GLUD1,GLUL
Fructose and mannose metabolism	0.346398305084746	0.865995762711864	0.0655321029282414	0.290753613110081	1.1032574953539	24	FPGT,FBP1,PMM2,GMPPB,ENOSF1,MPI,FUK,ALDOA,PFKFB3,TPI1,KHK,SORD,GMDS,PFKM,TSTA3,ALDOC,AKR1B1
Ascorbate and aldarate metabolism	0.534183082271147	0.982914572864322	0.0493910105981501	0.303885927241421	0.942473683172453	11	UGDH,ALDH9A1,ALDH1B1,ALDH3A2
Starch and sucrose metabolism	0.683760683760684	0.982914572864322	0.0342688261591917	0.231577062209847	0.842859102325008	20	GAA,PGM2L1,G6PC3,GBE1,GANC,PGM2,AMY2B,GYS1
Fatty acid elongation	0.748414376321353	0.982914572864322	0.0293519190331994	0.209334685178417	0.78986642418119	23	HSD17B12,ACOT1,PPT1,ABHD17B,ACOT2,ECHS1,THEM4,ABHD17A,TECR,ACAA2,ACOT4,ELOVL1,ELOVL5
