pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Inositol phosphate metabolism	3.36536717855264e-08	6.73073435710528e-07	0.719512826338911	0.550623258598696	2.11480813654361	67	MTMR8,PIK3C2B,PLCG2,MTMR1,PLCH2,IPMK,PI4K2B,PIK3C2A,IPPK,PI4K2A,INPP5F,INPPL1,PIP4K2B,SYNJ1,PIK3CA,ISYNA1,IMPAD1,INPP4B,PIK3CG,INPP5B,PI4KA,IMPA1,INPP1,PIP4K2A,ITPKB,PIP5K1C,SYNJ2,MTMR6,ITPK1,PIP4K2C,INPP4A,MTM1,MTMR4,PIK3CD,MTMR3,PTEN,INPP5D,MTMR2,PLCD1,SACM1L,PIK3C3
Nitrogen metabolism	0.0756929637526653	0.65439672801636	0.165656695205483	0.491446326214779	1.40739758403738	12	GLUL,CA5B
Starch and sucrose metabolism	0.098159509202454	0.65439672801636	0.140406238523342	0.409721091456926	1.32313052837901	20	UGP2,G6PC3,PGM2L1,GANC,GAA,PYGB,GYS1,GYG1,AGL
Fatty acid biosynthesis	0.14498933901919	0.718685831622177	0.115240003147781	0.448729418832714	1.2850654614023	12	OXSM,ACACA,MCAT,FASN,ACSL4,ACACB,ACSL1
Butanoate metabolism	0.179671457905544	0.718685831622177	0.0992333343771191	0.380792157902399	1.211935154492	19	OXCT2,AACS,BDH2,HMGCL,HMGCS1,BDH1,ACADS,ACAT1,ACAT2,HADH,ABAT,ECHS1
Amino sugar and nucleotide sugar metabolism	0.334665334665335	0.945233265720081	0.0643583367917361	0.293673984215179	1.08175859454632	45	FUK,UAP1L1,UGDH,UGP2,NANS,PGM3,GALE,FPGT,MPI,UAP1,GMPPA,GFPT1,GNPNAT1,GNE,CYB5R1,NPL,NAGK,AMDHD2,GMPPB,GNPDA2,PMM2,GNPDA1
Sulfur metabolism	0.348173515981735	0.945233265720081	0.0689567351672811	0.442869331451336	1.09023557075169	7	IMPAD1,BPNT1,MPST,ETHE1,PAPSS1
Fatty acid degradation	0.424424424424424	0.945233265720081	0.0532386494755899	0.288523763033011	1.02771618930947	35	CPT1B,ECI1,CPT1A,ACOX3,ACADS,ACSL4,ACAT1,ACOX1,ACAT2,CPT2,ECI2,ACAA1,ALDH3A2,ACSL1,HADH,ECHS1,ACAA2,ACADSB,ACSL3,ACADVL,ALDH9A1,ADH5
Galactose metabolism	0.442973523421589	0.945233265720081	0.0520570030732099	0.305982846120257	1.01434987148724	23	GLA,UGP2,G6PC3,GALE,GANC,GAA
Glyoxylate and dicarboxylate metabolism	0.472616632860041	0.945233265720081	0.0488970772260102	0.29972528312482	1.00058112769311	24	GLUL,MCEE,PCCB,PCCA,ACO1,GRHPR,GLYCTK,PGP,SHMT2,ACAT1,ACAT2
Propanoate metabolism	0.625	0.990899898887766	0.0357690767485421	0.265919312320875	0.91246501509105	28	MCEE,ACACA,DBT,PCCB,PCCA,LDHA,BCKDHB,ACSS1,BCKDHA,ACAT1,ACACB,ACAT2,HIBCH,ABAT,ECHS1,MLYCD
Ascorbate and aldarate metabolism	0.642774566473988	0.990899898887766	0.0408229003677776	0.370830128654328	0.873456923703349	6	UGDH,ALDH3A2,ALDH9A1
