pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Inositol phosphate metabolism	1.38382757466846e-05	0.000276765514933692	0.593325476396405	0.472813481484742	1.96384527511413	64	MTMR8,PIK3C2B,PLCB3,INPPL1,IMPAD1,PIK3CB,PLCB1,IPPK,PIK3CA,PI4K2B,PLCH2,PIK3C2A,PLCD1,ITPK1,PIP4K2A,MTMR4,IPMK,ITPKB,MTMR1,PIP4K2B,SYNJ1,INPP4B,MINPP1,PIK3CG,PI4KA,INPP5B,IMPA1,PI4K2A,MTMR3,INPP5D,ISYNA1,PTEN,MTM1,PIKFYVE,MTMR2,TPI1,MTMR6,SYNJ2,PIP4K2C,PIP5K1A,PIK3CD,PLCG1,INPP5E,INPP5K,INPP1,INPP4A,PIP5K1C
Fatty acid biosynthesis	0.00555802267867622	0.0555802267867622	0.407017918923954	0.590394704880312	1.79052424962567	12	OXSM,MCAT,FASN,ACSL6,ACACA
Nitrogen metabolism	0.0147027869304703	0.0980185795364688	0.380730400722792	0.602652726796691	1.68285778340994	9	GLUL,CA5B,GLUD1
Citrate cycle (TCA cycle)	0.0220471371075851	0.110235685537925	0.352487857583619	-0.27862250650785	-1.60152822738885	27	PC,MDH1,PDHB,SDHA,SDHB,MDH2,SDHC,ACLY,SUCLG1,SUCLA2,CS,SDHD,OGDH,ACO2,DLST,IDH3B,SUCLG2,IDH3G,PDHA1,DLD,FH,IDH2
Glyoxylate and dicarboxylate metabolism	0.0613496932515337	0.245398773006135	0.181383128498408	0.392918426119198	1.41835980447238	24	GLUL,MCEE,PCCB,PCCA,GCSH,AMT,GRHPR,ACO1,ACAT1,GLYCTK,SHMT1
Sulfur metabolism	0.172161172161172	0.573870573870574	0.112843355675562	0.516069605577142	1.28547533293467	6	IMPAD1,MPST,BPNT1,PAPSS1,ETHE1
Amino sugar and nucleotide sugar metabolism	0.261523046092184	0.725669718548661	0.0768736734126542	0.290144994765206	1.14627317812334	44	UAP1L1,FUK,NPL,GALE,GFPT2,GNE,UGP2,GNPNAT1,NAGK,NANS,UGDH,PGM3,GNPDA1,GMPPB,PMM2,MPI,AMDHD2,FPGT,GFPT1
Starch and sucrose metabolism	0.326424870466321	0.725669718548661	0.0673623868166279	0.320942949206485	1.11672992477613	21	GANC,PGM2L1,G6PC3,UGP2,GAA,GBE1,GYG1,AGL,GYS1,AMY2B,PYGB,PGM2,HKDC1
Propanoate metabolism	0.326551373346897	0.725669718548661	0.066436413766281	0.300660858516426	1.11538969328483	29	MCEE,ACACA,PCCB,PCCA,DBT,ACSS1,BCKDHB,LDHA,ACACB,ACAT1
Fructose and mannose metabolism	0.412778904665314	0.7687235044748	0.0551351763385257	0.287124870030092	1.0541002362431	26	FUK,PFKFB3,ALDOC,SORD,PFKM,GMPPB,PMM2,MPI,FPGT,TPI1,ENOSF1,ALDOA,KHK,HKDC1,PFKP,GMDS,GMPPA,PFKFB2,TSTA3,PMM1,PFKL
Galactose metabolism	0.42279792746114	0.7687235044748	0.0550211117163117	0.299399682864683	1.0417695299122	21	GLA,GALE,GANC,G6PC3,UGP2,GAA,PFKM,GLB1,B4GALT1,PGM2,HKDC1,GALM,GALK1,PFKP
